Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,UWX1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,34.5mA @ 10kHz,23mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,EEE-1CA100SR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,47.6mA @ 10kHz,28mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-0JA220SR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,2000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1VA100WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1VA2R2NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,,20.4mA @ 10kHz,12mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 2.2UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1HA010NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,17mA @ 10kHz,10mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1AA100NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,42.5mA @ 10kHz,25mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,High Temperature Reflow,UWZ1H010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,9.45mA @ 10kHz,6.3mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,EMVA6R3ADA470MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,35.64mA @ 100kHz,33mA @ 120Hz,2000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 47UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVE350ADA4R7MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,,16mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
