Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"Automotive, Boardflex Sensitive",C0603X101F5GACAUTO,capacitors\0603_1608Metric,100pF,±1%,"Low ESL, Soft Termination",50V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0603X101F5GACAUTO.pdf,CAP CER 100PF 50V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.031 W (1.60mm x 0.80mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C0603C272F3GAC7867,capacitors\0603_1608Metric,2700pF,±1%,Low ESL,25V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0603C272F3GACTU.pdf,CAP CER 2700PF 25V NP0 0603,"Surface Mount, MLCC",0.063 L x 0.031 W (1.60mm x 0.80mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,Boardflex Sensitive,C0603X101F5GAC7867,capacitors\0603_1608Metric,100pF,±1%,"Low ESL, Soft Termination",50V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C0603X101F5GAC7867.pdf,CAP CER 100PF 50V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.031 W (1.60mm x 0.80mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S2R7AW250XT,capacitors\0603_1608Metric,2.7pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 2.7PF 250V NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S2R2AT250XT,capacitors\0603_1608Metric,2.2pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 2.2PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S2R4AT250XT,capacitors\0603_1608Metric,2.4pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 2.4PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S9R1BT250XT,capacitors\0603_1608Metric,9.1pF,±0.1pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 9.1PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S120FT250XT,capacitors\0603_1608Metric,12pF,±1%,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 12PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S100FW250XT,capacitors\0603_1608Metric,10pF,±1%,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 10PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S150FW250XT,capacitors\0603_1608Metric,15pF,±1%,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 15PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S300FT250XT,capacitors\0603_1608Metric,30pF,±1%,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 30PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
Capacitor,General Purpose,0603BB224K500YT,capacitors\0603_1608Metric,0.22uF,±10%,,50V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,CAP CER 0.22UF 50V X7R 0603,"Surface Mount, MLCC",0.060 L x 0.030 W (1.52mm x 0.76mm),2,X7R,-55°C ~ 125°C,,Knowles Novacap,,,
Capacitor,"RF, Microwave, High Frequency, Bypass, Decoupling",600S4R3AT250XT,capacitors\0603_1608Metric,4.3pF,±0.05pF,"High Q, Low Loss, Ultra Low ESR",250V,"C0603N,C0603L,C0603M",0603 (1608 Metric),C,,,http://www.atceramics.com/UserFiles/600s.pdf,CAP CER 4.3PF 250V C0G/NP0 0603,"Surface Mount, MLCC",0.063 L x 0.032 W (1.60mm x 0.81mm),2,"C0G, NP0",-55°C ~ 125°C,,American Technical Ceramics,,,
