Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,2220J1K00153JGT,capacitors\2220_5750Metric,0.015uF,±5%,,1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,//media.digikey.com/pdf/Data%20Sheets/Knowles%20Syfer/2220J1K00153JGT.pdf,CAP CER .015UF 1KV C0G/NP0 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Automotive, Boardflex Sensitive",2220Y5000474KST,capacitors\2220_5750Metric,0.47uF,±10%,Soft Termination,500V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.47UF 500V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y5000564KXT,capacitors\2220_5750Metric,0.56uF,±10%,Soft Termination,500V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 0.56UF 500V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y6300334KJT,capacitors\2220_5750Metric,0.33uF,±10%,Soft Termination,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.33UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y1K00104KJT,capacitors\2220_5750Metric,0.1uF,±10%,Soft Termination,1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.1UF 1KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y1000105KXT,capacitors\2220_5750Metric,1uF,±10%,Soft Termination,100V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 1UF 100V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,General Purpose,2220J1K00682KCT,capacitors\2220_5750Metric,6800pF,±10%,,1000V (1kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 6800PF 1KV C0G/NP0 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y5000474KJT,capacitors\2220_5750Metric,0.47uF,±10%,Soft Termination,500V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.47UF 500V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,Boardflex Sensitive,2220Y5000474KXT,capacitors\2220_5750Metric,0.47uF,±10%,Soft Termination,500V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,CAP CER 0.47UF 500V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
Capacitor,"Automotive, Boardflex Sensitive",2220Y6300334KST,capacitors\2220_5750Metric,0.33uF,±10%,Soft Termination,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,CAP CER 0.33UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Knowles Syfer,,,
