Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Features,Lifetime @ Temp,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,,CWR11MH105KB,capacitors\Capacitor_p,1uF,±10%,6.5Ohm,High Reliability,,35V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/CWR11MH105KB.pdf,CAP TANT 1UF 10% 35V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,TR3B475K025C0700,capacitors\Capacitor_p,4.7uF,±10%,700mOhm,General Purpose,,25V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,http://www.vishay.com/docs/40080/tr3.pdf,CAP TANT 4.7UF 10% 25V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
,,T494B476K010AT,capacitors\Capacitor_p,47uF,±10%,650mOhm @ 100kHz,General Purpose,2000 Hrs @ 125°C,10V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T494B476K010AT.pdf,CAP TANT 47UF 10% 10V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T494B156K025AT,capacitors\Capacitor_p,15uF,±10%,3Ohm,General Purpose,2000 Hrs @ 125°C,25V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T494B156K025AT.pdf,CAP TANT 15UF 10% 25V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T491T106K016AT,capacitors\Capacitor_p,10uF,±10%,8Ohm,General Purpose,2000 Hrs @ 125°C,16V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T491T106K016AT.pdf,CAP TANT 10UF 10% 16V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T495B226K010ATE500,capacitors\Capacitor_p,22uF,±10%,500mOhm @ 100kHz,General Purpose,2000 Hrs @ 125°C,10V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T495B226K010ATE500.pdf,CAP TANT 22UF 10% 10V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T494B107M006AT,capacitors\Capacitor_p,100uF,±20%,1.5Ohm,General Purpose,2000 Hrs @ 125°C,6.3V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T494B107M006AT.pdf,CAP TANT 100UF 20% 6.3V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,T491T226K010AT,capacitors\Capacitor_p,22uF,±10%,8Ohm,General Purpose,2000 Hrs @ 125°C,10V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/T491T226K010AT.pdf,CAP TANT 22UF 10% 10V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,KEMET,,,
,,F950G337KTAAQ2,capacitors\Capacitor_p,330uF,±10%,800mOhm,General Purpose,,4V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,http://datasheets.avx.com/F95.pdf,CAP TANT 330UF 10% 4V 1411,Surface Mount,0.138 L x 0.106 W (3.50mm x 2.70mm),,,-55°C ~ 125°C,,AVX Corporation,,,
,,TR3B685K025C0400,capacitors\Capacitor_p,6.8uF,±10%,400mOhm,General Purpose,,25V,"C_TAN_1411-N,C_TAN_1411-L,C_TAN_1411-M",1411 (3528 Metric),C,,,http://www.vishay.com/docs/40080/tr3.pdf,CAP TANT 6.8UF 10% 25V 1411,Surface Mount,0.138 L x 0.110 W (3.50mm x 2.80mm),,,-55°C ~ 125°C,,Vishay Sprague,,,
