Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Features,Lifetime @ Temp,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,,T527I336M010ATE200,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,200mOhm @ 100kHz,General Purpose,,10V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,CAP TANT POLY 33UF 10V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,KEMET,,,
,,TCNK106M025R0350,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,350mOhm @ 100kHz,General Purpose,2000 Hrs @ 105°C,25V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://datasheets.avx.com/TCN_Undertab.pdf,CAP TANT POLY 10UF 25V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,AVX Corporation,,,
,,T520A227M2R5ATE025,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,25mOhm @ 100kHz,General Purpose,2000 Hrs @ 105°C,2.5V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,POLY SMD 3216-18 220UF 20% 2.5V,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,KEMET,,,
,,TCTOAS0J107M8R-ZW1,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,70mOhm @ 100kHz,General Purpose,,6.3V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,https://www.rohm.com/datasheet/TCTOAS0J107M8R-ZW1/tcto_as-e,CONDUCTIVE POLYMER CAPACITORS (B,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,Rohm Semiconductor,,,
,,TCNO106M016R0500,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,500mOhm @ 100kHz,General Purpose,2000 Hrs @ 105°C,16V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://datasheets.avx.com/TCN_Undertab.pdf,CAP TANT POLY 10UF 16V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,AVX Corporation,,,
,,T55A476M6R3C0500,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,500mOhm @ 100kHz,General Purpose,,6.3V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40174/t55.pdf,CAP TANT POLY 47UF 6.3V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,Vishay Sprague,,,
,,T55A476M6R3C0200,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,200mOhm @ 100kHz,General Purpose,,6.3V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40174/t55.pdf,CAP TANT POLY 47UF 6.3V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,Vishay Sprague,,,
,,T55A226M004C0200,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,200mOhm @ 100kHz,General Purpose,,4V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40174/t55.pdf,CAP TANT POLY 22UF 4V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,Vishay Sprague,,,
,,T55A226M010C0200,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,200mOhm @ 100kHz,General Purpose,,10V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40174/t55.pdf,CAP TANT POLY 22UF 10V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,Vishay Sprague,,,
,,T55A106M010C0200,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,200mOhm @ 100kHz,General Purpose,,10V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/40174/t55.pdf,CAP TANT POLY 10UF 10V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,Vishay Sprague,,,
,,T520A106M010AHE080,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,80mOhm @ 100kHz,General Purpose,2000 Hrs @ 105°C,10V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,CAP TANT POLY 10UF 10V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,KEMET,,,
,,TCJA106M016R0200,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,200mOhm @ 100kHz,General Purpose,2000 Hrs @ 125°C,16V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,http://datasheets.avx.com/TCJ.pdf,CAP TANT POLY 10UF 16V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 125°C,,AVX Corporation,,,
,,T520A106M010ATE080,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,80mOhm @ 100kHz,General Purpose,2000 Hrs @ 105°C,10V,"C_TAN_1206-N,C_TAN_1206-L,C_TAN_1206-M",1206 (3216 Metric),C,,,https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,CAP TANT POLY 10UF 10V 1206,Surface Mount,0.126 L x 0.063 W (3.20mm x 1.60mm),2,,-55°C ~ 105°C,,KEMET,,,
