Part Type,Part Number,Schematic Part,Part Value,Connector Type,Contact Type,Features,Pitch - Mating,Number of Positions,Number of Rows,Row Spacing - Mating,Style,Voltage Rating,Current Rating (Amps),Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
"Headers, Male Pins",826936-1,connector_pinheader_254\header_male_pin_1x1,826936-1,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",1,1,,Board to Board or Cable,,5A,HDR-TH254-V-1x1R-L,,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 1 position 0.100"" (2.54mm)",Through Hole,,1x1,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-2,connector_pinheader_254\header_male_pin_1x2,826936-2,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",2,1,,Board to Board or Cable,,5A,"HDR-TH254-V-1x2R-L,HDR-TH254-V-1x2R",,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 2 position 0.100"" (2.54mm)",Through Hole,,1x2,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-3,connector_pinheader_254\header_male_pin_1x3,826936-3,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",3,1,,Board to Board or Cable,,5A,"HDR-TH254-V-1x3R-L,HDR-TH254-V-1x3R",,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 3 position 0.100"" (2.54mm)",Through Hole,,1x3,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-4,connector_pinheader_254\header_male_pin_1x4,826936-4,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",4,1,,Board to Board or Cable,,5A,"HDR-TH254-V-1x4R-L,HDR-TH254-V-1x4R",,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 4 position 0.100"" (2.54mm)",Through Hole,,1x4,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-5,connector_pinheader_254\header_male_pin_1x5,826936-5,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",5,1,,Board to Board or Cable,,5A,"HDR-TH254-V-1x5R-L,HDR-TH254-V-1x5R",,,,,https://media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/AMPMOU_II_Dwg.pdf,"Connector Header Through Hole 5 position 0.100"" (2.54mm)",Through Hole,,1x5,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-6,connector_pinheader_254\header_male_pin_1x6,826936-6,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",6,1,,Board to Board or Cable,,5A,"HDR-TH254-V-1x6R-L,HDR-TH254-V-1x6R",,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 6 position 0.100"" (2.54mm)",Through Hole,,1x6,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-7,connector_pinheader_254\header_male_pin_1x7,826936-7,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",7,1,,Board to Board or Cable,,5A,"HDR-TH254-V-1x7R-L,HDR-TH254-V-1x7R",,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 7 position 0.100"" (2.54mm)",Through Hole,,1x7,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-8,connector_pinheader_254\header_male_pin_1x8,826936-8,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",8,1,,Board to Board or Cable,,5A,HDR-TH254-V-1x8R-L,,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 8 position 0.100"" (2.54mm)",Through Hole,,1x8,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-9,connector_pinheader_254\header_male_pin_1x9,826936-9,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",9,1,,Board to Board or Cable,,5A,HDR-TH254-V-1x9R-L,,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 9 position 0.100"" (2.54mm)",Through Hole,,1x9,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
"Headers, Male Pins",826936-10,connector_pinheader_254\header_male_pin_1x10,826936-10,"Header, Breakaway",Male Pin,-,"0.100"" (2.54mm)",10,1,,Board to Board or Cable,,5A,HDR-TH254-V-1x10R-L,,,,,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=826629&DocType=Customer+Drawing&DocLang=English,"Connector Header Through Hole 10 position 0.100"" (2.54mm)",Through Hole,,1x10,-65°C ~ 105°C,,TE Connectivity AMP Connectors,,,
