Part Type,Part Number,Schematic Part,Part Value,Type,ESR (Equivalent Series Resistance),Frequency,Frequency Stability,Frequency Tolerance,Load Capacitance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Crystal,AB38T-32.768KHZ,oscillators\Crystal,32.768kHz,kHz Crystal (Tuning Fork),30 kOhms,32.768kHz,-,±20ppm,12.5pF,,Crystal_XTAL_AB38T-32768KHZ,"Cylindrical Can, Radial",,,,https://abracon.com/Resonators/AB38T.pdf,"32.768 kHz ±20ppm Crystal 12.5pF 30 kOhms Cylindrical Can, Radial",Through Hole,"0.327"" (8.30mm)","0.126"" Dia x 0.330"" L (3.20mm x 8.30mm)",,-10°C ~ 60°C,,Abracon LLC,,,
Crystal,ECS-.327-6-13FLX-TR,oscillators\Crystal,32.768kHz,kHz Crystal (Tuning Fork),50 kOhms,32.768kHz,-,±20ppm,6pF,,Crystal_XTAL_ECS-327-6-13FLX-TR,"Cylindrical Can, Radial",,,,https://ecsxtal.com/store/pdf/ecs-2x6-flxr.pdf,"32.768 kHz ±20ppm Crystal 6pF 50 kOhms Cylindrical Can, Radial",Surface Mount,"0.087"" (2.20mm)","0.079"" Dia x 0.240"" L (2.00mm x 6.10mm)",,-40°C ~ 85°C,,ECS Inc.,,,
Crystal,ABLS-10.000MHZ-20-B-3-H-T,oscillators\Crystal,10MHz,MHz Crystal,50 Ohms,10MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 10.0000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-18.432MHZ-20-B-3-H-T,oscillators\Crystal,18.432MHz,MHz Crystal,40 Ohms,18.432MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 18.4320MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-3.579545MHZ-D-4-T,oscillators\Crystal,3.579545MHz,MHz Crystal,180 Ohms,3.579545MHz,±50ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 3.579545MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-4.096MHZ-L4Q-T,oscillators\Crystal,4.096MHz,MHz Crystal,180 Ohms,4.096MHz,±100ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.0960MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-55°C ~ 125°C,,Abracon LLC,,,
Crystal,ABLS-5.000MHZ-L4Q-T,oscillators\Crystal,5MHz,MHz Crystal,120 Ohms,5MHz,±100ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 5.0000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-55°C ~ 125°C,,Abracon LLC,,,
Crystal,ABLS-37.500MHZ-12-1-U-F-T,oscillators\Crystal,37.5MHz,MHz Crystal,80 Ohms,37.5MHz,±10ppm,±10ppm,12pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 37.5000MHZ 12PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,,,Abracon LLC,,,
Crystal,ABLS-27.000MHZ-B2F-T,oscillators\Crystal,27MHz,MHz Crystal,40 Ohms,27MHz,±50ppm,±20ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 27.0000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-22.1184MHZ-B2-T,oscillators\Crystal,22.1184MHz,MHz Crystal,40 Ohms,22.1184MHz,±50ppm,±20ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 22.1184MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
