Part Type,Part Number,Schematic Part,Part Value,Type,Absolute Pull Range (APR),Base Resonator,Current - Supply (Max),Frequency,Frequency Stability,Function,Output,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Oscillator,ASD3-25.000MHZ-EC-T,oscillators\XO_Crystal_4P_1T3C,25MHz,XO (Standard),,Crystal,4mA,25MHz,±50ppm,Enable/Disable,HCMOS,1.8V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 25.0000MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASD1-8.000MHZ-EC-T,oscillators\XO_Crystal_4P_1T3C,8MHz,XO (Standard),,Crystal,5.5mA,8MHz,±50ppm,Enable/Disable,HCMOS,3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 8.0000MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASD1-4.000MHZ-EC-T,oscillators\XO_Crystal_4P_1T3C,4MHz,XO (Standard),,Crystal,5.5mA,4MHz,±50ppm,Enable/Disable,HCMOS,3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 4.0000MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASD3-27.000MHZ-EC-T,oscillators\XO_Crystal_4P_1T3C,27MHz,XO (Standard),,Crystal,4mA,27MHz,±50ppm,Enable/Disable,HCMOS,1.8V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 27.0000MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASD1-12.000MHZ-EC-T,oscillators\XO_Crystal_4P_1T3C,12MHz,XO (Standard),,Crystal,5.5mA,12MHz,±50ppm,Enable/Disable,HCMOS,3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 12.0000MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASD3-24.576MHZ-EC-T,oscillators\XO_Crystal_4P_1T3C,24.576MHz,XO (Standard),,Crystal,4mA,24.576MHz,±50ppm,Enable/Disable,HCMOS,1.8V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 24.5760MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASD-66.666MHZ-LCS-T,oscillators\XO_Crystal_4P_1T3C,66.666MHz,XO (Standard),,Crystal,,66.666MHz,±50ppm,Enable/Disable,HCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDseries.pdf,XTAL OSC XO 66.6660MHZ HCMOS SMD,Surface Mount,0.039 (1.00mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM4-27.000MHZ-LR-T,oscillators\MEMS_Crystal_4P_1S3C,27MHz,XO (Standard),,MEMS,10mA,27MHz,±25ppm,Standby (Power Down),LVCMOS,1.8V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 27.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-27.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,27MHz,XO (Standard),,MEMS,10mA,27MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 27.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-20.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,20MHz,XO (Standard),,MEMS,10mA,20MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 20.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
