"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency","Frequency Stability","Frequency Tolerance","Height - Seated (Max)","LastUpdated","Lifecycle Status","Load Capacitance","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Mode","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 8.000MHz 20PF SMD","","400","","","","OSCCC320X250X100L75X100N","","","8.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-80-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","8.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 10.000MHz 20PF SMD","","100","","","","OSCCC320X250X100L75X100N","","","10.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-100-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","10.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 12.000MHz 20PF SMD","","100","","","","OSCCC320X250X100L75X100N","","","12.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-120-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","12.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 12.288MHz 20PF SMD","","100","","","","OSCCC320X250X100L75X100N","","","12.288","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-122.8-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","12.288MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 14.31818MHz 20PF SMD","","100","","","","OSCCC320X250X100L75X100N","","","14.31818","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-143-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","14.31818MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 14.7456MHz 20PF SMD","","100","","","","OSCCC320X250X100L75X100N","","","14.7456","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-147.4-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","14.7456MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 16.000MHz 20PF SMD","","80","","","","OSCCC320X250X100L75X100N","","","16.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-160-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","16.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 18.432MHz 20PF SMD","","80","","","","OSCCC320X250X100L75X100N","","","18.432","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-184-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","18.432MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 19.200MHz 20PF SMD","","80","","","","OSCCC320X250X100L75X100N","","","19.200","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-192-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","19.200MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 19.6608MHz 20PF SMD","","80","","","","OSCCC320X250X100L75X100N","","","19.6608","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-196-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","19.6608MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 20.000MHz 20PF SMD","","60","","","","OSCCC320X250X100L75X100N","","","20.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-200-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","20.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 24.000MHz 20PF SMD","","40","","","","OSCCC320X250X100L75X100N","","","24.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-240-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","24.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 24.576MHz 20PF SMD","","40","","","","OSCCC320X250X100L75X100N","","","24.576","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-245.7-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","24.576MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 25.000MHz 20PF SMD","","40","","","","OSCCC320X250X100L75X100N","","","25.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-250-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","25.000MHz"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200102/C435190_15FDBCBB9AFFC535735183D95BE2AF57.pdf","SZLCSC","","","","","","","","","","CRYSTAL 26.000MHz 20PF SMD","","40","","","","OSCCC320X250X100L75X100N","","","26.000","±20ppm","±20ppm","0.035 (0.90mm)","","","20PF","ECS","ECS-260-20-33-JGN-TR","1","Surface Mount","","-20°C ~ 70°C","4-SMD, No Lead","TapeAndReel","","","","","ECX-32","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","oscillators\Crystal","MHz Crystal","26.000MHz"
