Part Type,Part Number,Schematic Part,Part Value,"Capacitance @ Vr, F",Current - Average Rectified (Io),Current - Reverse Leakage @ Vr,Reverse Recovery Time (trr),Speed,Voltage - DC Reverse (Vr) (Max),Voltage - Forward (Vf) (Max) @ If,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE,BAS116T-7-F,diodes\Diode,,,215mA (DC),5nA @ 75V,3µs,"Standard Recovery >500ns, > 200mA (Io)",85V,1.25V @ 150mA,,,SOT-523,,,,https://www.diodes.com/assets/Datasheets/ds30258.pdf,DIODE GEN PURP 85V 215MA SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,BAS16T-7-F,diodes\Diode,,,75mA (DC),2µA @ 75V,4ns,"Small Signal =< 200mA (Io), Any Speed",85V,1V @ 50mA,,,SOT-523,,,,https://www.diodes.com/assets/Datasheets/ds30260.pdf,DIODE GP 85V 75MA SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,MMBD4448HT-TP,diodes\Diode,,"3.5pF @ 6V, 1MHz",250mA,100nA @ 70V,4ns,"Fast Recovery =< 500ns, > 200mA (Io)",80V,1.25V @ 150mA,,,SOT-523,,,,https://www.mccsemi.com/pdf/Products/MMBD4448HT_HTC_HTA_HTS(SOT-523).pdf,DIODE GEN PURP 80V 250MA SOT523,Surface Mount,,2,150°C (Max),,Micro Commercial Co,,,
DIODE,MMBD4448HT-7-F,diodes\Diode,,"3.5pF @ 6V, 1MHz",250mA,100nA @ 70V,4ns,"Fast Recovery =< 500ns, > 200mA (Io)",80V,1.25V @ 150mA,,,SOT-523,,,,https://www.diodes.com/assets/Datasheets/ds30263.pdf,DIODE GEN PURP 80V 250MA SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,BAS16T-TP,diodes\Diode,,,75mA (DC),2µA @ 75V,4ns,"Small Signal =< 200mA (Io), Any Speed",85V,1V @ 50mA,,,SOT-523,,,,"https://www.mccsemi.com/pdf/Products/BAS16T,BAW56T,BAV70T,BAV99T(SOT-523).PDF",DIODE GEN PURP 85V 75MA SOT523,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,BAS21T-TP,diodes\Diode,,,200mA,100nA @ 250V,50ns,"Small Signal =< 200mA (Io), Any Speed",250V,1.25V @ 200mA,,,SOT-523,,,,https://www.mccsemi.com/pdf/Products/BAS21T(SOT-523).PDF,DIODE GEN PURP 250V 200MA SOT523,Surface Mount,,2,-65°C ~ 150°C,,Micro Commercial Co,,,
DIODE,1SS397TE85LF,diodes\Diode,,,100mA,1µA @ 400V,500ns,"Small Signal =< 200mA (Io), Any Speed",400V,1.3V @ 100mA,,,"SC-70, SOT-323",,,,https://toshiba.semicon-storage.com/info/docget.jsp?did=3386&prodName=1SS397,DIODE GEN PURP 400V 100MA SC70,Surface Mount,,2,125°C (Max),,Toshiba Semiconductor and Storage,,,
DIODE,M1MA141KT1G,diodes\Diode,,,100mA (DC),100nA @ 35V,3ns,"Small Signal =< 200mA (Io), Any Speed",40V,1.2V @ 100mA,,,"SC-70, SOT-323",,,,http://www.onsemi.com/pub/Collateral/M1MA141KT1-D.PDF,DIODE GEN PURP 40V 100MA SC70-3,Surface Mount,,2,150°C (Max),,ON Semiconductor,,,
DIODE,SBAS16WT1G,diodes\Diode,,,200mA,1µA @ 75V,6ns,"Small Signal =< 200mA (Io), Any Speed",75V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,http://www.onsemi.com/pub/Collateral/BAS16WT1-D.PDF,DIODE GEN PURP 75V 200MA SC70,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE,BAS20W-7-F,diodes\Diode,,,200mA,100nA @ 150V,50ns,"Small Signal =< 200mA (Io), Any Speed",150V,1.25V @ 200mA,,,"SC-70, SOT-323",,,,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DIODE GEN PURP 150V 200MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
