Part Type,Applications,Type,Part Number,Schematic Part,Part Value,Capacitance @ Frequency,Current - Peak Pulse (10/1000us),Power Line Protection,Power - Peak Pulse,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ),Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE TVS,General Purpose,Steering (Rail to Rail),"PRTR5V0U2X,215",diodes\Diode_TVS_UNI,,1pF @ 1MHz,,Yes,,6V,,5.5V (Max),,"TO-253-4,TO-253AA",,,,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,TVS DIODE 5.5V SOT143B,Surface Mount,,2,-40°C ~ 85°C (TA),,Nexperia USA Inc.,,,
DIODE TVS,Automotive,DO-219AB,VTVS58ASMF-HM3-08,diodes\Diode_TVS_UNI,,245pF @ 1MHz,3.89A,No,400W,64.6V,98V,57.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 57.6V 98V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS19ASMF-HM3-08,diodes\Diode_TVS_UNI,,558pF @ 1MHz,12.44A,No,400W,20.9V,31V,18.7V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 18.7V 31V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS47ASMF-HM3-08,diodes\Diode_TVS_UNI,,293pF @ 1MHz,4.76A,No,400W,53.2V,80V,46.8V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 46.8V 80V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS25ASMF-HM3-08,diodes\Diode_TVS_UNI,,433pF @ 1MHz,9.07A,No,400W,28.5V,42V,25.2V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 25.2V 42V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,Automotive,DO-219AB,VTVS14ASMF-HM3-08,diodes\Diode_TVS_UNI,,752pF @ 1MHz,17.16A,No,400W,15.4V,22.2V,13.8V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 13.8V 22.2V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS40ASMF-M3-08,diodes\Diode_TVS_UNI,,309pF @ 1MHz,5.7A,No,400W,44.7V,67V,39.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 39.6V 67V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS11ASMF-M3-08,diodes\Diode_TVS_UNI,,910pF @ 1MHz,21.13A,No,400W,12.6V,18V,11.2V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 11.2V 18V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS52ASMF-M3-08,diodes\Diode_TVS_UNI,,242pF @ 1MHz,4.28A,No,400W,58.9V,89V,52.2V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 52.2V 89V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
DIODE TVS,General Purpose,DO-219AB,VTVS31ASMF-M3-08,diodes\Diode_TVS_UNI,,380pF @ 1MHz,7.51A,No,400W,34.2V,51V,30.6V,,DO-219AB,,,,http://www.vishay.com/docs/85891/vtvs3v3asmf.pdf,TVS DIODE 30.6V 51V DO219AB,Surface Mount,,2,-55°C ~ 175°C (TJ),,Vishay Semiconductor Diodes Division,,,
