Part Type,Part Number,Schematic Part,Part Value,Current - Reverse Leakage @ Vr,Impedance (Max) (Zzt),Voltage - Forward (Vf) (Max) @ If,Voltage - Zener (Nom) (Vz),Tolerance,Allegro PCB Footprint,Package / Case,Pspice Model,Power - Max,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE ZENER,BZX84C15T-7-F,diodes\Diode_ZENER,,100nA @ 10.5V,30 Ohms,900mV @ 10mA,15V,±6.12%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 15V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C16T-7-F,diodes\Diode_ZENER,,100nA @ 11.2V,40 Ohms,900mV @ 10mA,16V,±5.56%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 16V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C10T-7-F,diodes\Diode_ZENER,,200nA @ 7V,20 Ohms,900mV @ 10mA,10V,±6%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 10V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C12T-7-F,diodes\Diode_ZENER,,100nA @ 8V,25 Ohms,900mV @ 10mA,12V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 12V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C22T-7-F,diodes\Diode_ZENER,,100nA @ 15.4V,55 Ohms,900mV @ 10mA,22V,±5.67%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 22V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C2V7T-7-F,diodes\Diode_ZENER,,20µA @ 1V,100 Ohms,900mV @ 10mA,2.7V,±7.41%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 2.7V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C33T-7-F,diodes\Diode_ZENER,,100nA @ 23.1V,80 Ohms,900mV @ 10mA,33V,±6.06%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 33V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C4V3T-7-F,diodes\Diode_ZENER,,3µA @ 1V,90 Ohms,900mV @ 10mA,4.3V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 4.3V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C5V1T-7-F,diodes\Diode_ZENER,,2µA @ 2V,60 Ohms,900mV @ 10mA,5.1V,±5.88%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 5.1V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C6V8T-7-F,diodes\Diode_ZENER,,2µA @ 4V,15 Ohms,900mV @ 10mA,6.8V,±5.88%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DIODE ZENER 6.8V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5227BT-7-F,diodes\Diode_ZENER,,15µA @ 1V,24 Ohms,900mV @ 10mA,3.6V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30267.pdf,DIODE ZENER 3.6V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5235BT-7-F,diodes\Diode_ZENER,,3µA @ 5V,5 Ohms,900mV @ 10mA,6.8V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30267.pdf,DIODE ZENER 6.8V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5241BT-7-F,diodes\Diode_ZENER,,2µA @ 8.4V,22 Ohms,900mV @ 10mA,11V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30267.pdf,DIODE ZENER 11V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5248BT-7-F,diodes\Diode_ZENER,,100nA @ 14V,21 Ohms,900mV @ 10mA,18V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30267.pdf,DIODE ZENER 18V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5226BT-7-F,diodes\Diode_ZENER,,25µA @ 1V,28 Ohms,900mV @ 10mA,3.3V,±5%,,SOT-523,,150mW,,https://www.diodes.com/assets/Datasheets/ds30267.pdf,DIODE ZENER 3.3V 150MW SOT523,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C2V7W-7-F,diodes\Diode_ZENER,,20µA @ 1V,100 Ohms,900mV @ 10mA,2.7V,±7%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 2.7V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C5V1W-7-F,diodes\Diode_ZENER,,2µA @ 2V,60 Ohms,900mV @ 10mA,5.1V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 5.1V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84W-B10F,diodes\Diode_ZENER,,200nA @ 7V,20 Ohms,900mV @ 10mA,10V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B10/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B13F,diodes\Diode_ZENER,,100nA @ 8V,30 Ohms,900mV @ 10mA,13V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B13/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B15F,diodes\Diode_ZENER,,50nA @ 10.5V,30 Ohms,900mV @ 10mA,15V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B15/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B24F,diodes\Diode_ZENER,,50nA @ 16.8V,70 Ohms,900mV @ 10mA,24V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B24/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B2V7F,diodes\Diode_ZENER,,20µA @ 1V,100 Ohms,900mV @ 10mA,2.7V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B2V7/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
