Part Type,Part Number,Schematic Part,Part Value,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Inductance Frequency - Test,Q @ Freq,Inductance,Tolerance,Voltage,Material - Core,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
INDUCTOR POWER,SRP5030T-4R7M,inductors\Inductor,4.7uH,4.6A,6A,53mOhm Max,,100kHz,,4.7uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 4.7UH 4.6A 53 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-1R2M,inductors\Inductor,1.2uH,6.5A,11A,16mOhm Max,,100kHz,,1.2uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 1.2UH 6.5A 16 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-1R0M,inductors\Inductor,1uH,7A,11A,14mOhm Max,,100kHz,,1uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 1UH 7A 14 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-R33M,inductors\Inductor,330nH,14A,18A,5mOhm Max,,100kHz,,330nH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 330NH 14A 5 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-R47M,inductors\Inductor,470nH,12A,16A,7.4mOhm Max,,100kHz,,470nH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 470NH 12A 7.4 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-3R3M,inductors\Inductor,3.3uH,5A,8A,38mOhm Max,,100kHz,,3.3uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 3.3UH 5A 38 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-2R2M,inductors\Inductor,2.2uH,5.5A,9A,35mOhm Max,,100kHz,,2.2uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 2.2UH 5.5A 35 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-6R8M,inductors\Inductor,6.8uH,4A,4.3A,76.2mOhm Max,,100kHz,,6.8uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 6.8UH 4A 76.2 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-100M,inductors\Inductor,10uH,2.75A,3.5A,128mOhm Max,,100kHz,,10uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 10UH 2.75A 128MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-5R6M,inductors\Inductor,5.6uH,4.25A,4.5A,63mOhm Max,,100kHz,,5.6uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 5.6UH 4.25A 63MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-R68M,inductors\Inductor,680nH,8.5A,14A,12mOhm Max,,100kHz,,680nH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 680NH 8.5A 12 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRP5030T-1R5M,inductors\Inductor,1.5uH,6A,10A,25mOhm Max,,100kHz,,1.5uH,±20%,,Iron Powder,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,FIXED IND 1.5UH 6A 25 MOHM SMD,Surface Mount,0.118 (3.00mm),0.224 L x 0.205 W (5.70mm x 5.20mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-271K,inductors\Inductor,270uH,1.2A,1.6A,450mOhm Max,3.1MHz,100kHz,20 @ 796kHz,270uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 270UH 1.2A 450MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
