Part Type,Part Number,Schematic Part,Part Value,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Inductance Frequency - Test,Q @ Freq,Inductance,Tolerance,Voltage,Material - Core,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
INDUCTOR RF,LQW15CNR16J00D,inductors\Inductor,160nH,480mA,,330mOhm Max,900MHz,100MHz,,160nH,±5%,,Ferrite,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0087.pdf,FIXED IND 160NH 480MA 330 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N8D8ZD,inductors\Inductor,4.8nH,1.2A,,71mOhm Max,8GHz,100MHz,30 @ 250MHz,4.8nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.8NH 1.2A 71 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N3D8ZD,inductors\Inductor,5.3nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.3nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.3NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N6D8ZD,inductors\Inductor,5.6nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.6nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.6NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N9D8ZD,inductors\Inductor,5.9nH,1.77A,,40mOhm Max,8GHz,100MHz,30 @ 250MHz,5.9nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.9NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N3J8ZD,inductors\Inductor,8.3nH,1.5A,,69mOhm Max,6.5GHz,100MHz,32 @ 250MHz,8.3nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.3NH 1.5A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N6D8ZD,inductors\Inductor,4.6nH,1.45A,,60mOhm Max,9.6GHz,100MHz,32 @ 250MHz,4.6nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.6NH 1.45A 60 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N5J8ZD,inductors\Inductor,8.5nH,1.5A,,69mOhm Max,6.5GHz,100MHz,32 @ 250MHz,8.5nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.5NH 1.5A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N9D8ZD,inductors\Inductor,4.9nH,1.2A,,71mOhm Max,8GHz,100MHz,27 @ 250MHz,4.9nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.9NH 1.2A 71 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N0D8ZD,inductors\Inductor,5nH,1.77A,,40mOhm Max,10GHz,100MHz,32 @ 250MHz,5nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
