"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Current - Saturation","DC Resistance (DCR)","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency - Self Resonant","Height - Seated (Max)","Inductance","Inductance Frequency - Test","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Material - Core","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Q @ Freq","Ratings","Series","Shielding","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","3.8A","3.8A","33mOhm","FIXED IND 1.00UH 3.8A 33MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","1.00uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-1R0M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","1.00uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","3.3A","3.3A","38mOhm","FIXED IND 1.50UH 3.3A 38MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","1.50uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-1R5M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","1.50uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","2.91A","2.91A","42mOhm","FIXED IND 1.80UH 2.91A 42MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","1.80uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-1R8M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","1.80uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","2.6A","2.6A","47mOhm","FIXED IND 2.20UH 2.6A 47MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","2.20uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-2R2M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","2.20uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","2.43A","2.43A","52mOhm","FIXED IND 2.70UH 2.43A 52MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","2.70uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-2R7M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","2.70uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","2.15A","2.15A","76mOhm","FIXED IND 3.30UH 2.15A 76MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","3.30uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-3R3M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","3.30uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","1.98A","1.98A","94mOhm","FIXED IND 3.90UH 1.98A 94MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","3.90uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-3R9M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","3.90uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","1.7A","1.7A","101mOhm","FIXED IND 4.70UH 1.7A 101MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","4.70uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-4R7M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","4.70uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","1.6A","1.6A","117mOhm","FIXED IND 5.60UH 1.6A 117MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","5.60uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-5R6M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","5.60uH"
"=Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20200311/C492284_B3F3380E09B9B31F28DB8FDC74520E7F.pdf","SZLCSC","","","","","","","","","","1.41A","1.41A","132mOhm","FIXED IND 6.80UH 1.41A 132MOHM SMD","2-SMD","","","","","INDC450X400X350L140N","","","","0.138(3.50mm)","6.80uH","100KHz","","","YJYCOIN(益嘉源)","YP0403-6R8M","Ferrite","1","Surface Mount","-40°C ~ +125°C","2-SMD","TapeAndReel","","","","","","YP0403","Unshielded","0.177 L x 0.157 W (4.50mm x 4.00mm)","","","","","","","","","","","","","YP0403 ","","INDUCTORS\Inductor","±20%","Wirewound","6.80uH"
