Part Type,Amplifier Type,Part Number,Part Value,Schematic Part,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,-3db Bandwidth,Voltage - Supply,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Amplifiers,General Purpose,OPA350UA/2K5,OPA350UA/2K5,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-SOIC127P490X600-8L,TI-SOIC127P490X600-8N,TI-SOIC127P490X600-8M","8-SOIC (0.154"", 3.90mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.193 L x 0.236 W (4.9mm x 6.0mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350PA,OPA350PA,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,,"8-DIP (0.300"", 7.62mm)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,,8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350UA,OPA350UA,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-SOIC127P490X600-8L,TI-SOIC127P490X600-8N,TI-SOIC127P490X600-8M","8-SOIC (0.154"", 3.90mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.193 L x 0.236 W (4.9mm x 6.0mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350EA/250,OPA350EA/250,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-VSSOP65P300X490-8L,TI-VSSOP65P300X490-8N,TI-VSSOP65P300X490-8M","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.118 L x 0.193 W (3.0mm x 4.9mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350EA/2K5,OPA350EA/2K5,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-VSSOP65P300X490-8L,TI-VSSOP65P300X490-8N,TI-VSSOP65P300X490-8M","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.118 L x 0.193 W (3.0mm x 4.9mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350UA/2K5G4,OPA350UA/2K5G4,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-SOIC127P490X600-8L,TI-SOIC127P490X600-8N,TI-SOIC127P490X600-8M","8-SOIC (0.154"", 3.90mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.193 L x 0.236 W (4.9mm x 6.0mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350UAG4,OPA350UAG4,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-SOIC127P490X600-8L,TI-SOIC127P490X600-8N,TI-SOIC127P490X600-8M","8-SOIC (0.154"", 3.90mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.193 L x 0.236 W (4.9mm x 6.0mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,General Purpose,OPA350EA/250G4,OPA350EA/250G4,ti_amplifiers\opa350,1,Rail-to-Rail,22V/us,38 MHz,0.5 pA,150 uV,5.2mA,40 mA,-,2.5V ~ 5.5V,"TI-VSSOP65P300X490-8L,TI-VSSOP65P300X490-8N,TI-VSSOP65P300X490-8M","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa350,General Purpose Amplifier Circuit Rail-to-Rail 8-SOIC,Surface Mount,0.118 L x 0.193 W (3.0mm x 4.9mm),8,-40°C ~ 85°C,,Texas Instruments,,,
Amplifiers,Differential,THS4531IDR,THS4531IDR,ti_amplifiers\ths4531xdgk,1,"Differential, Rail-to-Rail",390V/us,27 MHz,160 nA,200 uV,250uA,25 mA,36 MHz,"2.5V ~ 5.5V, ±1.25V ~ 2.75V","TI-SOIC127P490X600-8L,TI-SOIC127P490X600-8N,TI-SOIC127P490X600-8M","8-SOIC (0.154"", 3.90mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fths4531,"Differential Amplifier Circuit Differential, Rail-to-Rail 8-SOIC",Surface Mount,0.193 L x 0.236 W (4.9mm x 6.0mm),8,-40°C ~ 125°C,,Texas Instruments,,,
Amplifiers,Differential,THS4531ID,THS4531ID,ti_amplifiers\ths4531xdgk,1,"Differential, Rail-to-Rail",390V/us,27 MHz,160 nA,200 uV,250uA,25 mA,36 MHz,"2.5V ~ 5.5V, ±1.25V ~ 2.75V","TI-SOIC127P490X600-8L,TI-SOIC127P490X600-8N,TI-SOIC127P490X600-8M","8-SOIC (0.154"", 3.90mm Width)",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fths4531,"Differential Amplifier Circuit Differential, Rail-to-Rail 8-SOIC",Surface Mount,0.193 L x 0.236 W (4.9mm x 6.0mm),8,-40°C ~ 125°C,,Texas Instruments,,,
