Part Type,Part Number,Schematic Part,Part Value,Output Configuration,Output Type,Number of Regulators,Voltage - Input,Voltage - Output (Min/Fixed),Voltage - Output (Max),Voltage Dropout (Max),Current - Output,Current - Quiescent (Iq),Current - Supply (Max),PSRR,Control Features,Protection Features,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
LDO,RT9193-33GB,voltage_regulator_liner\rt9193-5p,RT9193-33GB,Positive,Fixed,1,5.5V,3.3V,-,0.3V @ 300mA,300mA,130uA,-,70dB ~ 50dB (100Hz ~ 10kHz),Enable,"Over Current, Over Temperature",SOT94P279X129-5N,"SC-74A, SOT-753",,,,https://www.richtek.com/assets/product_file/RT9193/DS9193-17.pdf,Linear Voltage Regulator IC Positive Fixed 1 Output 300mA SOT-23-5,Surface Mount,0.122 L x 0.118 W (2.9mm x 2.8mm),5,-40°C ~ 125°C,,Richtek USA Inc.,,,
Linear Regulator,TPS7A4901DGNR,voltage_regulator_liner\TPS7A49,TPS7A4901DGNR,Positive,Adjustable,1,35V,1.194V,33V,0.6V @ 150mA,150mA,100uA,800uA,72dB (120Hz),Enable,"Over Current, Over Temperature, Under Voltage Lockout (UVLO)","TI-TSSOP65P490X300X110-8N-D,TI-TSSOP65P490X300X110-8N-D-L,TI-TSSOP65P490X300X110-8N-D-M","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps7a49,Linear Voltage Regulator IC Positive Adjustable 1 Output 150mA 8-HVSSOP,Surface Mount,,9,-40°C ~ 125°C,,Texas Instruments,,,
LDO,AP2127K-ADJTRG1,voltage_regulator_liner\ap2127k,AP2127K-ADJTRG1,Positive,Adjustable,1,6V,0.8V,5.5V,0.3V @ 300mA,300mA,90uA,-,68dB ~ 45db (100Hz ~ 10kHz),-,"Over Current, Over Temperature",SOT94P279X129-5N,"SC-74A, SOT-753",,,,https://www.diodes.com/assets/Datasheets/AP2127.pdf,Linear Voltage Regulator IC Positive Adjustable 1 Output 300mA SOT-23-5,Surface Mount,0.122 L x 0.118 W (2.9mm x 2.8mm),5,-40°C ~ 85°C,,Diodes Incorporated,,,
LDO,TLV1117-33CDCY,voltage_regulator_liner\tlv1117-4p,TLV1117-33CDCY,Positive,Fixed,1,15V,3.3V,-,1.3V @ 800mA,800mA,10mA,-,75dB (120Hz),-,"Over Current, Over Temperature",TI-SOT230P700X180-4N,"TO-261-4, TO-261AA",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlv1117,Linear Voltage Regulator IC Positive Fixed 1 Output 800mA SOT-223-4,Surface Mount,,4,0°C ~ 125°C,,Texas Instruments,,,
LDO,ME6212C33M5G,voltage_regulator_liner\vr-sot-23-5,ME6212C33M5G,Positive,Fixed,1,6V,3.3V,-,120mV@ 100mA,350mA,60uA,-,65dB@1KHz,-,Over Current,SOT94P279X129-5N,"SC-74A, SOT-753",,,,https://atta.szlcsc.com/upload/public/pdf/source/20160823/1471947542949.pdf,高精度、高纹波抑制比、低噪声、超快响应线性稳压器,Surface Mount,0.122 L x 0.118 W (2.9mm x 2.8mm),5,-40°C ~ 150°C,,MICRONE(南京微盟),,,
LDO,TPS72325DBVT,,TPS72325DBVT,Negative,Fixed,1,-10V ~ -2.5V,-2.5V,-,0.5V @ 200mA,200mA,200uA,500uA,65dB ~ 48dB (1kHz ~ 10kHz),Enable,"Over Current, Over Temperature, Short Circuit",SOT94P279X129-5N,"SC-74A, SOT-753",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps723,Linear Voltage Regulator IC Negative Fixed 1 Output 200mA SOT-23-5,Surface Mount,0.122 L x 0.118 W (2.9mm x 2.8mm),5,-40°C ~ 125°C,,Texas Instruments,,,
LDO,TPS71733DCKR,,TPS71733DCKR,,,,6.5V,3.3V,-,0.3V @ 150mA,150mA,80uA,100uA,70dB ~ 45dB (100Hz ~ 1MHz),Enable,"Over Current, Over Temperature, Reverse Polarity, Under Voltage Lockout (UVLO)",,"5-TSSOP, SC-70-5, SOT-353",,,,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps717,Linear Voltage Regulator IC Positive Fixed 1 Output 150mA SC-70-5,Surface Mount,,5,-40°C ~ 125°C,,Texas Instruments,,,
LDO,ADP7183ACPZN2.5-R7,,ADP7183ACPZN2.5-R7,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO,LT1761ES5-2.5#TRMPBF,,LT1761ES5-2.5#TRMPBF,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO,ADP150AUJZ-2.5-R7 ,,ADP150AUJZ-2.5-R7 ,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO,ADP151ACPZ-2.5-R7,,ADP151ACPZ-2.5-R7,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO,ADP7182AUJZ-2.5-R7,,ADP7182AUJZ-2.5-R7,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO,TPS7A3901DSCR,,TPS7A3901DSCR,"Positive,Negative",Adjustable,2,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO,ADP150AUJZ-3.3-R7,,ADP150AUJZ-3.3-R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
