Part Type,Part Number,Schematic Part,Part Value,Current - Continuous Drain (Id) @ 25°C,Drain to Source Voltage (Vdss),"Drive Voltage (Max Rds On,  Min Rds On)",Vgs(th) (Max) @ Id,Vgs (Max),"Rds On (Max) @ Id, Vgs",Gate Charge (Qg) (Max) @ Vgs,Input Capacitance (Ciss) (Max) @ Vds,FET Feature,FET Type,Technology,Allegro PCB Footprint,Package / Case,Pspice Model,Power Dissipation (Max),Technology,Availability,Data Sheet,Description,Mounting Type,Size,Number of FET,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
N CHANNEL,BSC360N15NS3GATMA1,,,33A (Tc),150V,"8V, 10V",4V @ 45µA,±20V,"36mOhm @ 25A, 10V",15nC @ 10V,1190pF @ 75V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,74W (Tc),,,https://www.infineon.com/dgdl/BSC360N15NS3_Rev2.0.pdf?folderId=db3a304325305e6d01254a567c041b4e&fileId=db3a304328c6bd5c012936a5026a2e2c,MOSFET N-CH 150V 33A 8TDSON,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC027N04LSGATMA1,,,"24A (Ta), 100A (Tc)",40V,"4.5V, 10V",2V @ 49µA,±20V,"2.7mOhm @ 50A, 10V",85nC @ 10V,6800pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 83W (Tc)",,,https://www.infineon.com/dgdl/BSC027N04LSG_rev1.04.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a30431689f4420116c4323646080c,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC123N10LSGATMA1,,,"10.6A (Ta), 71A (Tc)",100V,"4.5V, 10V",2.4V @ 72µA,±20V,"12.3mOhm @ 50A, 10V",68nC @ 10V,4900pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,114W (Tc),,,https://www.infineon.com/dgdl/BSC123N10LS+Rev2.06.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431b3e89eb011b4626974b7df5,MOSFET N-CH 100V 71A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC500N20NS3GATMA1,,,24A (Tc),200V,10V,4V @ 60µA,±20V,"50mOhm @ 22A, 10V",15nC @ 10V,1580pF @ 100V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,96W (Tc),,,https://www.infineon.com/dgdl/BSC500N20NS3+G+Rev2.0.pdf?folderId=db3a304325305e6d012596c6ca7b290a&fileId=db3a30433cfb5caa013d11dd032123a3,MOSFET N-CH 200V 24A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC028N06LS3GATMA1,,,"23A (Ta), 100A (Tc)",60V,"4.5V, 10V",2.2V @ 93µA,±20V,"2.8mOhm @ 50A, 10V",175nC @ 10V,13000pF @ 30V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 139W (Tc)",,,https://www.infineon.com/dgdl/BSC028N06LS3_rev2.2.pdf?folderId=db3a30431ddc9372011ebafa04517f8b&fileId=db3a30431ddc9372011ebafa4c607f8c,MOSFET N-CH 60V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC047N08NS3GATMA1,,,"18A (Ta), 100A (Tc)",80V,"6V, 10V",3.5V @ 90µA,±20V,"4.7mOhm @ 50A, 10V",69nC @ 10V,4800pF @ 40V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 125W (Tc)",,,https://www.infineon.com/dgdl/BSC047N08NS3G_rev2.4.pdf?folderId=db3a304313b8b5a60113cee7c66a02d6&fileId=db3a30431add1d95011ae7e8dacf5611,MOSFET N-CH 80V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC020N03MSGATMA1,,,"25A (Ta), 100A (Tc)",30V,"4.5V, 10V",2V @ 250µA,±20V,"2mOhm @ 30A, 10V",124nC @ 10V,9600pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 96W (Tc)",,,https://www.infineon.com/dgdl/Infineon-BSC020N03MSG-DS-v02_00-en.pdf?fileId=db3a304313d846880113de4cd99d033e,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC014N03LSGATMA1,,,"34A (Ta), 100A (Tc)",30V,"4.5V, 10V",2.2V @ 250µA,±20V,"1.4mOhm @ 30A, 10V",131nC @ 10V,10000pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 139W (Tc)",,,https://www.infineon.com/dgdl/BSC014N03LS_rev1.3.pdf?folderId=db3a304313b8b5a60113cee8ed2a02db&fileId=db3a30431be39b97011c23384f5d77fb,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC026N02KSGAUMA1,,,"25A (Ta), 100A (Tc)",20V,"2.5V, 4.5V",1.2V @ 200µA,±12V,"2.6mOhm @ 50A, 4.5V",52.7nC @ 4.5V,7800pF @ 10V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.8W (Ta), 78W (Tc)",,,https://www.infineon.com/dgdl/BSC026N02KS+G+Rev1.05.pdf?folderId=db3a3043163797a6011637c252b10018&fileId=db3a3043163797a6011637c2a4280019,MOSFET N-CH 20V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC031N06NS3GATMA1,,,100A (Tc),60V,10V,4V @ 93µA,±20V,"3.1mOhm @ 50A, 10V",130nC @ 10V,11000pF @ 30V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 139W (Tc)",,,https://www.infineon.com/dgdl/BSC031N06NS3_Rev2.3.pdf?folderId=db3a30431ddc9372011ebafa04517f8b&fileId=db3a30431ddc9372011ebaff49fa7fa6,MOSFET N-CH 60V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
