Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,PMR01ZZPJU10L,resistors\resistor,10m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.2W, 1/5W",,https://www.rohm.com/datasheet/PMR18EZPFV/pmr-e,RES 0.01 OHM 5% 1/5W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,,-55°C ~ 155°C,,Rohm Semiconductor,,,
,CSR0402FKR500,resistors\resistor,500m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.seielect.com/catalog/sei-csr_csrn.pdf,RES 0.5 OHM 1% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±200ppm/°C,-55°C ~ 155°C,,Stackpole Electronics Inc,,,
,SR731ETTPR100F,resistors\resistor,100m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,http://www.koaspeer.com/catimages/Products/SR73/SR73.pdf,RES 100M OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±500ppm/°C,-55°C ~ 150°C,,"KOA Speer Electronics, Inc.",,,
,RL73N1ER47JTD,resistors\resistor,470m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.47 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RL73N1ER27JTD,resistors\resistor,270m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.27 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RL73N1ER15JTD,resistors\resistor,150m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.15 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RL73N1ER39JTD,resistors\resistor,390m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.39 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RL73N1ER18JTD,resistors\resistor,180m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.18 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RL73N1ER22JTD,resistors\resistor,220m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.22 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,RL73N1ER33JTD,resistors\resistor,330m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.063W, 1/16W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.33 OHM 5% 1/16W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
