Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Number of Resistors,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,YC248-JR-0747RL,,47,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 47 OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-0756RL,,56,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 56 OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-0715KL,,15k,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 15K OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-074K7L,,4.7k,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 4.7K OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-071KL,,1k,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 1K OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-078K2L,,8.2k,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 8.2K OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-0733RL,,33,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 33 OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-07100RL,,100,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 100 OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-0722RL,,22,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 22 OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
,YC248-JR-0710KL,,10k,±5%,,,1606 Convex Long Side Terminals,,62.5mW,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,RES ARRAY 8 RES 10K OHM 1606,Surface Mount,0.157 L x 0.063 W (4.00mm x 1.60mm),16,8,±200ppm/°C,-55°C ~ 155°C,,Yageo,,,
