Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Resistor,RP73PF1E249KBTD,resistors\0402_1005Metric,249k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 249K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E165KBTD,resistors\0402_1005Metric,165k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 165K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E191KBTD,resistors\0402_1005Metric,191k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 191K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E5K62BTD,resistors\0402_1005Metric,5.62k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 5.62K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E200KBTD,resistors\0402_1005Metric,200k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 200K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E210KBTD,resistors\0402_1005Metric,210k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 210K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E237KBTD,resistors\0402_1005Metric,237k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 237K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E10KBTD,resistors\0402_1005Metric,10k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 10K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E100KBTD,resistors\0402_1005Metric,100k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 100K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
Resistor,RP73PF1E105KBTD,resistors\0402_1005Metric,105k,±0.1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),R,"0.1W, 1/10W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,RES 105K OHM 0.1% 1/10W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±25ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
