"Battery Chemistry","Battery Pack Voltage","Charge Current - Max","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Charging","Description","Device Package","Fault Protection","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Interface","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Cells","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Programmable Features","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Supply (Max)"
Lithium Ion/Polymer,"4.2V","500mA",=Part Number,Datasheet,http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf,DigiKey Link,//digikey.com/product-detail/en/microchip-technology/MCP73831T-2ATI-OT/MCP73831T-2ATI-OTTR-ND/964303,"","","","","","","","",Constant - Programmable,IC CONTROLLR LI-ION 4.2V SOT23-5,"SC-74A, SOT-753",Over Voltage,footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MICROCHIP SOT-23-5 OT.PCBLIB,"","",MICROCHIP SOT-23-5 OT,"","","","2019-12-03 23:33:02.907000","0",Microchip Technology,MCP73831T-2ATI/OT,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"SC-74A, SOT-753",TapeAndReel,"1",Active,"0.42",Current,-,DigiKey,MCP73831T-2ATI/OTTR-ND,"","","","","","","","","","",SOT-23-5,symbols/Charger/SCH - CHARGER - MICROCHIP MCP73831.SCHLIB,MICROCHIP MCP73831,"","","6V"
Lithium Ion/Polymer,"4.2V","1.6A",=Part Number,Datasheet,http://www.skyworksinc.com/uploads/documents/AAT3693_201896E.pdf,DigiKey Link,//digikey.com/product-detail/en/skyworks-solutions-inc/AAT3693IDH-AA-T1/863-1512-2-ND/4246165,"","","","","","","","",Constant - Programmable,"1.6A LINEAR LI-ION CHGR 10TDFN","10-WFDFN Exposed Pad","Over Current, Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - DFN/PCB - LEADLESS - DFN - SKYWORKS TDFN-10 2.2X2.2MM.PCBLIB,"","",SKYWORKS TDFN-10 2.2X2.2MM,"","",USB,"2019-12-03 23:40:28.237000","0",Skyworks Solutions Inc.,AAT3693IDH-AA-T1,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-WFDFN Exposed Pad",TapeAndReel,"2",Active,"0.41",Current,-,DigiKey,"863-1512-2-ND","","","","","","","","","","","10-TDFN (2.2x2.2)",symbols/Charger/SCH - CHARGER - SKYWORKS AAT3693.SCHLIB,SKYWORKS AAT3693,"","","7.5V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24040,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24040DSQR/296-37142-2-ND/2231631,"","","","","","","","",Constant - Programmable,IC BATT CHG LI-ION 1 CELL 10SON,"10-WFDFN Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - SON/PCB - LEADLESS - SON - TI PWSON-10 DSQ.PCBLIB,"","",TI PWSON-10 DSQ,"","","","2019-12-03 23:44:46.857000","0",Texas Instruments,BQ24040DSQR,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-WFDFN Exposed Pad",TapeAndReel,"3",Active,"0.49",Current,-,DigiKey,"296-37142-2-ND","","","","","","","","","","","10-SON (2x2)",symbols/Charger/SCH - CHARGER - TI BQ24040_45.SCHLIB,TI BQ24040_45,"","","28V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24041,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24041DSQR/296-46410-1-ND/7033584,"","","","","","","","",Constant - Programmable,IC BATT CHG LI-ION 1 CELL 10SON,"10-WFDFN Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - SON/PCB - LEADLESS - SON - TI PWSON-10 DSQ.PCBLIB,"","",TI PWSON-10 DSQ,"","","","2019-12-03 23:47:33.150000","0",Texas Instruments,BQ24041DSQR,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-WFDFN Exposed Pad",CutTape,"4",Active,"1.26","",-,DigiKey,"296-46410-1-ND","","","","","","","","","","","10-WSON (2x2)",symbols/Charger/SCH - CHARGER - TI BQ24041.SCHLIB,TI BQ24041,"","","28V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24092DGQR/296-41204-2-ND/2353311,"","","","","","","","",Constant - Programmable,IC BATT CHARGER LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - SOP/PCB - LEADED - SOP - TI MSOP-10 DGQ.PCBLIB,"","",TI MSOP-10 DGQ,"","",USB,"2019-12-03 23:57:10.590000","0",Texas Instruments,BQ24092DGQR,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"5",Active,"0.50",Current,-,DigiKey,"296-41204-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,//digikey.com/product-detail/en/microchip-technology/MCP73833-AMI-UN/MCP73833-AMI-UN-ND/1223157,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width)",Over Temperature,footprints/Leaded - SOP/PCB - LEADED - SOP - MICROCHIP MSOP-10 UN.PCBLIB,"","",MICROCHIP MSOP-10 UN,"","","","2019-12-04 00:07:44.583000","0",Microchip Technology,MCP73833-AMI/UN,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-TFSOP, 10-MSOP (0.118, 3.00mm Width)",Tube,"6",Active,"0.85",Current,-,DigiKey,MCP73833-AMI/UN-ND,"","","","","","","","","","","10-MSOP",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.35V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24045,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24045DSQR/296-39905-2-ND/3926683,"","","","","","","","",Constant - Programmable,IC BATT CHG LI-ION 1 CELL 10SON,"10-WFDFN Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - SON/PCB - LEADLESS - SON - TI PWSON-10 DSQ.PCBLIB,"","",TI PWSON-10 DSQ,"","","","2019-12-04 01:41:13.730000","0",Texas Instruments,BQ24045DSQR,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-WFDFN Exposed Pad",TapeAndReel,"7",Active,"0.49",Current,-,DigiKey,"296-39905-2-ND","","","","","","","","","","","10-SON (2x2)",symbols/Charger/SCH - CHARGER - TI BQ24040_45.SCHLIB,TI BQ24040_45,"","","28V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24090DGQR/296-38875-2-ND/2353309,"","","","","","","","",Constant - Programmable,IC BATT CHRGR LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - SOP/PCB - LEADED - SOP - TI MSOP-10 DGQ.PCBLIB,"","",TI MSOP-10 DGQ,"","",USB,"2019-12-04 01:51:50.213000","0",Texas Instruments,BQ24090DGQR,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"8",Active,"0.50",Current,-,DigiKey,"296-38875-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24093DGQR/296-48106-2-ND/2353312,"","","","","","","","",Constant - Programmable,IC BATT CHRGR LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - SOP/PCB - LEADED - SOP - TI MSOP-10 DGQ.PCBLIB,"","",TI MSOP-10 DGQ,"","",USB,"2019-12-04 01:51:52.603000","0",Texas Instruments,BQ24093DGQR,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"9",Active,"0.50",Current,-,DigiKey,"296-48106-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24091DGQT/296-25864-2-ND/2237297,"","","","","","","","",Constant - Programmable,IC BATT CHRGR LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - SOP/PCB - LEADED - SOP - TI MSOP-10 DGQ.PCBLIB,"","",TI MSOP-10 DGQ,"","",USB,"2019-12-04 01:51:54.830000","0",Texas Instruments,BQ24091DGQT,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"10",Active,"0.83",Current,-,DigiKey,"296-25864-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
