"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","Impedance","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Polarization","Price","Ratings","Ripple Current @ High Frequency","Ripple Current @ Low Frequency","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Surface Mount Land Size","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"10uF",=Value,Datasheet,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UWX1C100MCL1GB/493-2100-1-ND/590075,"","","","","","","","",CAP ALUM 10UF 20% 16V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.780000","",Active,"2000 Hrs @ 85°C",Nichicon,UWX1C100MCL1GB,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7030",Active,Polar,"0.05","","34.5mA @ 10kHz","23mA @ 120Hz",UWX,"0.157 Dia (4.00mm)",DigiKey,"493-2100-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","10uF","16V"
Automotive,"10uF",=Value,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EEE-1CA100SR/PCE3878CT-ND/766254,"","","","","","","","",CAP ALUM 10UF 20% 16V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.777000","",Active,"2000 Hrs @ 85°C",Panasonic Electronic Components,EEE-1CA100SR,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7031",Active,Polar,"0.06",AEC-Q200,"47.6mA @ 10kHz","28mA @ 120Hz",S,"0.157 Dia (4.00mm)",DigiKey,PCE3878CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","10uF","16V"
Automotive,"22uF",=Value,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EEE-0JA220SR/PCE3857CT-ND/766233,"","","","","","","","",CAP ALUM 22UF 20% 6.3V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.773000","",Active,"2000 Hrs @ 85°C",Panasonic Electronic Components,EEE-0JA220SR,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7032",Active,Polar,"0.06",AEC-Q200,"49.3mA @ 10kHz","29mA @ 120Hz",S,"0.157 Dia (4.00mm)",DigiKey,PCE3857CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","22uF","6.3V"
Automotive,"10uF",=Value,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EEE-1VA100WR/PCE3948CT-ND/766324,"","","","","","","","",CAP ALUM 10UF 20% 35V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.770000","",Active,"1000 Hrs @ 85°C",Panasonic Electronic Components,EEE-1VA100WR,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7033",Active,Polar,"0.07",AEC-Q200,"37.4mA @ 10kHz","22mA @ 120Hz",S,"0.157 Dia (4.00mm)",DigiKey,PCE3948CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","10uF","35V"
Automotive,"2.2uF",=Value,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EEE-1VA2R2NR/PCE4295CT-ND/946230,"","","","","","","","",CAP ALUM 2.2UF 20% 35V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.767000","",Active,"2000 Hrs @ 85°C",Panasonic Electronic Components,EEE-1VA2R2NR,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7034",Active,Bi-Polar,"0.08",AEC-Q200,"20.4mA @ 10kHz","12mA @ 120Hz",S,"0.157 Dia (4.00mm)",DigiKey,PCE4295CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","2.2uF","35V"
Automotive,"1uF",=Value,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EEE-1HA010NR/PCE4301CT-ND/946236,"","","","","","","","",CAP ALUM 1UF 20% 50V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.747000","",Active,"2000 Hrs @ 85°C",Panasonic Electronic Components,EEE-1HA010NR,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7035",Active,Bi-Polar,"0.08",AEC-Q200,"17mA @ 10kHz","10mA @ 120Hz",S,"0.157 Dia (4.00mm)",DigiKey,PCE4301CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","1uF","50V"
Automotive,"10uF",=Value,Datasheet,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EEE-1AA100NR/PCE4288CT-ND/946223,"","","","","","","","",CAP ALUM 10UF 20% 10V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.733000","",Active,"2000 Hrs @ 85°C",Panasonic Electronic Components,EEE-1AA100NR,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7036",Active,Bi-Polar,"0.08",AEC-Q200,"42.5mA @ 10kHz","25mA @ 120Hz",S,"0.157 Dia (4.00mm)",DigiKey,PCE4288CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","10uF","10V"
High Temperature Reflow,"1uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/UWZ1H010MCL1GB/493-9937-1-ND/3963234,"","","","","","","","",CAP ALUM 1UF 20% 50V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.213 (5.40mm)","","2020-09-02 01:23:45.700000","",Active,"1000 Hrs @ 105°C",Nichicon,UWZ1H010MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7037",Active,Polar,"0.07","","9.45mA @ 10kHz","6.3mA @ 120Hz",UWZ,"0.157 Dia (4.00mm)",DigiKey,"493-9937-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","1uF","50V"
General Purpose,"47uF",=Value,Datasheet,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/EMVA6R3ADA470MD55G/565-2056-1-ND/757217,"","","","","","","","",CAP ALUM 47UF 20% 6.3V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.205 (5.20mm)","","2020-09-02 01:23:45.687000","",Active,"2000 Hrs @ 85°C",United Chemi-Con,EMVA6R3ADA470MD55G,"1",Surface Mount,-40°C ~ 85°C,"Radial, Can - SMD",TapeAndReel,"7038",Active,Polar,"0.07","","35.64mA @ 100kHz","33mA @ 120Hz",Alchip™- MVA,"0.157 Dia (4.00mm)",DigiKey,"565-2056-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","47uF","6.3V"
General Purpose,"4.7uF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/united-chemi-con/EMVE350ADA4R7MD55G/565-2229-1-ND/757390,"","","","","","","","",CAP ALUM 4.7UF 20% 35V SMD,"Radial, Can - SMD","",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.205 (5.20mm)","","2020-09-02 01:23:45.683000","",Active,"1000 Hrs @ 105°C",United Chemi-Con,EMVE350ADA4R7MD55G,"1",Surface Mount,-40°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"7039",Active,Polar,"0.07","","","16mA @ 120Hz",Alchip™- MVE,"0.157 Dia (4.00mm)",DigiKey,"565-2229-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,"","4.7uF","35V"
