"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","Impedance","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Ripple Current @ High Frequency","Ripple Current @ Low Frequency","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Surface Mount Land Size","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"33uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/PCF0G330MCL1GB/493-13983-1-ND/5180779,"","","","","","","","",CAP ALUM POLY 33UF 20% 4V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.483000","",Active,"2000 Hrs @ 105°C",Nichicon,PCF0G330MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1854",Active,"0.30","","700mA @ 100kHz","",PCF,"0.157 Dia (4.00mm)",DigiKey,"493-13983-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"33uF","4V"
General Purpose,"10uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+10SVP10M+8+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/10SVP10M/P16427CT-ND/4204209,"","","","","","","","",CAP ALUM POLY 10UF 20% 10V SMD,"Radial, Can - SMD","22mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.467000","",Active,"2000 Hrs @ 105°C",Panasonic Electronic Components,"10SVP10M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1855",Active,"0.35","","700mA @ 100kHz","35mA @ 120Hz","OS-CON™, SVP","0.157 Dia (4.00mm)",DigiKey,P16427CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"10uF","10V"
General Purpose,"15uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+10SVP15M+8+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/10SVP15M/P16431CT-ND/4204213,"","","","","","","","",CAP ALUM POLY 15UF 20% 10V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.443000","",Active,"2000 Hrs @ 105°C",Panasonic Electronic Components,"10SVP15M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1856",Active,"0.35","","740mA @ 100kHz","37mA @ 120Hz","OS-CON™, SVP","0.157 Dia (4.00mm)",DigiKey,P16431CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"15uF","10V"
General Purpose,"15uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/PCF1A150MCL1GB/493-13998-1-ND/5180794,"","","","","","","","",CAP ALUM POLY 15UF 20% 10V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.437000","",Active,"2000 Hrs @ 105°C",Nichicon,PCF1A150MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1857",Active,"0.36","","700mA @ 100kHz","",PCF,"0.157 Dia (4.00mm)",DigiKey,"493-13998-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"15uF","10V"
General Purpose,"3.3uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/PCF1C3R3MCL1GB/493-14016-1-ND/5180812,"","","","","","","","",CAP ALUM POLY 3.3UF 20% 16V SMD,"Radial, Can - SMD","260mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.433000","",Active,"2000 Hrs @ 105°C",Nichicon,PCF1C3R3MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1858",Active,"0.36","","660mA @ 100kHz","",PCF,"0.157 Dia (4.00mm)",DigiKey,"493-14016-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"3.3uF","16V"
General Purpose,"4.7uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/PCF1A4R7MCL1GB/493-14005-1-ND/5180801,"","","","","","","","",CAP ALUM POLY 4.7UF 20% 10V SMD,"Radial, Can - SMD","240mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.430000","",Active,"2000 Hrs @ 105°C",Nichicon,PCF1A4R7MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1859",Active,"0.36","","670mA @ 100kHz","",PCF,"0.157 Dia (4.00mm)",DigiKey,"493-14005-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"4.7uF","10V"
General Purpose,"22uF",=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C232.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/6SVPS22M/P19129CT-ND/5878905,"","","","","","","","",CAP ALUM POLY 22UF 20% 6.3V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.420000","",Active,"5000 Hrs @ 105°C",Panasonic Electronic Components,"6SVPS22M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1860",Active,"0.47","","740mA @ 100kHz","37mA @ 120Hz","OS-CON™, SVPS","0.157 Dia (4.00mm)",DigiKey,P19129CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"22uF","6.3V"
General Purpose,"22uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+6SVP22M+8+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/6SVP22M/P16599CT-ND/4204435,"","","","","","","","",CAP ALUM POLY 22UF 20% 6.3V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.397000","",Active,"2000 Hrs @ 105°C",Panasonic Electronic Components,"6SVP22M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1861",Active,"0.35","","740mA @ 100kHz","37mA @ 120Hz","OS-CON™, SVP","0.157 Dia (4.00mm)",DigiKey,P16599CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"22uF","6.3V"
General Purpose,"33uF",=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C232.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/4SVPS33M/P19130CT-ND/5878906,"","","","","","","","",CAP ALUM POLY 33UF 20% 4V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.377000","",Active,"5000 Hrs @ 105°C",Panasonic Electronic Components,"4SVPS33M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1862",Active,"0.47","","740mA @ 100kHz","37mA @ 120Hz","OS-CON™, SVPS","0.157 Dia (4.00mm)",DigiKey,P19130CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"33uF","4V"
General Purpose,"15uF",=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C232.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/10SVPS15M/P19128CT-ND/5878904,"","","","","","","","",CAP ALUM POLY 15UF 20% 10V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.370000","",Active,"5000 Hrs @ 105°C",Panasonic Electronic Components,"10SVPS15M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1863",Active,"0.47","","740mA @ 100kHz","37mA @ 120Hz","OS-CON™, SVPS","0.157 Dia (4.00mm)",DigiKey,P19128CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"15uF","10V"
General Purpose,"6.8uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+10SVP6R8M+8+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/10SVP6R8M/P123674CT-ND/9093038,"","","","","","","","",CAP ALUM POLY 6.8UF 20% 10V SMD,"Radial, Can - SMD","240mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.350000","",Active,"2000 Hrs @ 105°C",Panasonic Electronic Components,"10SVP6R8M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1864",Active,"0.37","","670mA @ 100kHz","33.5mA @ 120Hz","OS-CON™, SVP","0.157 Dia (4.00mm)",DigiKey,P123674CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"6.8uF","10V"
General Purpose,"10uF",=Value,Datasheet,https://katalog.we-online.de/pbs/datasheet/875105240001.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/875105240001/732-6401-1-ND/5147952,"","","","","","","","",CAP ALUM POLY 10UF 20% 10V SMD,"Radial, Can - SMD","45mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.347000","",Active,"2000 Hrs @ 105°C",Würth Elektronik,"875105240001","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1865",Active,"0.24","","1.2A @ 100kHz","60mA @ 120Hz",WCAP-PSLP,"0.157 Dia (4.00mm)",DigiKey,"732-6401-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"10uF","10V"
General Purpose,"15uF",=Value,Datasheet,https://katalog.we-online.de/pbs/datasheet/875105240002.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/875105240002/732-6402-1-ND/5147953,"","","","","","","","",CAP ALUM POLY 15UF 20% 10V SMD,"Radial, Can - SMD","45mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.343000","",Active,"2000 Hrs @ 105°C",Würth Elektronik,"875105240002","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1866",Active,"0.24","","1.2A @ 100kHz","60mA @ 120Hz",WCAP-PSLP,"0.157 Dia (4.00mm)",DigiKey,"732-6402-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"15uF","10V"
General Purpose,"6.8uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/PCF1A6R8MCL1GB/493-14008-1-ND/5180804,"","","","","","","","",CAP ALUM POLY 6.8UF 20% 10V SMD,"Radial, Can - SMD","240mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.333000","",Active,"2000 Hrs @ 105°C",Nichicon,PCF1A6R8MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1867",Active,"0.35","","670mA @ 100kHz","",PCF,"0.157 Dia (4.00mm)",DigiKey,"493-14008-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"6.8uF","10V"
General Purpose,"33uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+4SVP33M+8+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/4SVP33M/P16567CT-ND/4204390,"","","","","","","","",CAP ALUM POLY 33UF 20% 4V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.323000","",Active,"2000 Hrs @ 105°C",Panasonic Electronic Components,"4SVP33M","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1868",Active,"0.35","","740mA @ 100kHz","37mA @ 120Hz","OS-CON™, SVP","0.157 Dia (4.00mm)",DigiKey,P16567CT-ND,"","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"33uF","4V"
General Purpose,"10uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/RFS1A100MCN1GB/493-3682-1-ND/2202804,"","","","","","","","",CAP ALUM POLY 10UF 20% 10V SMD,"Radial, Can - SMD","220mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.205 (5.20mm)","","2020-09-02 01:22:02.307000","",Active,"2000 Hrs @ 105°C",Nichicon,RFS1A100MCN1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1869",Active,"0.21","","700mA @ 100kHz","70mA @ 120Hz","FPCAP, RFS","0.157 Dia (4.00mm)",DigiKey,"493-3682-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"10uF","10V"
General Purpose,"22uF",=Value,Datasheet,https://katalog.we-online.de/pbs/datasheet/875105240003.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/875105240003/732-6403-1-ND/5147954,"","","","","","","","",CAP ALUM POLY 22UF 20% 10V SMD,"Radial, Can - SMD","45mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.283000","",Active,"2000 Hrs @ 105°C",Würth Elektronik,"875105240003","1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1870",Active,"0.28","","1.2A @ 100kHz","60mA @ 120Hz",WCAP-PSLP,"0.157 Dia (4.00mm)",DigiKey,"732-6403-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"22uF","10V"
General Purpose,"22uF",=Value,Datasheet,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,DigiKey Link,http://digikey.com/product-detail/en/nichicon/PCF0J220MCL1GB/493-13988-1-ND/5180784,"","","","","","","","",CAP ALUM POLY 22UF 20% 6.3V SMD,"Radial, Can - SMD","200mOhm",footprints/Capacitor - Aluminium/PCB - CAPACITOR - ALUMINIUM - CAP ALSMD POLY 4.3MM H5.5MM.PCBLIB,"","",CAP ALSMD POLY 4.3MM H5.5MM,"","","0.217 (5.50mm)","","2020-09-02 01:22:02.257000","",Active,"2000 Hrs @ 105°C",Nichicon,PCF0J220MCL1GB,"1",Surface Mount,-55°C ~ 105°C,"Radial, Can - SMD",TapeAndReel,"1871",Active,"0.30","","700mA @ 100kHz","",PCF,"0.157 Dia (4.00mm)",DigiKey,"493-13988-1-ND","","","","","","","","","","","0.169 L x 0.169 W (4.30mm x 4.30mm)",,"capacitors\Capacitor_AL,capacitors\Capacitor_p",±20%,Polymer,"22uF","6.3V"
