"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"RF, Microwave, High Frequency","0.6pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1HR60WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1HR60WB01D/490-17142-1-ND/7602141,"","","","","","","","",CAP CER 0.6PF 50V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.837000","","",Active,Murata Electronics,GJM0335C1HR60WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"1",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17142-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.6pF","50V"
"RF, Microwave, High Frequency","0.7pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1ER70WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1ER70WB01D/490-12664-1-ND/5797633,"","","","","","","","",CAP CER 0.7PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.750000","","",Active,Murata Electronics,GJM0335C1ER70WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"2",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-12664-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.7pF","25V"
"RF, Microwave, High Frequency","2.1pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1E2R1WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1E2R1WB01D/490-14783-1-ND/6606389,"","","","","","","","",CAP CER 2.1PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.673000","","",Active,Murata Electronics,GJM0335C1E2R1WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"3",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-14783-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","2.1pF","25V"
General Purpose,"10pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0201C100J3GAC7867.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0201C100J3GAC7867/399-14856-1-ND/7382405,"","","","","","","","",CAP CER 10PF 25V C0G/NP0 0201,"0201 (0603 Metric)","",Low ESL,,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.590000","","",Active,KEMET,C0201C100J3GAC7867,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"4",Active,"0.02","",SMD Comm C0G,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"399-14856-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±5%,"","10pF","25V"
"RF, Microwave, High Frequency","0.82pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1HR82WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1HR82WB01D/490-17148-1-ND/7602147,"","","","","","","","",CAP CER 0.82PF 50V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.510000","","",Active,Murata Electronics,GJM0335C1HR82WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"5",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17148-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.82pF","50V"
"RF, Microwave, High Frequency","0.47pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1ER47WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1ER47WB01D/490-17310-1-ND/7602309,"","","","","","","","",CAP CER 0.47PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.423000","","",Active,Murata Electronics,GJM0335C1ER47WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"6",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17310-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.47pF","25V"
"RF, Microwave, High Frequency","0.3pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1ER30WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1ER30WB01D/490-8073-1-ND/4380359,"","","","","","","","",CAP CER 0.3PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.333000","","",Active,Murata Electronics,GJM0335C1ER30WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"7",Active,"0.03","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-8073-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.3pF","25V"
General Purpose,"100pF",=Value,Datasheet,http://datasheets.avx.com/C0GNP0-Dielectric.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/02013A101JAT2A/478-7387-1-ND/3660467,"","","","","","","","",CAP CER 100PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.237000","","",Active,AVX Corporation,"02013A101JAT2A","1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"8",Active,"0.09","",-,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"478-7387-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±5%,"","100pF","25V"
General Purpose,"2.2uF",=Value,Datasheet,http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A225MQ3CRNC.jsp,DigiKey Link,http://digikey.com/product-detail/en/samsung-electro-mechanics/CL03A225MQ3CRNC/1276-6870-1-ND/5961729,"","","","","","","","",CAP CER 2.2UF 6.3V X5R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.133000","","",Active,Samsung Electro-Mechanics,CL03A225MQ3CRNC,"1","Surface Mount, MLCC",-55°C ~ 85°C,"0201 (0603 Metric)",TapeAndReel,"9",Active,"0.11","",CL,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"1276-6870-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.013 (0.33mm)",±20%,"","2.2uF","6.3V"
General Purpose,"1uF",=Value,Datasheet,https://www.yuden.co.jp/productdata/catalog/mlcc01_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/AMK063AC6105MP-F/587-5813-1-ND/7674934,"","","","","","","","",CAP CER 1UF 4V 20% X6S 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:18.027000","","",Active,Taiyo Yuden,AMK063AC6105MP-F,"1","Surface Mount, MLCC",-55°C ~ 105°C,"0201 (0603 Metric)",TapeAndReel,"10",Active,"0.02","",M,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"587-5813-1-ND","","","","","","","","","","",,capacitors\capacitor,X6S,"0.014 (0.35mm)",±20%,"","1uF","4V"
