"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"0.015uF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Knowles%20Syfer/2220J1K00153JGT.pdf,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220J1K00153JGT/1608-1353-1-ND/7616433,"","","","","","","","",CAP CER .015UF 1KV C0G/NP0 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.777000","","",Active,Knowles Syfer,"2220J1K00153JGT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.20","",-,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1353-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0 (1B)","0.157 (4.00mm)",±5%,"","0.015uF","1000V (1kV)"
"Automotive, Boardflex Sensitive","0.47uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y5000474KST/1608-1178-6-ND/5730595,"","","","","","","","",CAP CER 0.47UF 500V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.773000","","",Active,Knowles Syfer,"2220Y5000474KST","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.86",AEC-Q200,FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1178-6-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.47uF","500V"
Boardflex Sensitive,"0.56uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y5000564KXT/1608-1180-1-ND/5730379,"","","","","","","","",CAP CER 0.56UF 500V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.767000","","",Active,Knowles Syfer,"2220Y5000564KXT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.95","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1180-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.56uF","500V"
Boardflex Sensitive,"0.33uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y6300334KJT/1608-1184-1-ND/5730383,"","","","","","","","",CAP CER 0.33UF 630V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.763000","","",Active,Knowles Syfer,"2220Y6300334KJT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"3.25","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1184-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.33uF","630V"
Boardflex Sensitive,"0.1uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y1K00104KJT/1608-1166-1-ND/5730365,"","","","","","","","",CAP CER 0.1UF 1KV X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.743000","","",Active,Knowles Syfer,"2220Y1K00104KJT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.66","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1166-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.1uF","1000V (1kV)"
Boardflex Sensitive,"1uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y1000105KXT/1608-1429-1-ND/7644531,"","","","","","","","",CAP CER 1UF 100V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.723000","","",Active,Knowles Syfer,"2220Y1000105KXT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"1.88","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1429-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R (2R1),"0.165 (4.20mm)",±10%,"","1uF","100V"
General Purpose,"6800pF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220J1K00682KCT/1608-1160-1-ND/5730359,"","","","","","","","",CAP CER 6800PF 1KV C0G/NP0 2220,"2220 (5750 Metric)","","",,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.703000","","",Active,Knowles Syfer,"2220J1K00682KCT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.06","",-,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1160-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.160 (4.06mm)",±10%,"","6800pF","1000V (1kV)"
Boardflex Sensitive,"0.47uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y5000474KJT/1608-1177-1-ND/5730376,"","","","","","","","",CAP CER 0.47UF 500V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.697000","","",Active,Knowles Syfer,"2220Y5000474KJT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.39","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1177-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.47uF","500V"
Boardflex Sensitive,"0.47uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y5000474KXT/1608-1179-1-ND/5730378,"","","","","","","","",CAP CER 0.47UF 500V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.693000","","",Active,Knowles Syfer,"2220Y5000474KXT","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"2.81","",FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1179-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.47uF","500V"
"Automotive, Boardflex Sensitive","0.33uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/553bc968-7ba5-4a3c-8fe7-7202594d8b34/C0G-NP0.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-syfer/2220Y6300334KST/1608-1185-1-ND/5730384,"","","","","","","","",CAP CER 0.33UF 630V X7R 2220,"2220 (5750 Metric)","",Soft Termination,,,,"C2220N,C2220L,C2220M",,,"","2020-09-02 01:11:25.690000","","",Active,Knowles Syfer,"2220Y6300334KST","1","Surface Mount, MLCC",-55°C ~ 125°C,"2220 (5750 Metric)",TapeAndReel,Active,"3.83",AEC-Q200,FlexiCap™,"0.224 L x 0.197 W (5.70mm x 5.00mm)",DigiKey,"1608-1185-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.165 (4.20mm)",±10%,"","0.33uF","630V"
