"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"RF, Microwave, High Frequency","0.6pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1HR60WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1HR60WB01D/490-17142-1-ND/7602141,"","","","","","","","",CAP CER 0.6PF 50V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.200000","","",Active,Murata Electronics,GJM0335C1HR60WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"1",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17142-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.6pF","50V"
"RF, Microwave, High Frequency","0.7pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1ER70WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1ER70WB01D/490-12664-1-ND/5797633,"","","","","","","","",CAP CER 0.7PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.197000","","",Active,Murata Electronics,GJM0335C1ER70WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"2",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-12664-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.7pF","25V"
"RF, Microwave, High Frequency","2.1pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1E2R1WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1E2R1WB01D/490-14783-1-ND/6606389,"","","","","","","","",CAP CER 2.1PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.193000","","",Active,Murata Electronics,GJM0335C1E2R1WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"3",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-14783-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","2.1pF","25V"
"RF, Microwave, High Frequency","0.82pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1HR82WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1HR82WB01D/490-17148-1-ND/7602147,"","","","","","","","",CAP CER 0.82PF 50V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.190000","","",Active,Murata Electronics,GJM0335C1HR82WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"4",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17148-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.82pF","50V"
"RF, Microwave, High Frequency","0.47pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1ER47WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1ER47WB01D/490-17310-1-ND/7602309,"","","","","","","","",CAP CER 0.47PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.187000","","",Active,Murata Electronics,GJM0335C1ER47WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"5",Active,"0.02","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17310-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.47pF","25V"
"RF, Microwave, High Frequency","0.3pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1ER30WB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1ER30WB01D/490-8073-1-ND/4380359,"","","","","","","","",CAP CER 0.3PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.183000","","",Active,Murata Electronics,GJM0335C1ER30WB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"6",Active,"0.03","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-8073-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.05pF,"","0.3pF","25V"
"RF, Microwave, High Frequency","5.1pF",=Value,Datasheet,https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,DigiKey Link,http://digikey.com/product-detail/en/johanson-technology-inc/250R05L5R1CV4T/712-1197-1-ND/1786659,"","","","","","","","",CAP CER 5.1PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.180000","","",Active,Johanson Technology Inc.,"250R05L5R1CV4T","1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"7",Active,"0.02","",L,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"712-1197-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","5.1pF","25V"
"RF, Microwave, High Frequency","5.6pF",=Value,"","",DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/885392004009/732-13223-1-ND/9816434,"","","","","","","","",CAP CER 5.6PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.177000","","",Active,Würth Elektronik,"885392004009","1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"8",Active,"0.04","",WCAP-CSRF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"732-13223-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","5.6pF","25V"
"RF, Microwave, High Frequency","9pF",=Value,"","",DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/885392004010/732-13224-1-ND/9816435,"","","","","","","","",CAP CER 9PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.173000","","",Active,Würth Elektronik,"885392004010","1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"9",Active,"0.04","",WCAP-CSRF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"732-13224-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.5pF,"","9pF","25V"
"RF, Microwave, High Frequency","6.2pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1E6R2CB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1E6R2CB01D/490-3075-1-ND/702341,"","","","","","","","",CAP CER 6.2PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201_RF-N,C0201_RF-L,C0201_RF-L",,,"","2020-09-02 01:16:59.170000","","",Active,Murata Electronics,GJM0335C1E6R2CB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"10",Active,"0.01","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-3075-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","6.2pF","25V"
