"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Dielectric Material","ESR (Equivalent Series Resistance)","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination","Tolerance","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
General Purpose,"0.033uF",=Value,Datasheet,https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECWF6333HL,DigiKey Link,https://www.digikey.cn/zh/products/detail/panasonic-electronic-components/ECW-F6333HL/585200,"","","","","","","","",CAP FILM 0.033UF 3% 630VDC RAD,Radial,"Polypropylene (PP), Metallized","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - RADIAL-10.0MM.PCBLIB,"","",CAP RADIAL-10.0MM 13.0x7.1x11.2MM,"","","0.441 (11.20mm)","2020-09-02 01:24:42.780000","",Active,Panasonic Electronic Components,ECW-F6333HL,"1",Through Hole,-40°C ~ 105°C,Radial,Bulk,Active,"1.13","",ECW-F(L),"0.512 L x 0.280 W (13.00mm x 7.10mm)",DigiKey,P12133-ND,"","","","","","","","","","",,capacitors\capacitor,PC Pins,±3%,"","0.033uF","223V","630V"
"DC Link, DC Filtering","0.22uF",=Value,Datasheet,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,DigiKey Link,http://digikey.com/product-detail/en/rubycon/16MU224MZ22012/1189-2514-1-ND/4969572,"","","","","","","","",CAP FILM 0.22UF 20% 16VDC 0805,"0805 (2012 Metric)","Acrylic, Metallized","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.047 (1.20mm)","2020-09-02 01:24:42.770000","",Active,Rubycon,"16MU224MZ22012","1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.13","","PMLCAP®, MU","0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,"1189-2514-1-ND","","","","","","","","","","",,capacitors\capacitor,Solder Pads,±20%,"","0.22uF","","16V"
General Purpose,"1500pF",=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/ECH-U_B.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H152JB5/PCF1014CT-ND/112255,"","","","","","","","",CAP FILM 1500PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.039 (1.00mm)","2020-09-02 01:24:42.763000","",Active,Panasonic Electronic Components,ECH-U1H152JB5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.18","",ECH-U(B),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1014CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1500pF","","50V"
"EMI, RFI Suppression","0.1uF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0012+ECPU1C104MA5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECP-U1C104MA5/PCF1126CT-ND/285453,"","","","","","","","",CAP FILM 0.1UF 20% 16VDC 0805,"0805 (2012 Metric)","Acrylic, Metallized - Stacked","",Low ESR,footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.047 (1.20mm)","2020-09-02 01:24:42.740000","",Active,Panasonic Electronic Components,ECP-U1C104MA5,"1",Surface Mount,-40°C ~ 85°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.16","",ECP-U(A),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1126CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±20%,"","0.1uF","","16V"
General Purpose,"100pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H101JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H101JX5/PCF1316CT-ND/353788,"","","","","","","","",CAP FILM 100PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.737000","",Active,Panasonic Electronic Components,ECH-U1H101JX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.10","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1316CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","100pF","","50V"
General Purpose,"4700pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C472GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C472GX5/PCF1173CT-ND/353720,"","","","","","","","",CAP FILM 4700PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.733000","",Active,Panasonic Electronic Components,ECH-U1C472GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.11","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1173CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","4700pF","","16V"
General Purpose,"10000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C103GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C103GX5/PCF1177CT-ND/353724,"","","","","","","","",CAP FILM 10000PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.051 (1.30mm)","2020-09-02 01:24:42.730000","",Active,Panasonic Electronic Components,ECH-U1C103GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1177CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","10000pF","","16V"
General Purpose,"1000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H102JX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H102JX5/PCF1328CT-ND/353800,"","","","","","","","",CAP FILM 1000PF 5% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.723000","",Active,Panasonic Electronic Components,ECH-U1H102JX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1328CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±5%,"","1000pF","","50V"
General Purpose,"1000pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H102GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1H102GX5/PCF1296CT-ND/353768,"","","","","","","","",CAP FILM 1000PF 2% 50VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.720000","",Active,Panasonic Electronic Components,ECH-U1H102GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1296CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","1000pF","","50V"
General Purpose,"3300pF",=Value,Datasheet,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C332GX5+7+WW,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ECH-U1C332GX5/PCF1171CT-ND/353718,"","","","","","","","",CAP FILM 3300PF 2% 16VDC 0805,"0805 (2012 Metric)","Polyphenylene Sulfide (PPS), Metallized - Stacked","","",footprints/Capacitor - Film/PCB - CAPACITOR - FILM - CAP FILM 0805.PCBLIB,"","",CAP FILM 0805,"","","0.043 (1.10mm)","2020-09-02 01:24:42.717000","",Active,Panasonic Electronic Components,ECH-U1C332GX5,"1",Surface Mount,-55°C ~ 125°C,"0805 (2012 Metric)",TapeAndReel,Active,"0.12","",ECH-U(X),"0.079 L x 0.049 W (2.00mm x 1.25mm)",DigiKey,PCF1171CT-ND,"","","","","","","","","","",,capacitors\capacitor,Solder Pads,±2%,"","3300pF","","16V"
