"Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Manufacturer Size Code","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
"1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CWR11MH105KB.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CWR11MH105KB/1001-2230-1-ND/3317720,"","","","","","","","",CAP TANT 1UF 10% 35V 1411,"1411 (3528 Metric)","6.5Ohm",B (0.1%),High Reliability,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.453000","",Active,"",KEMET,CWR11MH105KB,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"1",Active,"1.20","","Military, MIL-PRF-55365/8, CWR11","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"1001-2230-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"1uF","35V"
"4.7uF",=Value,Datasheet,http://www.vishay.com/docs/40080/tr3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TR3B475K025C0700/718-1523-1-ND/1859998,"","","","","","","","",CAP TANT 4.7UF 10% 25V 1411,"1411 (3528 Metric)","700mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:46.450000","",Active,"",Vishay Sprague,TR3B475K025C0700,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"2",Active,"0.45","","TANTAMOUNT®, TR3","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1523-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"4.7uF","25V"
"47uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B476K010AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B476K010AT/399-18791-1-ND/9642326,"","","","","","","","",CAP TANT 47UF 10% 10V 1411,"1411 (3528 Metric)","650mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.433000","",Active,"2000 Hrs @ 125°C",KEMET,T494B476K010AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"3",Active,"0.45","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18791-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"47uF","10V"
"15uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B156K025AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B156K025AT/399-5299-1-ND/1842105,"","","","","","","","",CAP TANT 15UF 10% 25V 1411,"1411 (3528 Metric)","3Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.430000","",Active,"2000 Hrs @ 125°C",KEMET,T494B156K025AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"4",Active,"0.45","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-5299-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"15uF","25V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491T106K016AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491T106K016AT/399-8400-1-ND/3472123,"","","","","","","","",CAP TANT 10UF 10% 16V 1411,"1411 (3528 Metric)","8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.047 (1.20mm)","2020-09-02 01:15:46.423000","",Active,"2000 Hrs @ 125°C",KEMET,T491T106K016AT,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"5",Active,"0.46","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-8400-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","16V"
"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T495B226K010ATE500.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T495B226K010ATE500/399-18339-1-ND/9460195,"","","","","","","","",CAP TANT 22UF 10% 10V 1411,"1411 (3528 Metric)","500mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.420000","",Active,"2000 Hrs @ 125°C",KEMET,T495B226K010ATE500,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"6",Active,"0.46","",T495,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-18339-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","10V"
"100uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T494B107M006AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T494B107M006AT/399-3833-1-ND/819158,"","","","","","","","",CAP TANT 100UF 20% 6.3V 1411,"1411 (3528 Metric)","1.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:46.403000","",Active,"2000 Hrs @ 125°C",KEMET,T494B107M006AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"7",Active,"0.48","",T494,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3833-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","6.3V"
"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491T226K010AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491T226K010AT/399-10204-1-ND/3759321,"","","","","","","","",CAP TANT 22UF 10% 10V 1411,"1411 (3528 Metric)","8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.047 (1.20mm)","2020-09-02 01:15:46.400000","",Active,"2000 Hrs @ 125°C",KEMET,T491T226K010AT,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"8",Active,"0.49","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-10204-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","10V"
"330uF",=Value,Datasheet,http://datasheets.avx.com/F95.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F950G337KTAAQ2/478-8377-1-ND/4005744,"","","","","","","","",CAP TANT 330UF 10% 4V 1411,"1411 (3528 Metric)","800mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.063 (1.60mm)","2020-09-02 01:15:46.393000","",Active,"",AVX Corporation,F950G337KTAAQ2,T,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"9",Active,"0.48","","F95, Frameless™","0.138 L x 0.106 W (3.50mm x 2.70mm)",DigiKey,"478-8377-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Conformal Coated,"330uF","4V"
"6.8uF",=Value,Datasheet,http://www.vishay.com/docs/40080/tr3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/TR3B685K025C0400/718-1530-1-ND/1860005,"","","","","","","","",CAP TANT 6.8UF 10% 25V 1411,"1411 (3528 Metric)","400mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:46.390000","",Active,"",Vishay Sprague,TR3B685K025C0400,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"10",Active,"0.49","","TANTAMOUNT®, TR3","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1530-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"6.8uF","25V"
