"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Connector Type","Contact Finish - Mating","Contact Finish - Post","Contact Finish Thickness - Mating","Contact Length - Mating","Contact Length - Post","Contact Material","Contact Shape","Contact Type","Current Rating (Amps)","Description","Device Package","Fastening Type","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Ingress Protection","Insulation Color","Insulation Height","Insulation Material","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Material Flammability Rating","Minimum Order","Mounting Type","Number of Positions","Number of Positions Loaded","Number of Rows","Operating Temperature","Overall Contact Length","Packaging","PartId","Part Status","Pitch - Mating","Price","Row Spacing - Mating","Series","Shrouding","Style","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Termination","Type","Value","Voltage Rating"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 1POS 2.00MM,,,,,,,,,,,,,,,,,PZ200V-11-01P,,,Through Hole,"1",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X1,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2POS 2.00MM,,,,,,,HDRV2W50P200_2X1_400X200H615,,,,,,,,,,PZ200V-11-02P,,,Through Hole,"2",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X2,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 3POS 2.00MM,,,,,,,HDRV3W50P200_3X1_600X200H615,,,,,,,,,,PZ200V-11-03P,,,Through Hole,"3",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X3,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 4POS 2.00MM,,,,,,,HDRV4W50P200_4X1_800X200H615,,,,,,,,,,PZ200V-11-04P,,,Through Hole,"4",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X4,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 5POS 2.00MM,,,,,,,HDRV5W50P200_5X1_1000X200H615,,,,,,,,,,PZ200V-11-05P,,,Through Hole,"5",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X5,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 6POS 2.00MM,,,,,,,HDRV6W50P200_6X1_1200X200H615,,,,,,,,,,PZ200V-11-06P,,,Through Hole,"6",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X6,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 7POS 2.00MM,,,,,,,HDRV7W50P200_7X1_1400X200H615,,,,,,,,,,PZ200V-11-07P,,,Through Hole,"7",,"1",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_1X7,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X2POS 2.00MM,,,,,,,HDRV4W50P200_2X2_400X400H615,,,,,,,,,,PZ200V-12-04P,,,Through Hole,"4",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X2,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X3POS 2.00MM,,,,,,,HDRV6W50P200_3X2_600X400H615,,,,,,,,,,PZ200V-12-06P,,,Through Hole,"6",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X3,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X4POS 2.00MM,,,,,,,HDRV8W50P200_4X2_800X400H615,,,,,,,,,,PZ200V-12-08P,,,Through Hole,"8",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X4,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X5POS 2.00MM,,,,,,,HDRV10W50P200_5X2_1000X400H615,,,,,,,,,,PZ200V-12-10P,,,Through Hole,"10",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X5,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X6POS 2.00MM,,,,,,,HDRV12W50P200_6X2_1200X400H615,,,,,,,,,,PZ200V-12-12P,,,Through Hole,"12",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X6,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X7POS 2.00MM,,,,,,,HDRV14W50P200_7X2_1400X400H615,,,,,,,,,,PZ200V-12-14P,,,Through Hole,"14",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X7,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X8POS 2.00MM,,,,,,,HDRV16W50P200_8X2_1600X400H615,,,,,,,,,,PZ200V-12-16P,,,Through Hole,"16",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X8,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X9POS 2.00MM,,,,,,,HDRV18W50P200_9X2_1800X400H615,,,,,,,,,,PZ200V-12-18P,,,Through Hole,"18",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X9,,,,"250V"
=Part Number,Datasheet,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,,,,,,,,,,Header,,,,,,,,Male Pin,"1.5A",CONN HEADER VERT 2X10POS 2.00MM,,,,,,,HDRV20W50P200_10X2_2000X400H615,,,,,,,,,,PZ200V-12-20P,,,Through Hole,"20",,"2",,,,,,"0.079 (2.00mm)",,,,,,,,,,,,,,,,,,,Connector_PinHeader_200\Header_Male_Pin_2X10,,,,"250V"
