"Architecture","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Configuration","Data Interface","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Input Type","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of A/D Converters","Number of Bits","Number of Inputs","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratio - S/H:ADC","Reference Type","Sampling Rate (Per Second)","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Supply, Analog","Voltage - Supply, Digital"
Sigma-Delta,=Part Number,Datasheet,https://www.renesas.com/en-us/www/doc/datasheet/isl26102-isl26104.pdf,DigiKey Link,//digikey.com/product-detail/en/renesas-electronics-america-inc/ISL26102AVZ-T7A/ISL26102AVZ-T7ATR-ND/3726277,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 24TSSOP,"24-TSSOP (0.173, 4.40mm Width)","PGA, Temperature Sensor",footprints/Leaded - SOP/PCB - LEADED - SOP - INTERSIL TSSOP-24 M24.173.PCBLIB,"","",INTERSIL TSSOP-24 M24.173,"","",Differential,"2019-12-02 15:43:06.647000","0",Renesas Electronics America Inc.,ISL26102AVZ-T7A,"1",Surface Mount,"1","24","2",-40°C ~ 105°C,"24-TSSOP (0.173, 4.40mm Width)",TapeAndReel,"1",Active,"8.41","",External,"4k",-,DigiKey,ISL26102AVZ-T7ATR-ND,"","","","","","","","","","","24-TSSOP",symbols/ADC/SCH - ADC - INTERSIL ISL26102AVZ.SCHLIB,INTERSIL ISL26102AVZ,"","","5V","2.7V ~ 5.25V"
Sigma-Delta,=Part Number,Datasheet,https://www.renesas.com/en-us/www/doc/datasheet/isl26102-isl26104.pdf,DigiKey Link,//digikey.com/product-detail/en/renesas-electronics-america-inc/ISL26104AVZ-T7A/ISL26104AVZ-T7ATR-ND/3726278,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 28TSSOP,"28-TSSOP (0.173, 4.40mm Width)","PGA, Temperature Sensor",footprints/Leaded - SOP/PCB - LEADED - SOP - INTERSIL TSSOP-28 M28.173.PCBLIB,"","",INTERSIL TSSOP-28 M28.173,"","",Differential,"2019-12-02 15:43:41.800000","0",Renesas Electronics America Inc.,ISL26104AVZ-T7A,"1",Surface Mount,"1","24","4",-40°C ~ 105°C,"28-TSSOP (0.173, 4.40mm Width)",TapeAndReel,"2",Active,"8.41","",External,"4k",-,DigiKey,ISL26104AVZ-T7ATR-ND,"","","","","","","","","","","28-TSSOP",symbols/ADC/SCH - ADC - INTERSIL ISL26104AVZ.SCHLIB,INTERSIL ISL26104AVZ,"","","5V","2.7V ~ 5.25V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1120,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1120IRVAR/296-46064-2-ND/6571556,"","","","","","","","","","",IC ADC 16VQFN,"16-VFQFN Exposed Pad","",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI VQFN-16 RVA.PCBLIB,"","",TI VQFN-16 RVA,"","","","2019-12-02 15:46:01.167000","0",Texas Instruments,ADS1120IRVAR,"1",Surface Mount,"","","","","16-VFQFN Exposed Pad",TapeAndReel,"3",Active,"3.47","","","",*,DigiKey,"296-46064-2-ND","","","","","","","","","","","16-VQFN",symbols/ADC/SCH - ADC - TI ADS1120 QFN.SCHLIB,TI ADS1120 QFN,"","","",""
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1120,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1120IPWR/296-37280-2-ND/4701590,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 16BIT SIGMA-DELTA 16TSSOP,"16-TSSOP (0.173, 4.40mm Width)","PGA, Temperature Sensor",footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-16 PW.PCBLIB,"","",TI TSSOP-16 PW,"","","Differential, Single Ended","2019-12-02 15:46:45.520000","0",Texas Instruments,ADS1120IPWR,"1",Surface Mount,"1","16","2, 4",-40°C ~ 125°C,"16-TSSOP (0.173, 4.40mm Width)",TapeAndReel,"4",Active,"3.47","","External, Internal, Supply","2k",-,DigiKey,"296-37280-2-ND","","","","","","","","","","","16-TSSOP",symbols/ADC/SCH - ADC - TI ADS1120 TSSOP.SCHLIB,TI ADS1120 TSSOP,"","","2.3V ~ 5.5V","2.3V ~ 5.5V"
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1120-q1,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1120QPWRQ1/296-39850-1-ND/5177727,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 16BIT SIGMA-DELTA 16TSSOP,"16-TSSOP (0.173, 4.40mm Width)","PGA, Temperature Sensor",footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-16 PW.PCBLIB,"","",TI TSSOP-16 PW,"","","Differential, Single Ended","2019-12-02 15:47:11.647000","0",Texas Instruments,ADS1120QPWRQ1,"1",Surface Mount,"1","16","2, 4",-40°C ~ 125°C,"16-TSSOP (0.173, 4.40mm Width)",CutTape,"5",Active,"8.02","","External, Internal, Supply","2k","Automotive, AEC-Q100",DigiKey,"296-39850-1-ND","","","","","","","","","","","16-TSSOP",symbols/ADC/SCH - ADC - TI ADS1120 TSSOP.SCHLIB,TI ADS1120 TSSOP,"","","2.3V ~ 5.5V","2.3V ~ 5.5V"
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1220,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1220IPWR/296-39851-2-ND/4307638,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 16TSSOP,"16-TSSOP (0.173, 4.40mm Width)","PGA, Temperature Sensor",footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-16 PW.PCBLIB,"","",TI TSSOP-16 PW,"","","Differential, Single Ended","2019-12-02 15:49:02.023000","0",Texas Instruments,ADS1220IPWR,"1",Surface Mount,"1","24","2, 4",-40°C ~ 125°C,"16-TSSOP (0.173, 4.40mm Width)",TapeAndReel,"6",Active,"4.35","","External, Internal, Supply","2k",-,DigiKey,"296-39851-2-ND","","","","","","","","","","","16-TSSOP",symbols/ADC/SCH - ADC - TI ADS1220 TSSOP.SCHLIB,TI ADS1220 TSSOP,"","","2.3V ~ 5.5V, ±2.5","2.3V ~ 5.5V"
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1220,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1220IRVAR/296-48475-1-ND/8567520,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 16VQFN,"16-VFQFN Exposed Pad","PGA, Temperature Sensor",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI VQFN-16 RVA.PCBLIB,"","",TI VQFN-16 RVA,"","","Differential, Single Ended","2019-12-02 15:49:42.693000","0",Texas Instruments,ADS1220IRVAR,"1",Surface Mount,"1","24","2, 4",-40°C ~ 125°C,"16-VFQFN Exposed Pad",CutTape,"7",Active,"8.52","","External, Internal, Supply","2k",-,DigiKey,"296-48475-1-ND","","","","","","","","","","","16-VQFN (3.5x3.5)",symbols/ADC/SCH - ADC - TI ADS1220.SCHLIB,TI ADS1220,"","","2.3V ~ 5.5V, ±2.5","2.3V ~ 5.5V"
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1240,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1240E-1K/296-38851-2-ND/1689143,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 24SSOP,"24-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-24 DB.PCBLIB,"","",TI SSOP-24 DB,"","","Differential, Single Ended","2019-12-02 15:50:50.967000","0",Texas Instruments,ADS1240E/1K,"1",Surface Mount,"1","24","4",-40°C ~ 85°C,"24-SSOP (0.209, 5.30mm Width)",TapeAndReel,"8",Active,"5.45","",External,"15",-,DigiKey,"296-38851-2-ND","","","","","","","","","","","24-SSOP",symbols/ADC/SCH - ADC - TI ADS1240.SCHLIB,TI ADS1240,"","","2.7V ~ 3.3V, 5V","2.7V ~ 5.25V"
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1240,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1241E-1K/296-25895-2-ND/1689146,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 28SSOP,"28-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-28 DB.PCBLIB,"","",TI SSOP-28 DB,"","","Differential, Single Ended","2019-12-02 15:51:43.103000","0",Texas Instruments,ADS1241E/1K,"1",Surface Mount,"1","24","8",-40°C ~ 85°C,"28-SSOP (0.209, 5.30mm Width)",TapeAndReel,"9",Active,"5.30","",External,"15",-,DigiKey,"296-25895-2-ND","","","","","","","","","","","28-SSOP",symbols/ADC/SCH - ADC - TI ADS1241.SCHLIB,TI ADS1241,"","","2.7V ~ 3.3V, 5V","2.7V ~ 5.25V"
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1242,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1242IPWR/296-46283-1-ND/7033458,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 16TSSOP,"16-TSSOP (0.173, 4.40mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-16 PW.PCBLIB,"","",TI TSSOP-16 PW,"","","Differential, Single Ended","2019-12-02 15:52:36.723000","0",Texas Instruments,ADS1242IPWR,"1",Surface Mount,"1","24","4",-40°C ~ 85°C,"16-TSSOP (0.173, 4.40mm Width)",CutTape,"10",Active,"9.73","",External,"15",-,DigiKey,"296-46283-1-ND","","","","","","","","","","","16-TSSOP",symbols/ADC/SCH - ADC - TI ADS1242.SCHLIB,TI ADS1242,"","","2.7V ~ 3.3V, 5V","2.7V ~ 5.25V"
