"Capacitance @ Vr, F","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Average Rectified (Io)","Current - Reverse Leakage @ Vr","Description","Device Package","Diode Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature - Junction","Package / Case","Packaging","PartId","Part Status","Price","Reverse Recovery Time (trr)","Series","Speed","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - DC Reverse (Vr) (Max)","Voltage - Forward (Vf) (Max) @ If"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30258.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS116T-7-F/BAS116T-FDICT-ND/815338,"","","","","","","","","215mA (DC)","5nA @ 75V",DIODE GEN PURP 85V 215MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.940000",Active,Diodes Incorporated,BAS116T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"1",Active,"0.06","3µs",-,"Standard Recovery >500ns, > 200mA (Io)",DigiKey,BAS116T-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","85V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30260.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS16T-7-F/BAS16T-7FDICT-ND/2181053,"","","","","","","","","75mA (DC)","2µA @ 75V",DIODE GP 85V 75MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.920000",Active,Diodes Incorporated,BAS16T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"2",Active,"0.08","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS16T-7FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","85V","1V @ 50mA"
"3.5pF @ 6V, 1MHz",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/MMBD4448HT_HTC_HTA_HTS(SOT-523).pdf,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/MMBD4448HT-TP/MMBD4448HT-TPMSCT-ND/2041561,"","","","","","","","","250mA","100nA @ 70V",DIODE GEN PURP 80V 250MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.900000",Active,Micro Commercial Co,MMBD4448HT-TP,"1",Surface Mount,"150°C (Max)",SOT-523,TapeAndReel,"3",Active,"0.09","4ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MMBD4448HT-TPMSCT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","80V","1.25V @ 150mA"
"3.5pF @ 6V, 1MHz",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30263.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/MMBD4448HT-7-F/MMBD4448HT-FDICT-ND/815718,"","","","","","","","","250mA","100nA @ 70V",DIODE GEN PURP 80V 250MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.883000",Active,Diodes Incorporated,MMBD4448HT-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"4",Active,"0.05","4ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MMBD4448HT-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","80V","1.25V @ 150mA"
"",=Part Number,Datasheet,"https://www.mccsemi.com/pdf/Products/BAS16T,BAW56T,BAV70T,BAV99T(SOT-523).PDF",DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/BAS16T-TP/BAS16T-TPCT-ND/819648,"","","","","","","","","75mA (DC)","2µA @ 75V",DIODE GEN PURP 85V 75MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.860000",Active,Micro Commercial Co,BAS16T-TP,"1",Surface Mount,-55°C ~ 150°C,SOT-523,TapeAndReel,"5",Active,"0.06","4ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS16T-TPCT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","85V","1V @ 50mA"
"",=Part Number,Datasheet,https://www.mccsemi.com/pdf/Products/BAS21T(SOT-523).PDF,DigiKey Link,http://digikey.com/product-detail/en/micro-commercial-co/BAS21T-TP/BAS21T-TPCT-ND/819650,"","","","","","","","","200mA","100nA @ 250V",DIODE GEN PURP 250V 200MA SOT523,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","2020-09-02 01:21:27.837000",Active,Micro Commercial Co,BAS21T-TP,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"6",Active,"0.04","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS21T-TPCT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","250V","1.25V @ 200mA"
"",=Part Number,Datasheet,https://toshiba.semicon-storage.com/info/docget.jsp?did=3386&prodName=1SS397,DigiKey Link,http://digikey.com/product-detail/en/toshiba-semiconductor-and-storage/1SS397TE85LF/1SS397TE85LFCT-ND/4304081,"","","","","","","","","100mA","1µA @ 400V",DIODE GEN PURP 400V 100MA SC70,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.997000",Active,Toshiba Semiconductor and Storage,"1SS397TE85LF","1",Surface Mount,"125°C (Max)","SC-70, SOT-323",TapeAndReel,"7",Active,"0.11","500ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,"1SS397TE85LFCT-ND","","","","","","","","","","",SC-70,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.3V @ 100mA"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/M1MA141KT1-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/M1MA141KT1G/M1MA141KT1GOSCT-ND/917953,"","","","","","","","","100mA (DC)","100nA @ 35V",DIODE GEN PURP 40V 100MA SC70-3,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.983000",Active,ON Semiconductor,M1MA141KT1G,"1",Surface Mount,"150°C (Max)","SC-70, SOT-323",TapeAndReel,"8",Active,"0.03","3ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,M1MA141KT1GOSCT-ND,"","","","","","","","","","",SC-70-3 (SOT323),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","40V","1.2V @ 100mA"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/BAS16WT1-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/SBAS16WT1G/SBAS16WT1GOSCT-ND/8538870,"","","","","","","","","200mA","1µA @ 75V",DIODE GEN PURP 75V 200MA SC70,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.963000",Active,ON Semiconductor,SBAS16WT1G,"1",Surface Mount,-55°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"9",Active,"0.08","6ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,SBAS16WT1GOSCT-ND,"","","","","","","","","","",SC-70,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","75V","1.25V @ 150mA"
"",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BAS20W-7-F/BAS20W-FDICT-ND/815342,"","","","","","","","","200mA","100nA @ 150V",DIODE GEN PURP 150V 200MA SOT323,"",Standard,footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2020-09-02 01:21:26.957000",Active,Diodes Incorporated,BAS20W-7-F,"1",Surface Mount,-65°C ~ 150°C,"SC-70, SOT-323",TapeAndReel,"10",Active,"0.05","50ns",-,"Small Signal =< 200mA (Io), Any Speed",DigiKey,BAS20W-FDICT-ND,"","","","","","","","","","",SOT-323,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","150V","1.25V @ 200mA"
