"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Reverse Leakage @ Vr","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Impedance (Max) (Zzt)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power - Max","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Forward (Vf) (Max) @ If","Voltage - Zener (Nom) (Vz)"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C15T-7-F/BZX84C15T-7-FDICT-ND/5218282,"","","","","","","","","100nA @ 10.5V",DIODE ZENER 15V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","30 Ohms","2020-09-02 01:21:30.737000",Active,Diodes Incorporated,BZX84C15T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,CutTape,"776",Active,"150mW","0.34",-,DigiKey,BZX84C15T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±6.12%,"","","900mV @ 10mA","15V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C16T-7-F/BZX84C16T-7-FDICT-ND/5218283,"","","","","","","","","100nA @ 11.2V",DIODE ZENER 16V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","40 Ohms","2020-09-02 01:21:30.723000",Active,Diodes Incorporated,BZX84C16T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,CutTape,"777",Active,"150mW","0.34",-,DigiKey,BZX84C16T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5.56%,"","","900mV @ 10mA","16V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C10T-7-F/BZX84C10T-FDICT-ND/1142241,"","","","","","","","","200nA @ 7V",DIODE ZENER 10V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","20 Ohms","2020-09-02 01:21:30.703000",Active,Diodes Incorporated,BZX84C10T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"778",Active,"150mW","0.06",-,DigiKey,BZX84C10T-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±6%,"","","900mV @ 10mA","10V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C12T-7-F/BZX84C12T-7-FDICT-ND/5218281,"","","","","","","","","100nA @ 8V",DIODE ZENER 12V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","25 Ohms","2020-09-02 01:21:30.680000",Active,Diodes Incorporated,BZX84C12T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"779",Active,"150mW","0.09",-,DigiKey,BZX84C12T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","12V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C22T-7-F/BZX84C22T-7-FDICT-ND/5218284,"","","","","","","","","100nA @ 15.4V",DIODE ZENER 22V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","55 Ohms","2020-09-02 01:21:30.677000",Active,Diodes Incorporated,BZX84C22T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"780",Active,"150mW","0.09",-,DigiKey,BZX84C22T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5.67%,"","","900mV @ 10mA","22V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C2V7T-7-F/BZX84C2V7T-7-FDICT-ND/5218285,"","","","","","","","","20µA @ 1V",DIODE ZENER 2.7V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","100 Ohms","2020-09-02 01:21:30.663000",Active,Diodes Incorporated,BZX84C2V7T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"781",Active,"150mW","0.09",-,DigiKey,BZX84C2V7T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±7.41%,"","","900mV @ 10mA","2.7V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C33T-7-F/BZX84C33T-7-FDICT-ND/5218286,"","","","","","","","","100nA @ 23.1V",DIODE ZENER 33V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","80 Ohms","2020-09-02 01:21:30.650000",Active,Diodes Incorporated,BZX84C33T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"782",Active,"150mW","0.09",-,DigiKey,BZX84C33T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±6.06%,"","","900mV @ 10mA","33V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C4V3T-7-F/BZX84C4V3T-7-FDICT-ND/5218287,"","","","","","","","","3µA @ 1V",DIODE ZENER 4.3V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","90 Ohms","2020-09-02 01:21:30.630000",Active,Diodes Incorporated,BZX84C4V3T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"783",Active,"150mW","0.09","Automotive, AEC-Q101",DigiKey,BZX84C4V3T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","4.3V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C5V1T-7-F/BZX84C5V1T-7-FDICT-ND/5218288,"","","","","","","","","2µA @ 2V",DIODE ZENER 5.1V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","60 Ohms","2020-09-02 01:21:30.627000",Active,Diodes Incorporated,BZX84C5V1T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"784",Active,"150mW","0.09",-,DigiKey,BZX84C5V1T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5.88%,"","","900mV @ 10mA","5.1V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30262.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/BZX84C6V8T-7-F/BZX84C6V8T-7-FDICT-ND/5218289,"","","","","","","","","2µA @ 4V",DIODE ZENER 6.8V 150MW SOT523,"",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-523.PCBLIB,"","",DIODES SOT-523,"","","15 Ohms","2020-09-02 01:21:30.617000",Active,Diodes Incorporated,BZX84C6V8T-7-F,"1",Surface Mount,-65°C ~ 150°C,SOT-523,TapeAndReel,"785",Active,"150mW","0.09",-,DigiKey,BZX84C6V8T-7-FDICT-ND,"","","","","","","","","","",SOT-523,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5.88%,"","","900mV @ 10mA","6.8V"
