"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Max)","DC Resistance (DCR) (Max)","Description","Device Package","Features","Filter Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height (Max)","Impedance @ Frequency","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Lines","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603F330CT000/445-7792-1-ND/2747717,"","","","","","","","","150mA","1.3Ohm",FERRITE BEAD 33 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","33 Ohms @ 100MHz","2020-09-02 01:18:07.903000",Active,TDK Corporation,MMZ0603F330CT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"1",Active,"0.03","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-7792-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","33 Ohms @ 100MHz"
=Value,Datasheet,https://www.murata.com/en-us/products/productdata/8796741140510/ENFA0020.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/BLM03BX102SN1D/490-14882-1-ND/6799547,"","","","","","","","","170mA","1.7Ohm",FERRITE BEAD 1 KOHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","1 kOhms @ 100MHz","2020-09-02 01:18:07.900000",Active,Murata Electronics,BLM03BX102SN1D,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"2",Active,"0.03","",BLM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-14882-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","1 kOhms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603-h_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603S471HT000/445-172342-1-ND/4916914,"","","","","","","","","310mA","650mOhm",FERRITE BEAD 470 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","470 Ohms @ 100MHz","2020-09-02 01:18:07.897000",Active,TDK Corporation,MMZ0603S471HT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"3",Active,"0.03","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-172342-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","470 Ohms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603-h_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603S121HT000/445-172340-1-ND/4916911,"","","","","","","","","480mA","220mOhm",FERRITE BEAD 120 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","120 Ohms @ 100MHz","2020-09-02 01:18:07.893000",Active,TDK Corporation,MMZ0603S121HT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"4",Active,"0.03","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-172340-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","120 Ohms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603Y471CT000/445-2149-1-ND/765080,"","","","","","","","","200mA","1.4Ohm",FERRITE BEAD 470 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","470 Ohms @ 100MHz","2020-09-02 01:18:07.890000",Active,TDK Corporation,MMZ0603Y471CT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"5",Active,"0.03","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-2149-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","470 Ohms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603-h_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603S102HT000/445-15755-1-ND/4328051,"","","","","","","","","200mA","1.25Ohm",FERRITE BEAD 1 KOHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","1 kOhms @ 100MHz","2020-09-02 01:18:07.887000",Active,TDK Corporation,MMZ0603S102HT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"6",Active,"0.04","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-15755-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","1 kOhms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603D470CT000/445-15753-1-ND/4328049,"","","","","","","","","200mA","700mOhm",FERRITE BEAD 47 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","47 Ohms @ 100MHz","2020-09-02 01:18:07.883000",Active,TDK Corporation,MMZ0603D470CT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"7",Active,"0.04","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-15753-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","47 Ohms @ 100MHz"
=Value,Datasheet,https://www.murata.com/en-us/products/productdata/8796741140510/ENFA0020.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/BLM03BX182SN1D/490-14883-1-ND/6799548,"","","","","","","","","140mA","2.5Ohm",FERRITE BEAD 1.8 KOHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","1.8 kOhms @ 100MHz","2020-09-02 01:18:07.880000",Active,Murata Electronics,BLM03BX182SN1D,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"8",Active,"0.03","",BLM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-14883-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","1.8 kOhms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603Y750CT000/445-15757-1-ND/4328053,"","","","","","","","","300mA","350mOhm",FERRITE BEAD 75 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","75 Ohms @ 100MHz","2020-09-02 01:18:07.877000",Active,TDK Corporation,MMZ0603Y750CT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"9",Active,"0.04","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-15757-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","75 Ohms @ 100MHz"
=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz0603_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/MMZ0603S100CT000/445-2141-1-ND/765072,"","","","","","","","","1A","50mOhm",FERRITE BEAD 10 OHM 0201 1LN,"0201 (0603 Metric)","",Signal Line,footprints/Ferrite - Chip/PCB - FERRITE - CHIP - FER 0201_0603.PCBLIB,"","",FER 0201_0603,"","","0.013 (0.33mm)","10 Ohms @ 100MHz","2020-09-02 01:18:07.873000",Active,TDK Corporation,MMZ0603S100CT000,"1",Surface Mount,"1",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"10",Active,"0.03","",MMZ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"445-2141-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - FERRITE CHIP.SCHLIB,FERRITE CHIP,"","10 Ohms @ 100MHz"
