"Approval Agency","Approvals","Breaking Capacity @ Rated Voltage","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Fuse Type","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Melting I²t","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Response Time","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage Rating - AC","Voltage Rating - DC"
"cURus, VDE","cURus, VDE","63A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_USI_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0214.22/486-1142-1-ND/1522974,"","","","","","","","","630mA",FUSE BOARD MNT 630MA 32VAC 63VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.677000",Active,Schurter Inc.,"3413.0214.22","0.076","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Fast Blow,USI 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1142-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
"cURus, VDE","cURus, VDE","63A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_USI_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0222.22/486-1150-1-ND/1522982,"","","","","","","","","4A",FUSE BRD MNT 4A 32VAC 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.687000",Active,Schurter Inc.,"3413.0222.22","2.74","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Fast Blow,USI 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1150-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
cURus,cURus,"100A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_UST_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0331.22/486-1689-1-ND/2870101,"","","","","","","","","20A",FUSE BOARD MOUNT 20A 32VAC 63VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.697000",Active,Schurter Inc.,"3413.0331.22","110","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Slow Blow,UST 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1689-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
cURus,cURus,"100A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_UST_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0332.22/486-1690-1-ND/2870103,"","","","","","","","","25A",FUSE BOARD MOUNT 25A 32VAC 63VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.707000",Active,Schurter Inc.,"3413.0332.22","220","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Slow Blow,UST 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1690-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
cURus,cURus,"100A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_UST_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0328.22/486-1686-1-ND/2870095,"","","","","","","","","10A",FUSE BOARD MOUNT 10A 32VAC 63VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.710000",Active,Schurter Inc.,"3413.0328.22","21","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.21",Slow Blow,UST 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1686-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
cURus,cURus,"100A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_UST_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0327.22/486-1685-1-ND/2870094,"","","","","","","","","8A",FUSE BRD MNT 8A 32VAC 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.730000",Active,Schurter Inc.,"3413.0327.22","14","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.21",Slow Blow,UST 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1685-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
"cURus, VDE","cURus, VDE","63A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_USI_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0215.22/486-1143-1-ND/1522975,"","","","","","","","","800mA",FUSE BOARD MNT 800MA 32VAC 63VDC,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.747000",Active,Schurter Inc.,"3413.0215.22","0.18","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Fast Blow,USI 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1143-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
"cURus, VDE","cURus, VDE","63A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_USI_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0216.22/486-1144-1-ND/1522976,"","","","","","","","","1A",FUSE BRD MNT 1A 32VAC 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.757000",Active,Schurter Inc.,"3413.0216.22","0.2","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Fast Blow,USI 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1144-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
"cURus, VDE","cURus, VDE","63A","",=Part Number,Datasheet,https://us.schurter.com/pdf/english/typ_USI_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0219.22/486-1147-1-ND/1522979,"","","","","","","","","2A",FUSE BRD MNT 2A 32VAC 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.770000",Active,Schurter Inc.,"3413.0219.22","0.79","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.26",Fast Blow,USI 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1147-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
cURus,cURus,"50A","",=Part Number,Datasheet,http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_USF_1206.pdf,DigiKey Link,http://digikey.com/product-detail/en/schurter-inc/3413.0115.22/486-1677-1-ND/2870078,"","","","","","","","","1A",FUSE BRD MNT 1A 32VAC 63VDC 1206,"1206 (3216 Metric)",footprints/Fuse/PCB - FUSE - FUSE 1206_3216 0.6MM.PcbLib,"","",FUSE 1206_3216 0.6MM,"","",Board Mount (Cartridge Style Excluded),"2020-09-02 01:30:40.773000",Active,Schurter Inc.,"3413.0115.22","0.07","1",Surface Mount,-55°C ~ 90°C,"1206 (3216 Metric)",TapeAndReel,Active,"0.24",Fast Blow,USF 1206,"0.126 L x 0.063 W x 0.024 H (3.20mm x 1.60mm x 0.60mm)",DigiKey,"486-1677-1-ND","","","","","","","","","","",symbols/Fuse/SCH - FUSE - MOUNTED FUSE.Schlib,MOUNTED FUSE,"","","32V","63V"
