"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Current - Saturation","DC Resistance (DCR)","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency - Self Resonant","Height - Seated (Max)","Inductance","Inductance Frequency - Test","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Material - Core","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Q @ Freq","Ratings","Series","Shielding","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-4R7M/SRP5030T-4R7MCT-ND/3986026,"","","","","","","","","4.6A","6A","53mOhm Max",FIXED IND 4.7UH 4.6A 53 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","4.7µH","100kHz","2020-09-02 01:22:08.677000",Active,Bourns Inc.,SRP5030T-4R7M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"1",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-4R7MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"4.7µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-1R2M/SRP5030T-1R2MCT-ND/3986022,"","","","","","","","","6.5A","11A","16mOhm Max",FIXED IND 1.2UH 6.5A 16 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","1.2µH","100kHz","2020-09-02 01:22:08.653000",Active,Bourns Inc.,SRP5030T-1R2M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"2",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-1R2MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"1.2µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-1R0M/SRP5030T-1R0MCT-ND/3986021,"","","","","","","","","7A","11A","14mOhm Max",FIXED IND 1UH 7A 14 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","1µH","100kHz","2020-09-02 01:22:08.637000",Active,Bourns Inc.,SRP5030T-1R0M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"3",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-1R0MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"1µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-R33M/SRP5030T-R33MCT-ND/3986018,"","","","","","","","","14A","18A","5mOhm Max",FIXED IND 330NH 14A 5 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","330nH","100kHz","2020-09-02 01:22:08.617000",Active,Bourns Inc.,SRP5030T-R33M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"4",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-R33MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"330nH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-R47M/SRP5030T-R47MCT-ND/3986019,"","","","","","","","","12A","16A","7.4mOhm Max",FIXED IND 470NH 12A 7.4 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","470nH","100kHz","2020-09-02 01:22:08.600000",Active,Bourns Inc.,SRP5030T-R47M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"5",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-R47MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"470nH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-3R3M/SRP5030T-3R3MCT-ND/3986025,"","","","","","","","","5A","8A","38mOhm Max",FIXED IND 3.3UH 5A 38 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","3.3µH","100kHz","2020-09-02 01:22:08.580000",Active,Bourns Inc.,SRP5030T-3R3M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"6",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-3R3MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"3.3µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-2R2M/SRP5030T-2R2MCT-ND/3986024,"","","","","","","","","5.5A","9A","35mOhm Max",FIXED IND 2.2UH 5.5A 35 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","2.2µH","100kHz","2020-09-02 01:22:08.563000",Active,Bourns Inc.,SRP5030T-2R2M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"7",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-2R2MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"2.2µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-6R8M/SRP5030T-6R8MCT-ND/3986028,"","","","","","","","","4A","4.3A","76.2mOhm Max",FIXED IND 6.8UH 4A 76.2 MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","6.8µH","100kHz","2020-09-02 01:22:08.540000",Active,Bourns Inc.,SRP5030T-6R8M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"8",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-6R8MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"6.8µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-100M/SRP5030T-100MCT-ND/3986029,"","","","","","","","","2.75A","3.5A","128mOhm Max",FIXED IND 10UH 2.75A 128MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","10µH","100kHz","2020-09-02 01:22:08.517000",Active,Bourns Inc.,SRP5030T-100M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"9",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-100MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"10µH"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/SRP5030T-5R6M/SRP5030T-5R6MCT-ND/3986027,"","","","","","","","","4.25A","4.5A","63mOhm Max",FIXED IND 5.6UH 4.25A 63MOHM SMD,Nonstandard,"",footprints/Power Inductors/PCB - POWER INDUCTORS - BOURNS SRP5030T.PCBLIB,"","",BOURNS SRP5030T,"","","","0.118 (3.00mm)","5.6µH","100kHz","2020-09-02 01:22:08.493000",Active,Bourns Inc.,SRP5030T-5R6M,Iron Powder,"1",Surface Mount,-40°C ~ 125°C,Nonstandard,TapeAndReel,"10",Active,"0.66","","",SRP5030T,Shielded,"0.224 L x 0.205 W (5.70mm x 5.20mm)",DigiKey,SRP5030T-5R6MCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±20%,Wirewound,"5.6µH"
