"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current Rating (Amps)","Current - Saturation","DC Resistance (DCR)","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency - Self Resonant","Height - Seated (Max)","Inductance","Inductance Frequency - Test","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Material - Core","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Q @ Freq","Ratings","Series","Shielding","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0087.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15CNR16J00D/490-14716-1-ND/6606322,"","","","","","","","","480mA","","330mOhm Max",FIXED IND 160NH 480MA 330 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","900MHz","0.024 (0.60mm)","160nH","100MHz","2020-09-02 01:22:28.517000",Active,Murata Electronics,LQW15CNR16J00D,Ferrite,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"1",Active,"0.21","","",LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-14716-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±5%,Wirewound,"160nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN4N8D8ZD/490-15485-1-ND/6800150,"","","","","","","","","1.2A","","71mOhm Max",FIXED IND 4.8NH 1.2A 71 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","8GHz","0.024 (0.60mm)","4.8nH","100MHz","2020-09-02 01:22:28.513000",Active,Murata Electronics,LQW15AN4N8D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"2",Active,"0.07","30 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15485-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"4.8nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN5N3D8ZD/490-15511-1-ND/6800176,"","","","","","","","","1.77A","","40mOhm Max",FIXED IND 5.3NH 1.77A 40 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","8GHz","0.024 (0.60mm)","5.3nH","100MHz","2020-09-02 01:22:28.507000",Active,Murata Electronics,LQW15AN5N3D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"3",Active,"0.07","35 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15511-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"5.3nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN5N6D8ZD/490-15523-1-ND/6800188,"","","","","","","","","1.77A","","40mOhm Max",FIXED IND 5.6NH 1.77A 40 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","8GHz","0.024 (0.60mm)","5.6nH","100MHz","2020-09-02 01:22:28.503000",Active,Murata Electronics,LQW15AN5N6D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"4",Active,"0.07","35 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15523-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"5.6nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN5N9D8ZD/490-15535-1-ND/6800200,"","","","","","","","","1.77A","","40mOhm Max",FIXED IND 5.9NH 1.77A 40 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","8GHz","0.024 (0.60mm)","5.9nH","100MHz","2020-09-02 01:22:28.500000",Active,Murata Electronics,LQW15AN5N9D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"5",Active,"0.07","30 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15535-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"5.9nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN8N3J8ZD/490-15594-1-ND/6800259,"","","","","","","","","1.5A","","69mOhm Max",FIXED IND 8.3NH 1.5A 69 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","6.5GHz","0.024 (0.60mm)","8.3nH","100MHz","2020-09-02 01:22:28.493000",Active,Murata Electronics,LQW15AN8N3J8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"6",Active,"0.07","32 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15594-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±5%,Wirewound,"8.3nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN4N6D8ZD/490-15477-1-ND/6800142,"","","","","","","","","1.45A","","60mOhm Max",FIXED IND 4.6NH 1.45A 60 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","9.6GHz","0.024 (0.60mm)","4.6nH","100MHz","2020-09-02 01:22:28.490000",Active,Murata Electronics,LQW15AN4N6D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"7",Active,"0.07","32 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15477-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"4.6nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN8N5J8ZD/490-15598-1-ND/6800263,"","","","","","","","","1.5A","","69mOhm Max",FIXED IND 8.5NH 1.5A 69 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","6.5GHz","0.024 (0.60mm)","8.5nH","100MHz","2020-09-02 01:22:28.487000",Active,Murata Electronics,LQW15AN8N5J8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"8",Active,"0.07","32 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15598-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±5%,Wirewound,"8.5nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN4N9D8ZD/490-15489-1-ND/6800154,"","","","","","","","","1.2A","","71mOhm Max",FIXED IND 4.9NH 1.2A 71 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","8GHz","0.024 (0.60mm)","4.9nH","100MHz","2020-09-02 01:22:28.480000",Active,Murata Electronics,LQW15AN4N9D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"9",Active,"0.07","27 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15489-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"4.9nH"
=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/LQW15AN5N0D8ZD/490-15499-1-ND/6800164,"","","","","","","","","1.77A","","40mOhm Max",FIXED IND 5NH 1.77A 40 MOHM,"0402 (1006 Metric)","",footprints/Passives/PCB - PASSIVES - IND 0402_1005 RF WW.PCBLIB,"","",IND 0402_1005 RF WW,"","","10GHz","0.024 (0.60mm)","5nH","100MHz","2020-09-02 01:22:28.473000",Active,Murata Electronics,LQW15AN5N0D8ZD,Non-Magnetic,"1",Surface Mount,-55°C ~ 125°C,"0402 (1006 Metric)",TapeAndReel,"10",Active,"0.07","32 @ 250MHz",AEC-Q200,LQW15,Unshielded,"0.039 L x 0.024 W (1.00mm x 0.60mm)",DigiKey,"490-15499-1-ND","","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - INDUCTOR.SCHLIB,INDUCTOR,±0.5nH,Wirewound,"5nH"
