"Channel Type","Comment","Common Mode Transient Immunity (Min)","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Data Rate","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Inputs - Side 1/Side 2","Isolated Power","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Channels","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Technology","Type","Value","Voltage - Isolation","Voltage - Supply"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8630BC-B-IS1/336-2072-5-ND/2623320,"","","","","","","","","150Mbps",DGTL ISO 3.75KV GEN PURP 16SOIC,"16-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/0",No,"2019-12-04 00:19:12.710000","0",Silicon Labs,SI8630BC-B-IS1,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.154, 3.90mm Width)",Tube,"1",Active,"2.58","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2072-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8630.SCHLIB,SI LABS SI8630,Capacitive Coupling,General Purpose,"","3750Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631AB-B-ISR/336-4778-2-ND/4576589,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-04 00:21:02.430000","0",Silicon Labs,SI8631AB-B-ISR,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"2",Active,"1.31","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,"336-4778-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640BB-B-IS1/336-2572-ND/4379910,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-04 00:22:10.777000","0",Silicon Labs,SI8640BB-B-IS1,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.154, 3.90mm Width)",Tube,"3",Active,"2.51","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2572-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641BC-B-IS1/336-2087-5-ND/2623335,"","","","","","","","","150Mbps",DGTL ISO 3.75KV GEN PURP 16SOIC,"16-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-04 00:23:22.610000","0",Silicon Labs,SI8641BC-B-IS1,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.154, 3.90mm Width)",Tube,"4",Active,"3.09","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2087-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","3750Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642BC-B-IS1/336-2092-5-ND/2623340,"","","","","","","","","150Mbps",DGTL ISO 3.75KV GEN PURP 16SOIC,"16-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-04 00:24:42.270000","0",Silicon Labs,SI8642BC-B-IS1,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.154, 3.90mm Width)",Tube,"5",Active,"3.09","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2092-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","3750Vrms","2.5V ~ 5.5V"
"Bidirectional, Unidirectional",=Part Number,"25kV/µs",Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso1541,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ISO1541DR/296-34872-2-ND/3587223,"","","","","","","","","1Mbps",DGTL ISO 2.5KV 2CH I2C 8SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","2/1",No,"2019-12-04 00:27:41.637000","0",Texas Instruments,ISO1541DR,"1",Surface Mount,"2",-40°C ~ 125°C,"8-SOIC (0.154, 3.90mm Width)",TapeAndReel,"6",Active,"2.03","","80ns, 21ns","",-,DigiKey,"296-34872-2-ND","","","","","","","","","","","8-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - TI ISO154X.SCHLIB,TI ISO154X,Capacitive Coupling,I²C,"","2500Vrms","3V ~ 5.5V"
Bidirectional,=Part Number,"25kV/µs",Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso1540,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ISO1540DR/296-34871-2-ND/3587222,"","","","","","","","","1Mbps",DGTL ISO 2.5KV 2CH I2C 8SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","2/2",No,"2019-12-04 01:53:13.243000","0",Texas Instruments,ISO1540DR,"1",Surface Mount,"2",-40°C ~ 125°C,"8-SOIC (0.154, 3.90mm Width)",TapeAndReel,"7",Active,"2.25","","80ns, 21ns","",-,DigiKey,"296-34871-2-ND","","","","","","","","","","","8-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - TI ISO154X.SCHLIB,TI ISO154X,Capacitive Coupling,I²C,"","2500Vrms","3V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8630BD-B-IS/336-2073-5-ND/2623321,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/0",No,"2019-12-06 03:04:43.077000","0",Silicon Labs,SI8630BD-B-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"8",Active,"2.90","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2073-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8630.SCHLIB,SI LABS SI8630,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8630ED-B-IS/336-2075-5-ND/2623323,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/0",No,"2019-12-06 03:11:37.610000","0",Silicon Labs,SI8630ED-B-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"9",Active,"2.90","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2075-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8630.SCHLIB,SI LABS SI8630,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631BB-B-ISR/336-4779-2-ND/4576591,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-06 04:52:07.593000","0",Silicon Labs,SI8631BB-B-ISR,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"10",Active,"1.95","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-4779-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
