"Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Configuration","Current - Test","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height (Max)","LastUpdated","Lens Color","Lens Size","Lens Style","Lens Transparency","Lifecycle Status","Manufacturer","Part Number","Millicandela Rating","Minimum Order","Mounting Type","Package / Case","Packaging","PartId","Part Status","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)","Wavelength - Dominant","Wavelength - Peak"
Yellow,=Value,Datasheet,http://www.dialightsignalsandcomponents.com/Assets/Brochures_And_Catalogs/Indication/CBI_SMD_new/Dialight_CBI_data_599-1206_Apr2018.pdf,DigiKey Link,http://digikey.com/product-detail/en/dialight/5990240007F/350-4363-1-ND/9385469,"","","","","","","","",Standard,"20mA",LED YELLOW 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.80mm","2020-09-02 01:21:25.810000","0.80mm","2.00mm x 1.60mm",Rectangle with Flat Top,"",Active,Dialight,"5990240007F","126mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"1",Active,"0.07","599","3.20mm L x 1.60mm W",DigiKey,"350-4363-1-ND","","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"140°","2.1V","590nm",""
Yellow,=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Everlight%20PDFs/25-21UYC-S530-A2-TR8_V6_11-12-18.pdf,DigiKey Link,http://digikey.com/product-detail/en/everlight-electronics-co-ltd/25-21UYC-S530-A2-TR8/1080-1595-1-ND/8535318,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 2SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.20mm","2020-09-02 01:21:25.790000",Colorless,"1.10mm Dia",Round with Domed Top,Clear,Active,Everlight Electronics Co Ltd,"25-21UYC/S530-A2/TR8","45mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"2",Active,"0.07",-,"3.20mm L x 1.60mm W",DigiKey,"1080-1595-1-ND","","","","","","","","","","","2-SMD",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"60°","2V","589nm","591nm"
Yellow,=Value,Datasheet,https://www.sunledusa.com/products/spec/XZMYK55W-A2.pdf,DigiKey Link,http://digikey.com/product-detail/en/sunled/XZMYK55W-A2/1497-1402-1-ND/8259079,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 2SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.10mm","2020-09-02 01:21:25.777000",Colorless,"1.60mm Dia",Round with Flat Top,Clear,Active,SunLED,XZMYK55W-A2,"347mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"3",Active,"0.10",-,"3.20mm L x 1.60mm W",DigiKey,"1497-1402-1-ND","","","","","","","","","","","2-SMD",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"70°","2V","590nm","590nm"
Yellow,=Value,Datasheet,http://optoelectronics.liteon.com/upload/download/DS22-2008-0208/LTST-C21KSKT.pdf,DigiKey Link,http://digikey.com/product-detail/en/lite-on-inc/LTST-C21KSKT/160-2213-1-ND/7597454,"","","","","","","","",Independent,"20mA",LED YELLOW CLEAR CHIP SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.10mm","2020-09-02 01:21:25.763000",Colorless,"",Round with Flat Top,Clear,Active,Lite-On Inc.,LTST-C21KSKT,"239mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"4",Active,"0.07",-,"3.20mm L x 1.60mm W",DigiKey,"160-2213-1-ND","","","","","","","","","","",Chip LED,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"70°","2V","587nm","588nm"
Yellow,=Value,Datasheet,http://www.kingbrightusa.com/images/catalog/SPEC/AP3216SYCK.pdf,DigiKey Link,http://digikey.com/product-detail/en/kingbright/AP3216SYCK/754-2163-1-ND/7708878,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.10mm","2020-09-02 01:21:25.750000",Colorless,"2.00mm x 1.60mm",Rectangle with Flat Top,Clear,Active,Kingbright,AP3216SYCK,"150mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"5",Active,"0.07",-,"3.20mm L x 1.60mm W",DigiKey,"754-2163-1-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"120°","2V","590nm","590nm"
Yellow,=Value,Datasheet,https://vcclite.com/wp-content/uploads/wpallimport/files/files/CMD11-21%20SMT%20LEDs%201206%20Package%20Size.pdf,DigiKey Link,http://digikey.com/product-detail/en/visual-communications-company-vcc/CMD11-21VYC-TR8/L62007CT-ND/254911,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","1.50mm","2020-09-02 01:21:25.727000","1.50mm","1.10mm Dia",Round with Flat Top,Clear,Active,Visual Communications Company - VCC,CMD11-21VYC/TR8,"6mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"6",Active,"0.12",-,"3.00mm L x 1.50mm W",DigiKey,L62007CT-ND,"","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"20°","2V","","585nm"
Yellow,=Value,Datasheet,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216YC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kingbright/APT3216YC/754-1145-1-ND/1747862,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR CHIP SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.75mm","2020-09-02 01:21:25.723000",Colorless,"2.00mm x 1.60mm",Rectangle with Flat Top,Clear,Active,Kingbright,APT3216YC,"8mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"7",Active,"0.07",-,"3.20mm L x 1.60mm W",DigiKey,"754-1145-1-ND","","","","","","","","","","",Chip LED,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"120°","2.1V","588nm","590nm"
Yellow,=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/598_Series_1206_Pkg.pdf,DigiKey Link,http://digikey.com/product-detail/en/dialight/5988240107F/350-2050-1-ND/1291354,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.70mm","2020-09-02 01:21:25.717000",Colorless,"2.00mm x 1.60mm",Rectangle with Flat Top,Clear,Active,Dialight,"5988240107F","130mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"8",Active,"0.07","598","3.20mm L x 1.60mm W",DigiKey,"350-2050-1-ND","","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"140°","2V","593nm",""
Yellow,=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/598_Series_1206_Pkg.pdf,DigiKey Link,http://digikey.com/product-detail/en/dialight/5988250107F/350-2051-1-ND/1291355,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR 1206 SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.70mm","2020-09-02 01:21:25.713000",Colorless,"2.00mm x 1.60mm",Rectangle with Flat Top,Clear,Active,Dialight,"5988250107F","130mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"9",Active,"0.07","598","3.20mm L x 1.60mm W",DigiKey,"350-2051-1-ND","","","","","","","","","","","1206",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"140°","2V","587nm",""
Yellow,=Value,Datasheet,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216SYCK.pdf,DigiKey Link,http://digikey.com/product-detail/en/kingbright/APT3216SYCK/754-1144-1-ND/1747861,"","","","","","","","",Standard,"20mA",LED YELLOW CLEAR CHIP SMD,"1206 (3216 Metric)","",footprints/LED/PCB - LED - LED 1206_3216 YELLOW.PCBLIB,"","",LED 1206_3216 YELLOW,"","","0.75mm","2020-09-02 01:21:25.710000",Colorless,"2.00mm x 1.60mm",Rectangle with Flat Top,Clear,Active,Kingbright,APT3216SYCK,"150mcd","1",Surface Mount,"1206 (3216 Metric)",TapeAndReel,"10",Active,"0.07",-,"3.20mm L x 1.60mm W",DigiKey,"754-1144-1-ND","","","","","","","","","","",Chip LED,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"",Yellow,"120°","2V","590nm","590nm"
