"CCT (K)","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","CRI (Color Rendering Index)","Current - Max","Current - Test","Description","Device Package","Flux @ 25°C, Current - Test","Flux @ 85°C, Current - Test","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Lumens/Watt @ Current - Test","Manufacturer","Part Number","Minimum Order","Mounting Type","Package / Case","Packaging","PartId","Part Status","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)"
"5600K","White, Cool",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-56-95/1214-1348-1-ND/5731661,"","","","","","","","","95","240mA","150mA",LED MID PWR 5600K 95CRI 3030,"1212 (3030 Metric)","60lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.730000",Active,"133 lm/W",Luminus Devices Inc.,MP-3030-1100-56-95,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"1",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1348-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"2700K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-27-80/1214-1334-1-ND/5731647,"","","","","","","","","80","240mA","150mA",LED MID PWR 2700K 80CRI 3030,"1212 (3030 Metric)","60lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.830000",Active,"133 lm/W",Luminus Devices Inc.,MP-3030-1100-27-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"2",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1334-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"2700K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-27-95/1214-1336-1-ND/5731649,"","","","","","","","","95","240mA","150mA",LED MID PWR 2700K 95CRI 3030,"1212 (3030 Metric)","50lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.827000",Active,"111 lm/W",Luminus Devices Inc.,MP-3030-1100-27-95,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"3",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1336-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"3000K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-30-95/1214-1339-1-ND/5731652,"","","","","","","","","95","240mA","150mA",LED MID PWR 3000K 95CRI 3030,"1212 (3030 Metric)","50lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.823000",Active,"111 lm/W",Luminus Devices Inc.,MP-3030-1100-30-95,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"4",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1339-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"5000K","White, Cool",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-50-70/1214-1346-1-ND/5731659,"","","","","","","","","70","240mA","150mA",LED MID PWR 5000K 70CRI 3030,"1212 (3030 Metric)","71lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.820000",Active,"158 lm/W",Luminus Devices Inc.,MP-3030-1100-50-70,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"5",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1346-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"5700K","White, Cool",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-57-80/1214-1350-1-ND/5731663,"","","","","","","","","70","240mA","150mA",LED MID PWR 5700K 80CRI 3030,"1212 (3030 Metric)","67lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.813000",Active,"149 lm/W",Luminus Devices Inc.,MP-3030-1100-57-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"6",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1350-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"2700K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-27-90/1214-1335-1-ND/5731648,"","","","","","","","","90","240mA","150mA",LED MID PWR 2700K 90CRI 3030,"1212 (3030 Metric)","55lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.810000",Active,"122 lm/W",Luminus Devices Inc.,MP-3030-1100-27-90,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"7",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1335-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"3500K","White, Warm",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-35-90/1214-1341-1-ND/5731654,"","","","","","","","","90","240mA","150mA",LED MID PWR 3500K 90CRI 3030,"1212 (3030 Metric)","58lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.807000",Active,"129 lm/W",Luminus Devices Inc.,MP-3030-1100-35-90,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"8",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1341-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"5000K","White, Cool",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-50-80/1214-1347-1-ND/5731660,"","","","","","","","","80","240mA","150mA",LED MID PWR 5000K 80CRI 3030,"1212 (3030 Metric)","67lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.800000",Active,"149 lm/W",Luminus Devices Inc.,MP-3030-1100-50-80,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"9",Active,"0.06",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1347-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
"4000K","White, Neutral",=Part Number,Datasheet,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/luminus-devices-inc/MP-3030-1100-40-90/1214-1344-1-ND/5731657,"","","","","","","","","90","240mA","150mA",LED MID PWR 4000K 90CRI 3030,"1212 (3030 Metric)","60lm (Typ)","",footprints/Diodes/PCB - DIODES - LUMINUS MP-3030-110.PCBLIB,"","",LUMINUS MP-3030-110,"","","0.020 (0.52mm)","2020-09-02 01:22:42.797000",Active,"133 lm/W",Luminus Devices Inc.,MP-3030-1100-40-90,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"10",Active,"0.07",MP-3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"1214-1344-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","110°","3V"
