"CMRR, PSRR (Typ)","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Input Bias (Max)","Current - Output (Typ)","Current - Quiescent (Max)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Hysteresis","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Elements","Operating Temperature","Output Type","Package / Case","Packaging","Part Status","Price","Propagation Delay (Max)","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Input Offset (Max)","Voltage - Supply, Single/Dual (±)"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm193,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM2903DGKR/296-16806-1-ND/637149,"","","","","","","","","0.25µA @ 5V","20mA","2.5mA",IC DUAL DIFF COMPARATOR 8VSSOP,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",footprints/Leaded - SOP/PCB - LEADED - SOP - TI VSSOP-8 DGK.PCBLIB,"","",TI VSSOP-8 DGK,"","","","2020-03-30 15:14:34.407000",Active,Texas Instruments,LM2903DGKR,"1",Surface Mount,"2",-40°C ~ 125°C,"CMOS, MOS, Open-Drain, TTL","8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",TapeAndReel,Active,"0.12","",-,DigiKey,"296-16806-1-ND","","","","","","","","","","","8-VSSOP",symbols/Comparator/SCH - COMPARATOR - TI LM2903.SCHLIB,TI LM2903,Differential,"","7mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm193,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM2903DGKRG4/296-52650-1-ND/9860155,"","","","","","","","","0.25µA @ 5V","20mA","2.5mA",IC DUAL GP DIFF COMPARATR 8VSSOP,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",footprints/Leaded - SOP/PCB - LEADED - SOP - TI VSSOP-8 DGK.PCBLIB,"","",TI VSSOP-8 DGK,"","","","2020-03-30 15:14:49.023000",Active,Texas Instruments,LM2903DGKRG4,"1",Surface Mount,"2",-40°C ~ 125°C,"CMOS, MOS, Open-Drain, TTL","8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",TapeAndReel,Active,"0.12","",-,DigiKey,"296-52650-1-ND","","","","","","","","","","","8-VSSOP",symbols/Comparator/SCH - COMPARATOR - TI LM2903.SCHLIB,TI LM2903,Differential,"","7mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl331-q1,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/TL331IDBVRQ1/296-41828-1-ND/5224408,"","","","","","","","","0.25µA @ 5V","20mA","700µA",IC SGL DIFF COMPARATOR SOT23-5,"SC-74A, SOT-753",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - TI SOT-23-5 DBV.PCBLIB,"","",TI SOT-23-5 DBV,"","","","2020-03-30 15:15:29.533000",Active,Texas Instruments,TL331IDBVRQ1,"1",Surface Mount,"1",-40°C ~ 85°C,"CMOS, MOS, Open-Collector, TTL","SC-74A, SOT-753",TapeAndReel,Active,"0.24","","Automotive, AEC-Q100",DigiKey,"296-41828-1-ND","","","","","","","","","","",SOT-23-5,symbols/Comparator/SCH - COMPARATOR - TI TL331IDBV.SCHLIB,TI TL331IDBV,Differential,"","5mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl331,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/TL331IDBVR/296-10168-1-ND/380715,"","","","","","","","","0.25µA @ 5V","20mA","700µA",IC DIFF COMP SINGLE SOT23-5,"SC-74A, SOT-753",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - TI SOT-23-5 DBV.PCBLIB,"","",TI SOT-23-5 DBV,"","","","2020-03-30 15:15:42.327000",Active,Texas Instruments,TL331IDBVR,"1",Surface Mount,"1",-40°C ~ 85°C,"CMOS, MOS, Open-Collector, TTL","SC-74A, SOT-753",TapeAndReel,Active,"0.20","",-,DigiKey,"296-10168-1-ND","","","","","","","","","","",SOT-23-5,symbols/Comparator/SCH - COMPARATOR - TI TL331IDBV.SCHLIB,TI TL331IDBV,Differential,"","5mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl331,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/TL331IDBVRG4/296-36003-1-ND/4134949,"","","","","","","","","0.25µA @ 5V","20mA","700µA",IC SNGL DIFF COMPARATOR SOT23-5,"SC-74A, SOT-753",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - TI SOT-23-5 DBV.PCBLIB,"","",TI SOT-23-5 DBV,"","","","2020-03-30 15:15:54.223000",Active,Texas Instruments,TL331IDBVRG4,"1",Surface Mount,"1",-40°C ~ 85°C,"CMOS, MOS, Open-Collector, TTL","SC-74A, SOT-753",TapeAndReel,Active,"0.20","",-,DigiKey,"296-36003-1-ND","","","","","","","","","","",SOT-23-5,symbols/Comparator/SCH - COMPARATOR - TI TL331IDBV.SCHLIB,TI TL331IDBV,Differential,"","5mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm193,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM393DRG4/296-31672-1-ND/3505876,"","","","","","","","","0.25µA @ 5V","20mA","2.5mA",IC DUAL DIFF COMPARATOR 8-SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","","2020-03-30 15:17:11.637000",Active,Texas Instruments,LM393DRG4,"1",Surface Mount,"2","0°C ~ 70°C","CMOS, MOS, Open-Drain, TTL","8-SOIC (0.154, 3.90mm Width)",TapeAndReel,Active,"0.10","",-,DigiKey,"296-31672-1-ND","","","","","","","","","","","8-SOIC",symbols/Comparator/SCH - COMPARATOR - TI LMx93.SCHLIB,TI LMx93,Differential,"","5mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm193,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM393DR/296-1015-1-ND/404839,"","","","","","","","","0.25µA @ 5V","20mA","2.5mA",IC DUAL DIFF COMP 8-SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","","2020-03-30 15:17:32.007000",Active,Texas Instruments,LM393DR,"1",Surface Mount,"2","0°C ~ 70°C","CMOS, MOS, Open-Drain, TTL","8-SOIC (0.154, 3.90mm Width)",TapeAndReel,Active,"0.08","",-,DigiKey,"296-1015-1-ND","","","","","","","","","","","8-SOIC",symbols/Comparator/SCH - COMPARATOR - TI LMx93.SCHLIB,TI LMx93,Differential,"","5mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm193,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM393DGKR/296-16808-1-ND/637153,"","","","","","","","","0.25µA @ 5V","20mA","2.5mA",IC DUAL DIFF COMPARATOR 8VSSOP,"8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",footprints/Leaded - SOP/PCB - LEADED - SOP - TI VSSOP-8 DGK.PCBLIB,"","",TI VSSOP-8 DGK,"","","","2020-03-30 15:18:05.847000",Active,Texas Instruments,LM393DGKR,"1",Surface Mount,"2","0°C ~ 70°C","CMOS, MOS, Open-Drain, TTL","8-TSSOP, 8-MSOP (0.118, 3.00mm Width)",TapeAndReel,Active,"0.10","",-,DigiKey,"296-16808-1-ND","","","","","","","","","","","8-VSSOP",symbols/Comparator/SCH - COMPARATOR - TI LMx93.SCHLIB,TI LMx93,Differential,"","5mV @ 30V","2V ~ 36V, ±1V ~ 18V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm211,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM311DR/296-1388-1-ND/379817,"","","","","","","","","0.25µA @ ±15V","","7.5mA",IC DIFF COMP STROBE 8-SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","","2020-03-30 15:19:14.263000",Active,Texas Instruments,LM311DR,"1",Surface Mount,"1","0°C ~ 70°C","MOS, Open-Collector, Open-Emitter, TTL","8-SOIC (0.154, 3.90mm Width)",TapeAndReel,Active,"0.10","",-,DigiKey,"296-1388-1-ND","","","","","","","","","","","8-SOIC",symbols/Comparator/SCH - COMPARATOR - TI LMx11.SCHLIB,TI LMx11,General Purpose,"","7.5mV @ ±15V","3.5V ~ 30V, ±1.75V ~ 15V"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm139a,DigiKey Link,http://digikey.com/product-detail/en/texas-instruments/LM339APWR/296-18454-1-ND/809889,"","","","","","","","","0.25µA @ 5V","20mA","2.5mA",IC QUAD DIFF COMPARATOR 14-TSSOP,"14-TSSOP (0.173, 4.40mm Width)",footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-14 PW.pcblib,"","",TI TSSOP-14 PW,"","","","2020-03-30 15:20:01.030000",Active,Texas Instruments,LM339APWR,"1",Surface Mount,"4","0°C ~ 70°C","CMOS, MOS, Open-Collector, TTL","14-TSSOP (0.173, 4.40mm Width)",TapeAndReel,Active,"0.10","",-,DigiKey,"296-18454-1-ND","","","","","","","","","","","14-TSSOP",symbols/Comparator/SCH - COMPARATOR - TI LMx39.SCHLIB,TI LMx39,Differential,"","3mV @ 30V","2V ~ 30V, ±1V ~ 15V"
