"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Continuous Drain (Id) @ 25°C","Description","Device Package","Drain to Source Voltage (Vdss)","FET Feature","FET Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Gate Charge (Qg) (Max) @ Vgs","Input Capacitance (Ciss) (Max) @ Vds","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Power - Max","Price","Rds On (Max) @ Id, Vgs","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Vgs(th) (Max) @ Id"
=Part Number,Datasheet,https://assets.nexperia.com/documents/data-sheet/BSS84AKS.pdf,DigiKey Link,http://digikey.com/product-detail/en/nexperia-usa-inc/BSS84AKS115/1727-6480-1-ND/2763928,"","","","","","","","","160mA",MOSFET 2P-CH 50V 0.16A 6TSSOP,"","50V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - NXP SOT-363.PCBLIB,"","",NXP SOT-363,"","","0.35nC @ 5V","36pF @ 25V","2020-09-02 01:29:58.743000",Active,Nexperia USA Inc.,"BSS84AKS,115","1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"445mW","0.08","7.5Ohm @ 100mA, 10V","Automotive, AEC-Q101, TrenchMOS™",DigiKey,"1727-6480-1-ND","","","","","","","","","","","6-TSSOP",symbols/FET - P-CH/SCH - FET - P-CH - NXP DUAL MOSFET P-CH SOT-363.SCHLIB,NXP DUAL MOSFET P-CH SOT-363,"","","2.1V @ 250µA"
=Part Number,Datasheet,https://assets.nexperia.com/documents/data-sheet/NX3008PBKS.pdf,DigiKey Link,http://digikey.com/product-detail/en/nexperia-usa-inc/NX3008PBKS115/1727-1282-1-ND/4386085,"","","","","","","","","200mA",MOSFET 2P-CH 30V 0.2A 6TSSOP,"","30V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - NXP SOT-363.PCBLIB,"","",NXP SOT-363,"","","0.75nC @ 4.5V","46pF @ 15V","2020-09-02 01:29:58.767000",Active,Nexperia USA Inc.,"NX3008PBKS,115","1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"445mW","0.07","4.1Ohm @ 200mA, 4.5V","Automotive, AEC-Q101, TrenchMOS™",DigiKey,"1727-1282-1-ND","","","","","","","","","","","6-TSSOP",symbols/FET - P-CH/SCH - FET - P-CH - NXP DUAL MOSFET P-CH SOT-363.SCHLIB,NXP DUAL MOSFET P-CH SOT-363,"","","1.1V @ 250µA"
=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/FDG6304P-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/FDG6304P/FDG6304PCT-ND/965595,"","","","","","","","","410mA",MOSFET 2P-CH 25V 0.41A SC70-6,"","25V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","1.5nC @ 4.5V","62pF @ 10V","2020-09-02 01:30:01.170000",Active,ON Semiconductor,FDG6304P,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"300mW","0.15","1.1Ohm @ 410mA, 4.5V",-,DigiKey,FDG6304PCT-ND,"","","","","","","","","","",SC-88 (SC-70-6),symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.5V @ 250µA"
=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/FDG6316P-D.pdf,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/FDG6316P/FDG6316PCT-ND/1849905,"","","","","","","","","700mA",MOSFET 2P-CH 12V 0.7A SC70-6,"","12V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","2.4nC @ 4.5V","146pF @ 6V","2020-09-02 01:30:01.190000",Active,ON Semiconductor,FDG6316P,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"300mW","0.12","270mOhm @ 700mA, 4.5V",PowerTrench®,DigiKey,FDG6316PCT-ND,"","","","","","","","","","",SC-88 (SC-70-6),symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.5V @ 250µA"
=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/FDG6318PZ-D.pdf,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/FDG6318PZ/FDG6318PZCT-ND/3907933,"","","","","","","","","500mA",MOSFET 2P-CH 20V 0.5A SC70-6,"","20V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","1.62nC @ 4.5V","85.4pF @ 10V","2020-09-02 01:30:01.207000",Active,ON Semiconductor,FDG6318PZ,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"300mW","0.15","780mOhm @ 500mA, 4.5V",-,DigiKey,FDG6318PZCT-ND,"","","","","","","","","","",SC-88 (SC-70-6),symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.5V @ 250µA"
=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/NTJD4152P-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/NTJD4152PT2G/NTJD4152PT2GOSCT-ND/9087555,"","","","","","","","","880mA",MOSFET 2P-CH 20V 0.88A SC88-6,"","20V",Standard,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","2.2nC @ 4.5V","155pF @ 20V","2020-09-02 01:30:01.217000",Active,ON Semiconductor,NTJD4152PT2G,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"272mW","0.11","260mOhm @ 880mA, 4.5V",-,DigiKey,NTJD4152PT2GOSCT-ND,"","","","","","","","","","",SC-88/SC70-6/SOT-363,symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.2V @ 250µA"
=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/FDG6308P-D.pdf,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/FDG6308P/FDG6308PCT-ND/3042789,"","","","","","","","","600mA",MOSFET 2P-CH 20V 0.6A SC70-6,"","20V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","2.5nC @ 4.5V","153pF @ 10V","2020-09-02 01:30:01.227000",Active,ON Semiconductor,FDG6308P,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"300mW","0.15","400mOhm @ 600mA, 4.5V",PowerTrench®,DigiKey,FDG6308PCT-ND,"","","","","","","","","","",SC-88 (SC-70-6),symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.5V @ 250µA"
=Part Number,Datasheet,https://www.onsemi.com/pub/Collateral/FDG6306P-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/FDG6306P/FDG6306PCT-ND/1849904,"","","","","","","","","600mA",MOSFET 2P-CH 20V 0.6A SC70-6,"","20V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","2nC @ 4.5V","114pF @ 10V","2020-09-02 01:30:01.237000",Active,ON Semiconductor,FDG6306P,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"300mW","0.14","420mOhm @ 600mA, 4.5V",PowerTrench®,DigiKey,FDG6306PCT-ND,"","","","","","","","","","",SC-88 (SC-70-6),symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.5V @ 250µA"
=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/NTJD4152P-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/NTJD4152PT1G/NTJD4152PT1GOSCT-ND/687124,"","","","","","","","","880mA",MOSFET 2P-CH 20V 0.88A SOT-363,"","20V",Logic Level Gate,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - ON SEMI SOT-363.PCBLIB,"","",ON SEMI SOT-363,"","","2.2nC @ 4.5V","155pF @ 20V","2020-09-02 01:30:01.247000",Active,ON Semiconductor,NTJD4152PT1G,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"272mW","0.10","260mOhm @ 880mA, 4.5V",-,DigiKey,NTJD4152PT1GOSCT-ND,"","","","","","","","","","",SC-88/SC70-6/SOT-363,symbols/FET - P-CH/SCH - FET - P-CH - ON SEMI DUAL MOSFET P-CH SOT-363.SCHLIB,ON SEMI DUAL MOSFET P-CH SOT-363,"","","1.2V @ 250µA"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/DMP2200UDW.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DMP2200UDW-7/DMP2200UDW-7DICT-ND/5223248,"","","","","","","","","900mA",MOSFET 2P-CH 20V 0.9A SOT363,"","20V",Standard,"2 P-Channel (Dual)",footprints/Leaded - SOT/PCB - LEADED - SOT - DIODES SOT-363.PCBLIB,"","",DIODES SOT-363,"","","2.1nC @ 4.5V","184pF @ 10V","2020-09-02 01:30:01.607000",Active,Diodes Incorporated,DMP2200UDW-7,"1",Surface Mount,-55°C ~ 150°C (TJ),"6-TSSOP, SC-88, SOT-363",TapeAndReel,Active,"450mW","0.07","260mOhm @ 880mA, 4.5V",-,DigiKey,DMP2200UDW-7DICT-ND,"","","","","","","","","","",SOT-363,symbols/FET - P-CH/SCH - FET - P-CH - DIODES DUAL MOSFET P-CH SOT-363.SCHLIB,DIODES DUAL MOSFET P-CH SOT-363,"","","1.2V @ 250µA"
