"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Continuous Drain (Id) @ 25°C","Description","Device Package","Drain to Source Voltage (Vdss)","Drive Voltage (Max Rds On,  Min Rds On)","FET Feature","FET Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Gate Charge (Qg) (Max) @ Vgs","Input Capacitance (Ciss) (Max) @ Vds","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Power Dissipation (Max)","Price","Rds On (Max) @ Id, Vgs","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Technology","Type","Value","Vgs (Max)","Vgs(th) (Max) @ Id"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC360N15NS3_Rev2.0.pdf?folderId=db3a304325305e6d01254a567c041b4e&fileId=db3a304328c6bd5c012936a5026a2e2c,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC360N15NS3GATMA1/BSC360N15NS3GATMA1CT-ND/3196483,"","","","","","","","","33A (Tc)",MOSFET N-CH 150V 33A 8TDSON,"","150V","8V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","15nC @ 10V","1190pF @ 75V","2020-09-02 01:27:15.747000",Active,Infineon Technologies,BSC360N15NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"74W (Tc)","0.67","36mOhm @ 25A, 10V",OptiMOS™,DigiKey,BSC360N15NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 45µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC027N04LSG_rev1.04.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a30431689f4420116c4323646080c,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC027N04LSGATMA1/BSC027N04LSGATMA1CT-ND/2231028,"","","","","","","","","24A (Ta), 100A (Tc)",MOSFET N-CH 40V 100A TDSON-8,"","40V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","85nC @ 10V","6800pF @ 20V","2020-09-02 01:27:15.747000",Active,Infineon Technologies,BSC027N04LSGATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 83W (Tc)","0.59","2.7mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC027N04LSGATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2V @ 49µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC123N10LS+Rev2.06.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431b3e89eb011b4626974b7df5,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC123N10LSGATMA1/BSC123N10LSGATMA1CT-ND/5413603,"","","","","","","","","10.6A (Ta), 71A (Tc)",MOSFET N-CH 100V 71A TDSON-8,"","100V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","68nC @ 10V","4900pF @ 50V","2020-09-02 01:27:15.733000",Active,Infineon Technologies,BSC123N10LSGATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"114W (Tc)","0.72","12.3mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC123N10LSGATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2.4V @ 72µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC500N20NS3+G+Rev2.0.pdf?folderId=db3a304325305e6d012596c6ca7b290a&fileId=db3a30433cfb5caa013d11dd032123a3,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC500N20NS3GATMA1/BSC500N20NS3GATMA1CT-ND/4318680,"","","","","","","","","24A (Tc)",MOSFET N-CH 200V 24A TDSON-8,"","200V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","15nC @ 10V","1580pF @ 100V","2020-09-02 01:27:15.713000",Active,Infineon Technologies,BSC500N20NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"96W (Tc)","0.73","50mOhm @ 22A, 10V",OptiMOS™,DigiKey,BSC500N20NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 60µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC028N06LS3_rev2.2.pdf?folderId=db3a30431ddc9372011ebafa04517f8b&fileId=db3a30431ddc9372011ebafa4c607f8c,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC028N06LS3GATMA1/BSC028N06LS3GATMA1CT-ND/2231029,"","","","","","","","","23A (Ta), 100A (Tc)",MOSFET N-CH 60V 100A TDSON-8,"","60V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","175nC @ 10V","13000pF @ 30V","2020-09-02 01:27:15.707000",Active,Infineon Technologies,BSC028N06LS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 139W (Tc)","1.09","2.8mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC028N06LS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2.2V @ 93µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC047N08NS3G_rev2.4.pdf?folderId=db3a304313b8b5a60113cee7c66a02d6&fileId=db3a30431add1d95011ae7e8dacf5611,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC047N08NS3GATMA1/BSC047N08NS3GATMA1CT-ND/3819656,"","","","","","","","","18A (Ta), 100A (Tc)",MOSFET N-CH 80V 100A TDSON-8,"","80V","6V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","69nC @ 10V","4800pF @ 40V","2020-09-02 01:27:15.697000",Active,Infineon Technologies,BSC047N08NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 125W (Tc)","1.11","4.7mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC047N08NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"3.5V @ 90µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/Infineon-BSC020N03MSG-DS-v02_00-en.pdf?fileId=db3a304313d846880113de4cd99d033e,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC020N03MSGATMA1/BSC020N03MSGATMA1CT-ND/1785617,"","","","","","","","","25A (Ta), 100A (Tc)",MOSFET N-CH 30V 100A TDSON-8,"","30V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","124nC @ 10V","9600pF @ 15V","2020-09-02 01:27:15.687000",Active,Infineon Technologies,BSC020N03MSGATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 96W (Tc)","0.57","2mOhm @ 30A, 10V",OptiMOS™,DigiKey,BSC020N03MSGATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2V @ 250µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC014N03LS_rev1.3.pdf?folderId=db3a304313b8b5a60113cee8ed2a02db&fileId=db3a30431be39b97011c23384f5d77fb,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC014N03LSGATMA1/BSC014N03LSGATMA1TR-ND/2080608,"","","","","","","","","34A (Ta), 100A (Tc)",MOSFET N-CH 30V 100A TDSON-8,"","30V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","131nC @ 10V","10000pF @ 15V","2020-09-02 01:27:15.680000",Active,Infineon Technologies,BSC014N03LSGATMA1,"",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 139W (Tc)","0.61","1.4mOhm @ 30A, 10V",OptiMOS™,DigiKey,BSC014N03LSGATMA1TR-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2.2V @ 250µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC026N02KS+G+Rev1.05.pdf?folderId=db3a3043163797a6011637c252b10018&fileId=db3a3043163797a6011637c2a4280019,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC026N02KSGAUMA1/BSC026N02KSGAUMA1CT-ND/2231027,"","","","","","","","","25A (Ta), 100A (Tc)",MOSFET N-CH 20V 100A TDSON-8,"","20V","2.5V, 4.5V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","52.7nC @ 4.5V","7800pF @ 10V","2020-09-02 01:27:15.670000",Active,Infineon Technologies,BSC026N02KSGAUMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.8W (Ta), 78W (Tc)","0.61","2.6mOhm @ 50A, 4.5V",OptiMOS™,DigiKey,BSC026N02KSGAUMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±12V,"1.2V @ 200µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC031N06NS3_Rev2.3.pdf?folderId=db3a30431ddc9372011ebafa04517f8b&fileId=db3a30431ddc9372011ebaff49fa7fa6,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC031N06NS3GATMA1/BSC031N06NS3GATMA1CT-ND/2231031,"","","","","","","","","100A (Tc)",MOSFET N-CH 60V 100A TDSON-8,"","60V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","130nC @ 10V","11000pF @ 30V","2020-09-02 01:27:15.657000",Active,Infineon Technologies,BSC031N06NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 139W (Tc)","0.87","3.1mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC031N06NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 93µA"
