"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency","Frequency Stability","Frequency Tolerance","Height - Seated (Max)","LastUpdated","Lifecycle Status","Load Capacitance","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Mode","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-10.000MHZ-20-B-3-H-T/535-14861-1-ND/9997938,"","","","","","","","",CRYSTAL 10.0000MHZ 20PF SMD,"","50 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","10MHz",±35ppm,±25ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.120000",Active,"20pF",Abracon LLC,ABLS-10.000MHZ-20-B-3-H-T,"1",Surface Mount,Fundamental,-20°C ~ 70°C,HC-49/US,TapeAndReel,"1",Active,"0.11","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-14861-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"10MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-3.579545MHZ-D-4-T/535-13440-1-ND/5980116,"","","","","","","","",CRYSTAL 3.579545MHZ 18PF SMD,"","180 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","3.579545MHz",±50ppm,±30ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.097000",Active,"18pF",Abracon LLC,ABLS-3.579545MHZ-D-4-T,"",Surface Mount,Fundamental,-40°C ~ 85°C,HC-49/US,TapeAndReel,"3",Active,"0.18","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-13440-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"3.579545MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-4.096MHZ-L4Q-T/535-9895-1-ND/2001518,"","","","","","","","",CRYSTAL 4.0960MHZ 18PF SMD,"","180 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","4.096MHz",±100ppm,±30ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.093000",Active,"18pF",Abracon LLC,ABLS-4.096MHZ-L4Q-T,"1",Surface Mount,Fundamental,-55°C ~ 125°C,HC-49/US,TapeAndReel,"4",Active,"0.42","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9895-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"4.096MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-5.000MHZ-L4Q-T/535-9897-1-ND/2001520,"","","","","","","","",CRYSTAL 5.0000MHZ 18PF SMD,"","120 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","5MHz",±100ppm,±30ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.090000",Active,"18pF",Abracon LLC,ABLS-5.000MHZ-L4Q-T,"1",Surface Mount,Fundamental,-55°C ~ 125°C,HC-49/US,TapeAndReel,"5",Active,"0.42","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9897-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"5MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-37.500MHZ-12-1-U-F-T/535-10795-1-ND/2651207,"","","","","","","","",CRYSTAL 37.5000MHZ 12PF SMD,"","80 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","37.5MHz",±10ppm,±10ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.070000",Active,"12pF",Abracon LLC,ABLS-37.500MHZ-12-1-U-F-T,"1",Surface Mount,Fundamental,"",HC-49/US,TapeAndReel,"6",Active,"0.45","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-10795-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"37.5MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-27.000MHZ-B2F-T/535-9079-1-ND/675596,"","","","","","","","",CRYSTAL 27.0000MHZ 18PF SMD,"","40 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","27MHz",±50ppm,±20ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.063000",Active,"18pF",Abracon LLC,ABLS-27.000MHZ-B2F-T,"1",Surface Mount,Fundamental,-20°C ~ 70°C,HC-49/US,TapeAndReel,"7",Active,"0.24","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9079-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"27MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-22.1184MHZ-B2-T/535-9075-1-ND/675592,"","","","","","","","",CRYSTAL 22.1184MHZ 18PF SMD,"","40 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","22.1184MHz",±50ppm,±20ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.060000",Active,"18pF",Abracon LLC,ABLS-22.1184MHZ-B2-T,"1",Surface Mount,Fundamental,-20°C ~ 70°C,HC-49/US,TapeAndReel,"8",Active,"0.24","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9075-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"22.1184MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-32.000MHZ-B2-T/535-9080-1-ND/675597,"","","","","","","","",CRYSTAL 32.0000MHZ 18PF SMD,"","80 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","32MHz",±50ppm,±20ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.057000",Active,"18pF",Abracon LLC,ABLS-32.000MHZ-B2-T,"1",Surface Mount,"3rd Overtone",-20°C ~ 70°C,HC-49/US,TapeAndReel,"9",Active,"0.24","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9080-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"32MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-12.288MHZ-B2-T/535-9068-1-ND/675585,"","","","","","","","",CRYSTAL 12.2880MHZ 18PF SMD,"","50 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","12.288MHz",±50ppm,±20ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.053000",Active,"18pF",Abracon LLC,ABLS-12.288MHZ-B2-T,"1",Surface Mount,Fundamental,-20°C ~ 70°C,HC-49/US,TapeAndReel,"10",Active,"0.24","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9068-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"12.288MHz"
=Value,Datasheet,https://abracon.com/Resonators/abls.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ABLS-11.0592MHZ-B2-T/535-9066-1-ND/675583,"","","","","","","","",CRYSTAL 11.0592MHZ 18PF SMD,"","50 Ohms",footprints/Crystals/PCB - CRYSTALS - ABRACON ABLS.PCBLIB,"","",ABRACON ABLS,"","","11.0592MHz",±50ppm,±20ppm,"0.165 (4.20mm)","2020-09-02 01:21:46.050000",Active,"18pF",Abracon LLC,ABLS-11.0592MHZ-B2-T,"1",Surface Mount,Fundamental,-20°C ~ 70°C,HC-49/US,TapeAndReel,"11",Active,"0.24","",ABLS,"0.449 L x 0.185 W (11.40mm x 4.70mm)",DigiKey,"535-9066-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON CRYSTAL ABLS.SCHLIB,ABRACON CRYSTAL ABLS,MHz Crystal,"11.0592MHz"
