"Absolute Pull Range (APR)","Base Resonator","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Supply (Max)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency","Frequency Stability","Function","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Output","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Spread Spectrum Bandwidth","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage - Supply"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD3-25.000MHZ-EC-T/535-9607-1-ND/1237074,"","","","","","","","","4mA",XTAL OSC XO 25.0000MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","25MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.840000",Active,Abracon LLC,ASD3-25.000MHZ-EC-T,"1",Surface Mount,-20°C ~ 70°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"1",Active,"1.74","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9607-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"25MHz","1.8V"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD1-8.000MHZ-EC-T/535-9583-1-ND/1237050,"","","","","","","","","5.5mA",XTAL OSC XO 8.0000MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","8MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.837000",Active,Abracon LLC,ASD1-8.000MHZ-EC-T,"1",Surface Mount,-20°C ~ 70°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"2",Active,"1.74","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9583-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"8MHz","3V"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD1-4.000MHZ-EC-T/535-9581-1-ND/1237048,"","","","","","","","","5.5mA",XTAL OSC XO 4.0000MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","4MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.827000",Active,Abracon LLC,ASD1-4.000MHZ-EC-T,"1",Surface Mount,-20°C ~ 70°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"3",Active,"1.74","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9581-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"4MHz","3V"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD3-27.000MHZ-EC-T/535-9608-1-ND/1237075,"","","","","","","","","4mA",XTAL OSC XO 27.0000MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","27MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.813000",Active,Abracon LLC,ASD3-27.000MHZ-EC-T,"1",Surface Mount,-20°C ~ 70°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"4",Active,"1.74","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9608-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"27MHz","1.8V"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD1-12.000MHZ-EC-T/535-9586-1-ND/1237053,"","","","","","","","","5.5mA",XTAL OSC XO 12.0000MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","12MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.803000",Active,Abracon LLC,ASD1-12.000MHZ-EC-T,"1",Surface Mount,-20°C ~ 70°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"5",Active,"1.74","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9586-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"12MHz","3V"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD3-24.576MHZ-EC-T/535-9606-1-ND/1237073,"","","","","","","","","4mA",XTAL OSC XO 24.5760MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","24.576MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.780000",Active,Abracon LLC,ASD3-24.576MHZ-EC-T,"1",Surface Mount,-20°C ~ 70°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"6",Active,"1.74","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9606-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"24.576MHz","1.8V"
"",Crystal,=Value,Datasheet,https://abracon.com/Oscillators/ASDseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASD-66.666MHZ-LCS-T/535-14434-1-ND/8582194,"","","","","","","","","",XTAL OSC XO 66.6660MHZ HCMOS SMD,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASD.PCBLIB,"","",ABRACON ASD,"","","66.666MHz",±50ppm,Enable/Disable,"0.039 (1.00mm)","2020-09-02 01:21:47.757000",Active,Abracon LLC,ASD-66.666MHZ-LCS-T,"1",Surface Mount,-40°C ~ 85°C,HCMOS,"4-SMD, No Lead",TapeAndReel,"7",Active,"1.27","",ASD,"0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-14434-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON XO ASD.SCHLIB,ABRACON XO ASD,XO (Standard),"66.666MHz","3.3V"
"",MEMS,=Value,Datasheet,https://abracon.com/Oscillators/ASDM.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASDM4-27.000MHZ-LR-T/535-12152-1-ND/4199723,"","","","","","","","","10mA",MEMS OSC XO 27.0000MHZ LVCMOS,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASDM.PCBLIB,"","",ABRACON ASDM,"","","27MHz",±25ppm,Standby (Power Down),"0.035 (0.90mm)","2020-09-02 01:21:48.447000",Active,Abracon LLC,ASDM4-27.000MHZ-LR-T,"1",Surface Mount,-40°C ~ 85°C,LVCMOS,"4-SMD, No Lead",TapeAndReel,"8",Active,"1.00","","ASDM, Pure Silicon™","0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-12152-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON MEMS ASDM.SCHLIB,ABRACON MEMS ASDM,XO (Standard),"27MHz","1.8V"
"",MEMS,=Value,Datasheet,https://abracon.com/Oscillators/ASDM.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASDM1-27.000MHZ-LC-T/535-9793-1-ND/1873327,"","","","","","","","","10mA",MEMS OSC XO 27.0000MHZ LVCMOS,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASDM.PCBLIB,"","",ABRACON ASDM,"","","27MHz",±50ppm,Standby (Power Down),"0.035 (0.90mm)","2020-09-02 01:21:48.443000",Active,Abracon LLC,ASDM1-27.000MHZ-LC-T,"1",Surface Mount,-40°C ~ 85°C,LVCMOS,"4-SMD, No Lead",TapeAndReel,"9",Active,"1.15","","ASDM, Pure Silicon™","0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9793-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON MEMS ASDM.SCHLIB,ABRACON MEMS ASDM,XO (Standard),"27MHz","3.3V"
"",MEMS,=Value,Datasheet,https://abracon.com/Oscillators/ASDM.pdf,DigiKey Link,http://digikey.com/product-detail/en/abracon-llc/ASDM1-20.000MHZ-LC-T/535-9789-1-ND/1873323,"","","","","","","","","10mA",MEMS OSC XO 20.0000MHZ LVCMOS,"",footprints/Crystals/PCB - CRYSTALS - ABRACON ASDM.PCBLIB,"","",ABRACON ASDM,"","","20MHz",±50ppm,Standby (Power Down),"0.035 (0.90mm)","2020-09-02 01:21:48.440000",Active,Abracon LLC,ASDM1-20.000MHZ-LC-T,"1",Surface Mount,-40°C ~ 85°C,LVCMOS,"4-SMD, No Lead",TapeAndReel,"10",Active,"1.15","","ASDM, Pure Silicon™","0.098 L x 0.079 W (2.50mm x 2.00mm)","",DigiKey,"535-9789-1-ND","","","","","","","","","","",symbols/Crystals/SCH - CRYSTALS - ABRACON MEMS ASDM.SCHLIB,ABRACON MEMS ASDM,XO (Standard),"20MHz","3.3V"
