"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Control Features","Current - Output (Max)","Description","Device Package","Efficiency","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Outputs","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power (Watts)","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Input (Max)","Voltage - Input (Min)","Voltage - Isolation","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4"
ITE (Commercial),=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe2.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE2S1205MC-R7/811-3183-1-ND/6009744,"","","","","","","","","","400mA",DC DC CONVERTER 5V 2W,"","77%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:08.850000",Active,Murata Power Solutions Inc.,NXE2S1205MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"1",Active,"2W","3.83",NXE2 (2W),"0.50 L x 0.40 W x 0.17 H (12.7mm x 10.4mm x 4.4mm)",DigiKey,"811-3183-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","13.2V","10.8V","3kV","5V","","",""
ITE (Commercial),=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe2.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE2S0505MC-R7/811-3182-1-ND/6009743,"","","","","","","","","","400mA",DC DC CONVERTER 5V 2W,"","72%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:08.837000",Active,Murata Power Solutions Inc.,NXE2S0505MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"2",Active,"2W","3.83",NXE2 (2W),"0.50 L x 0.40 W x 0.17 H (12.7mm x 10.4mm x 4.4mm)",DigiKey,"811-3182-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","5.5V","4.5V","3kV","5V","","",""
ITE (Commercial),=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe2.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE2S1212MC-R7/811-3184-1-ND/6009745,"","","","","","","","","","167mA",DC DC CONVERTER 12V 2W,"","76.5%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:08.823000",Active,Murata Power Solutions Inc.,NXE2S1212MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"3",Active,"2W","3.83",NXE2 (2W),"0.50 L x 0.40 W x 0.17 H (12.7mm x 10.4mm x 4.4mm)",DigiKey,"811-3184-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","13.2V","10.8V","3kV","12V","","",""
ITE (Commercial),=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe2.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE2S1215MC-R7/811-3185-1-ND/6009746,"","","","","","","","","","133mA",DC DC CONVERTER 15V 2W,"","79%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:08.800000",Active,Murata Power Solutions Inc.,NXE2S1215MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"4",Active,"2W","3.83",NXE2 (2W),"0.50 L x 0.40 W x 0.17 H (12.7mm x 10.4mm x 4.4mm)",DigiKey,"811-3185-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","13.2V","10.8V","3kV","15V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE1S0303MC-R7/811-3098-1-ND/5764732,"","","","","","","","","","303mA",DC DC CONVERTER 3.3V 1W,"","66%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:09.277000",Active,Murata Power Solutions Inc.,NXE1S0303MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"5",Active,"1W","2.76",NXE1 (1W),"0.50 L x 0.41 W x 0.18 H (12.7mm x 10.41mm x 4.5mm)",DigiKey,"811-3098-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","3.63V","2.97V","3kV","3.3V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE1S0303MC-R13/811-3902-1-ND/9920528,"","","","","","","","","","303mA",DC DC CONVERTER 3.3V 1W,"","66%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:09.253000",Active,Murata Power Solutions Inc.,NXE1S0303MC-R13,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"6",Active,"1W","2.41",NXE1 (1W),"0.50 L x 0.41 W x 0.18 H (12.7mm x 10.41mm x 4.5mm)",DigiKey,"811-3902-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","3.63V","2.97V","3kV","3.3V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE1S0505MC-R7/811-3040-1-ND/5047366,"","","","","","","","","","200mA",DC DC CONVERTER 5V 1W,"","66%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:09.230000",Active,Murata Power Solutions Inc.,NXE1S0505MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"7",Active,"1W","2.76",NXE1 (1W),"0.50 L x 0.41 W x 0.18 H (12.7mm x 10.41mm x 4.5mm)",DigiKey,"811-3040-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","5.5V","4.5V","3kV","5V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxe1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXE1S0305MC-R7/811-3099-1-ND/5764733,"","","","","","","","","","200mA",DC DC CONVERTER 5V 1W,"","70%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXE.PCBLIB,"","",MURATA NXE,"","","2020-09-02 01:23:09.210000",Active,Murata Power Solutions Inc.,NXE1S0305MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"8",Active,"1W","2.76",NXE1 (1W),"0.50 L x 0.41 W x 0.18 H (12.7mm x 10.41mm x 4.5mm)",DigiKey,"811-3099-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXE.SCHLIB,MURATA NXE,Isolated Module,"","3.63V","2.97V","3kV","5V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxj1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXJ1S1215MC-R7/811-3097-1-ND/5697924,"","","","","","","","","","67mA",DC DC CONVERTER 15V 1W,"","71%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXJ1.PCBLIB,"","",MURATA NXJ1,"","","2020-09-02 01:23:09.770000",Active,Murata Power Solutions Inc.,NXJ1S1215MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"9",Active,"1W","3.21",NXJ1 (1W),"0.54 L x 0.41 W x 0.17 H (13.7mm x 10.5mm x 4.4mm)",DigiKey,"811-3097-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXJ1.SCHLIB,MURATA NXJ1,Isolated Module,"","13.2V","10.8V","4.2kV","15V","","",""
"ITE (Commercial), Medical",=Part Number,Datasheet,https://power.murata.com/data/power/ncl/kdc_nxj1.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-power-solutions-inc/NXJ1S0505MC-R7/811-3094-1-ND/5697921,"","","","","","","","","","200mA",DC DC CONVERTER 5V 1W,"","73.5%",SCP,footprints/Power Module/PCB - POWER MODULE - MURATA NXJ1.PCBLIB,"","",MURATA NXJ1,"","","2020-09-02 01:23:09.750000",Active,Murata Power Solutions Inc.,NXJ1S0505MC-R7,"1",Surface Mount,"1",-40°C ~ 85°C,"14-SMD Module, 5 Leads",TapeAndReel,"10",Active,"1W","3.21",NXJ1 (1W),"0.54 L x 0.41 W x 0.17 H (13.7mm x 10.5mm x 4.4mm)",DigiKey,"811-3094-1-ND","","","","","","","","","","","",symbols/Power - Module/SCH - POWER - MODULE - MURATA NXJ1.SCHLIB,MURATA NXJ1,Isolated Module,"","5.5V","4.5V","4.2kV","5V","","",""
