"Antenna Type","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Receiving","Current - Transmitting","Data Rate","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Memory Size","Minimum Order","Modulation","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Power - Output","Price","Protocol","RF Family/Standard","Sensitivity","Serial Interfaces","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Utilized IC / Part","Value","Voltage - Supply"
"Integrated, Trace",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en594386,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/ATWINC1500-MR210PB/ATWINC1500-MR210PB-ND/5322332,"","","","","","","","","61mA","265mA","72.2Mbps",RF TXRX MODULE WIFI TRACE ANT,Module,footprints/RF Module/PCB - RF MODULE - ATMEL ATWINC1500-MR210PB.PCBLIB,"","",ATMEL ATWINC1500-MR210PB,"","","2.4GHz","2020-01-04 00:34:45.203000",Active,Microchip Technology,ATWINC1500-MR210PB,"4MB Flash, 128kB RAM","1","16-QAM, 64-QAM, BPSK, CCK, DBPSK, DQPSK, OFDM, QPSK",Surface Mount,-40°C ~ 85°C,Module,Tray,Active,"18.5dBm","0.00","802.11b/g/n",WiFi,-95dBm,"I²C, SPI, UART",-,DigiKey,ATWINC1500-MR210PB-ND,"","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - ATMEL ATWINC1500-MR210PB.SCHLIB,ATMEL ATWINC1500-MR210PB,"","","","2.7V ~ 3.6V"
"",=Part Number,Datasheet,https://www.silabs.com/documents/login/data-sheets/wf111-datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/silicon-labs/WF111-N-V1/336-5856-ND/9809295,"","","","","","","","","70mA ~ 88mA","74mA ~ 192mA","72.2Mbps",RF TXRX MODULE WIFI CHIP ANT,Module,footprints/RF Module/PCB - RF MODULE - SI LABS WF111N.PCBLIB,"","",SI LABS WF111N,"","","2.4GHz","2020-01-04 01:51:20.730000",Active,Silicon Labs,WF111-N-V1,"","1","",Surface Mount,-40°C ~ 85°C,Module,Unknown,Active,"17dBm","10.23","802.11b/g/n",WiFi,-97dBm,"PIO, SDIO, SPI",-,DigiKey,"336-5856-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - SI LABS WF111.SCHLIB,SI LABS WF111,"","","","1.7V ~ 3.6V"
"Integrated, Chip",=Part Number,"","",DigiKey Link,http://digikey.com/product-detail/en/silicon-labs/WF111-A-V1C/336-4954-ND/7201221,"","","","","","","","","70mA ~ 88mA","74mA ~ 192mA","72.2Mbps",RF TXRX MODULE WIFI CHIP ANT,Module,footprints/RF Module/PCB - RF MODULE - SI LABS WF111A.PCBLIB,"","",SI LABS WF111A,"","","2.4GHz","2020-01-04 01:55:24.020000",Active,Silicon Labs,WF111-A-V1C,"","1","",Surface Mount,-40°C ~ 85°C,Module,Strip,Active,"17dBm","14.15","802.11b/g/n",WiFi,-97dBm,"PIO, SDIO, SPI",-,DigiKey,"336-4954-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - SI LABS WF111.SCHLIB,SI LABS WF111,"","","","1.7V ~ 3.6V"
"Integrated, Chip",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/BlueGiga%20PDFs/WF111.pdf,DigiKey Link,http://digikey.com/product-detail/en/silicon-labs/WF111-A-V1/1446-1031-1-ND/4245506,"","","","","","","","","70mA ~ 88mA","74mA ~ 192mA","72.2Mbps",RF TXRX MODULE WIFI CHIP ANT,Module,footprints/RF Module/PCB - RF MODULE - SI LABS WF111A.PCBLIB,"","",SI LABS WF111A,"","","2.4GHz","2020-01-04 01:58:33.573000",Active,Silicon Labs,WF111-A-V1,"","1","",Surface Mount,-40°C ~ 85°C,Module,ReReel,Active,"17dBm","0.00","802.11b/g/n",WiFi,-97dBm,"PIO, SDIO, SPI",-,DigiKey,"1446-1031-1-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - SI LABS WF111.SCHLIB,SI LABS WF111,"","","","1.7V ~ 3.6V"
"Antenna Not Included, U.FL",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/BlueGiga%20PDFs/WF111.pdf,DigiKey Link,http://digikey.com/product-detail/en/silicon-labs/WF111-E-V1/1446-1032-ND/4245507,"","","","","","","","","70mA ~ 88mA","74mA ~ 192mA","72.2Mbps",RF TXRX MODULE WIFI U.FL ANT,Module,footprints/RF Module/PCB - RF MODULE - SI LABS WF111E.PCBLIB,"","",SI LABS WF111E,"","","2.4GHz","2020-01-04 02:06:23.843000",Active,Silicon Labs,WF111-E-V1,"","1","",Surface Mount,-40°C ~ 85°C,Module,Strip,Active,"17dBm","10.23","802.11b/g/n",WiFi,-97dBm,"PIO, SDIO, SPI",-,DigiKey,"1446-1032-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - SI LABS WF111.SCHLIB,SI LABS WF111,"","","","1.7V ~ 3.6V"
"Antenna Not Included, U.FL",=Part Number,"","",DigiKey Link,http://digikey.com/product-detail/en/silicon-labs/WF111-E-V1C/336-4955-ND/7201222,"","","","","","","","","70mA ~ 88mA","74mA ~ 192mA","72.2Mbps",RF TXRX MODULE WIFI U.FL ANT,Module,footprints/RF Module/PCB - RF MODULE - SI LABS WF111E.PCBLIB,"","",SI LABS WF111E,"","","2.4GHz","2020-01-04 02:07:51.010000",Active,Silicon Labs,WF111-E-V1C,"","1","",Surface Mount,-40°C ~ 85°C,Module,Strip,Active,"17dBm","14.15","802.11b/g/n",WiFi,-97dBm,"PIO, SDIO, SPI",-,DigiKey,"336-4955-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - SI LABS WF111.SCHLIB,SI LABS WF111,"","","","1.7V ~ 3.6V"
"Antenna Not Included, Castellation",=Part Number,Datasheet,https://www.u-blox.com/sites/default/files/SARA-R4-N4_DataSheet_%28UBX-16024152%29.pdf,DigiKey Link,http://digikey.com/product-detail/en/u-blox-america-inc/SARA-R410M-02B-01/672-SARA-R410M-02B-01CT-ND/9565823,"","","","","","","","","","100mA ~ 490mA","",RF TXRX CELL 4G LTE CATM1/NB-IOT,"96-SMD Module",footprints/RF Module/PCB - RF MODULE - U-BLOX SARA-R4.PcbLib,"","",U-BLOX SARA-R4,"","","700MHz, 850MHz, 1.7GHz, 1.9GHz","2020-01-31 01:23:17.490000",Active,U-Blox America Inc.,SARA-R410M-02B-01,"","1","",Surface Mount,-40°C ~ 85°C,"96-SMD Module",TapeAndReel,Active,"","21.39","4G LTE CAT M1/NB-IoT",Cellular,-107.5dBm,"I²C, SPI, UART, USB",SARA-R4,DigiKey,"672-SARA-R410M-02B-01CT-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - U-BLOX SARA-R410M-02B-01.SchLib,U-BLOX SARA-R410M-02B-01,"","","","3.2V ~ 4.2V"
"Antenna Not Included, Castellation",=Part Number,Datasheet,https://www.u-blox.com/sites/default/files/SARA-R4-N4_DataSheet_%28UBX-16024152%29.pdf,DigiKey Link,http://digikey.com/product-detail/en/u-blox/SARA-R410M-02B-01/672-SARA-R410M-02B-01CT-ND/9565823,"","","","","","","","","","100mA ~ 490mA","",RF TXRX CELL 4G LTE CATM1/NB-IOT,"96-SMD Module",footprints/RF Module/PCB - RF MODULE - U-BLOX SARA-R4.PcbLib,"","",U-BLOX SARA-R4,"","","700MHz, 850MHz, 1.7GHz, 1.9GHz","2020-03-30 15:24:23.063000",Active,U-Blox,SARA-R410M-02B-01,"","1","",Surface Mount,-40°C ~ 85°C,"96-SMD Module",TapeAndReel,Active,"","21.39","4G LTE CAT M1/NB-IoT",Cellular,-107.5dBm,"I²C, SPI, UART, USB",SARA-R4,DigiKey,"672-SARA-R410M-02B-01CT-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - U-BLOX SARA-R410M-02B-01.SchLib,U-BLOX SARA-R410M-02B-01,"","","","3.2V ~ 4.2V"
"Integrated, Stamped Metal",=Part Number,Datasheet,https://www.u-blox.com/sites/default/files/NINA-B1_DataSheet_%28UBX-15019243%29.pdf,DigiKey Link,http://digikey.com/product-detail/en/u-blox/NINA-B112-00B-00/672-NINA-B112-00B-00CT-ND/6150682,"","","","","","","","","5.4mA","5.3mA","1Mbps",MOD BLE 5.0 NORDIC NRF52832 SOC,"30-SMD Module",footprints/RF Module/PCB - RF MODULE - U-BLOX NINA-B112.PcbLib,"","",U-BLOX NINA-B112,"","","2.4GHz","2020-04-20 16:04:16.793000",Active,U-Blox,NINA-B112-00B-00,"","1",GFSK,Surface Mount,-40°C ~ 85°C,"30-SMD Module",TapeAndReel,Active,"4dBm","7.02",Bluetooth v5.0,Bluetooth,-95dBm,"I²C, SPI, UART",NINA-B1,DigiKey,"672-NINA-B112-00B-00CT-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - U-BLOX NINA-B112.SchLib,U-BLOX NINA-B112,"",nRF52832,"","1.7V ~ 3.6V"
"Integrated, Trace",=Part Number,Datasheet,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,DigiKey Link,http://digikey.com/product-detail/en/espressif-systems/ESP32-WROOM-32D/1904-1023-1-ND/9381732,"","","","","","","","","","","150Mbps",WIFI MODULE 32MBITS SPI FLASH,"",footprints/RF Module/PCB - RF MODULE - Espressif ESP32-WROOM-32.PcbLib,"","",Espressif ESP32-WROOM-32,"","","2.4GHz ~ 2.5GHz","2020-07-31 15:42:37.247000",Active,Espressif Systems,ESP32-WROOM-32D,"448kB ROM, 536kB SRAM","1","CCK, DSSS, OFDM",Surface Mount,-40°C ~ 85°C,"38-SMD Module",TapeAndReel,Active,"20.5dBm","3.80","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","Bluetooth, WiFi",-98dBm,"GPIO, I²C, I²S, PWM, SDIO, SPI, UART",ESP32,DigiKey,"1904-1023-1-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - Espressif ESP32-WROOM-32.SchLib,Espressif ESP32-WROOM-32,"",ESP32-D0WD,"","2.7V ~ 3.6V"
"Integrated, Trace",=Part Number,Datasheet,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,DigiKey Link,http://digikey.com/product-detail/en/espressif-systems/ESP32-WROOM-32D-8MB/1904-1024-1-ND/9381733,"","","","","","","","","","","150Mbps",WIFI MODULE 64MBITS SPI FLASH,"",footprints/RF Module/PCB - RF MODULE - Espressif ESP32-WROOM-32.PcbLib,"","",Espressif ESP32-WROOM-32,"","","2.4GHz ~ 2.5GHz","2020-07-31 15:44:27.830000",Active,Espressif Systems,ESP32-WROOM-32D (8MB),"448kB ROM, 536kB SRAM","1","CCK, DSSS, OFDM",Surface Mount,-40°C ~ 85°C,"38-SMD Module",TapeAndReel,Active,"20.5dBm","4.20","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","Bluetooth, WiFi",-98dBm,"GPIO, I²C, I²S, PWM, SDIO, SPI, UART",ESP32,DigiKey,"1904-1024-1-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - Espressif ESP32-WROOM-32.SchLib,Espressif ESP32-WROOM-32,"",ESP32-D0WD,"","2.7V ~ 3.6V"
"Integrated, Trace",=Part Number,Datasheet,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,DigiKey Link,http://digikey.com/product-detail/en/espressif-systems/ESP32-WROOM-32D-16MB/1904-1025-1-ND/9381734,"","","","","","","","","","","150Mbps",WIFI MODULE 128MBITS SPI FLASH,"",footprints/RF Module/PCB - RF MODULE - Espressif ESP32-WROOM-32.PcbLib,"","",Espressif ESP32-WROOM-32,"","","2.4GHz ~ 2.5GHz","2020-07-31 15:44:43.633000",Active,Espressif Systems,ESP32-WROOM-32D (16MB),"448kB ROM, 536kB SRAM","1","CCK, DSSS, OFDM",Surface Mount,-40°C ~ 85°C,"38-SMD Module",TapeAndReel,Active,"20.5dBm","4.50","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","Bluetooth, WiFi",-98dBm,"GPIO, I²C, I²S, PWM, SDIO, SPI, UART",ESP32,DigiKey,"1904-1025-1-ND","","","","","","","","","","",symbols/RF - Module/SCH - RF - MODULE - Espressif ESP32-WROOM-32.SchLib,Espressif ESP32-WROOM-32,"",ESP32-D0WD,"","2.7V ~ 3.6V"
"Antenna Not Included, U.FL",=Part Number,Datasheet,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf,DigiKey Link,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32UE-8MB/11613142,,,,,,,,,"",,"150Mbps",WIFI MODULE 8MBITS SPI FLASH,,footprints/RF Module/PCB - RF MODULE - Espressif ESP32-WROOM-32UE.PcbLib,,,Espressif ESP32-WROOM-32UE,,,"2.4GHz ~ 2.5GHz",,,Espressif Systems,ESP32-WROOM-32UE (8MB),"448kB ROM, 536kB SRAM","1","CCK, DSSS, OFDM",Surface Mount,-40°C ~ 85°C,"38-SMD Module",TapeAndReel,,"20dBm",,"802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3","Bluetooth, WiFi",-98dBm,"ADC, GPIO, I²C, I²S, PWM, SDIO, SPI, UART",ESP32,DigiKey,"1965-ESP32-WROOM-32UE(8MB)TR-ND",,,,,,,,,,,symbols/RF - Module/SCH - RF - MODULE - Espressif ESP32-WROOM-32UE.SchLib,Espressif ESP32-WROOM-32UE,,ESP32-D0WDQ6,,"2.7V ~ 3.6V"
