"Applications","Circuit Type","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Pins","Number of Resistors","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power Per Element","Price","Resistance (Ohms)","Resistor Matching Ratio","Resistor-Ratio-Drift","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-0747RL/YC248J-47CT-ND/1005764,"","","","","","","","",RES ARRAY 8 RES 47 OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.497000",Active,Yageo,YC248-JR-0747RL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"1",Active,"62.5mW","0.03","47","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-47CT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-0756RL/YC248J-56CT-ND/1005765,"","","","","","","","",RES ARRAY 8 RES 56 OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.493000",Active,Yageo,YC248-JR-0756RL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"2",Active,"62.5mW","0.03","56","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-56CT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-0715KL/YC248J-15KCT-ND/1005795,"","","","","","","","",RES ARRAY 8 RES 15K OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.490000",Active,Yageo,YC248-JR-0715KL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"3",Active,"62.5mW","0.03","15k","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-15KCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-074K7L/YC248J-4.7KCT-ND/1005789,"","","","","","","","",RES ARRAY 8 RES 4.7K OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.487000",Active,Yageo,YC248-JR-074K7L,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"4",Active,"62.5mW","0.03","4.7k","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-4.7KCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-071KL/YC248J-1.0KCT-ND/1005782,"","","","","","","","",RES ARRAY 8 RES 1K OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.467000",Active,Yageo,YC248-JR-071KL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"5",Active,"62.5mW","0.03","1k","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-1.0KCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-078K2L/YC248J-8.2KCT-ND/1005792,"","","","","","","","",RES ARRAY 8 RES 8.2K OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.460000",Active,Yageo,YC248-JR-078K2L,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"6",Active,"62.5mW","0.03","8.2k","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-8.2KCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-0733RL/YC248J-33CT-ND/1005762,"","","","","","","","",RES ARRAY 8 RES 33 OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.457000",Active,Yageo,YC248-JR-0733RL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"7",Active,"62.5mW","0.03","33","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-33CT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-07100RL/YC248J-100CT-ND/1005770,"","","","","","","","",RES ARRAY 8 RES 100 OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.453000",Active,Yageo,YC248-JR-07100RL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"8",Active,"62.5mW","0.03","100","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-100CT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-0722RL/YC248J-22CT-ND/1005759,"","","","","","","","",RES ARRAY 8 RES 22 OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.453000",Active,Yageo,YC248-JR-0722RL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"9",Active,"62.5mW","0.03","22","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-22CT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
"DDRAM, SDRAM",Isolated,=Part Number,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/YC248-JR-0710KL/YC248J-10KCT-ND/1005793,"","","","","","","","",RES ARRAY 8 RES 10K OHM 1606,"",footprints/Resistor - Array/PCB - RESISTOR - ARRAY - RESNET 1606-16 CONVEX.PcbLib,"","",RESNET 1606-16 CONVEX,"","","0.022 (0.55mm)","2020-09-02 01:22:41.430000",Active,Yageo,YC248-JR-0710KL,"1",Surface Mount,"16","8",-55°C ~ 155°C,"1606, Convex, Long Side Terminals",TapeAndReel,"10",Active,"62.5mW","0.03","10k","","",YC248,"0.157 L x 0.063 W (4.00mm x 1.60mm)",DigiKey,YC248J-10KCT-ND,"","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RESISTOR ARRAY (8 CIRCUIT).SCHLIB,RESISTOR ARRAY (8 CIRCUIT),±200ppm/°C,±5%,"",""
