"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,https://www.rohm.com/datasheet/PMR18EZPFV/pmr-e,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/PMR01ZZPJU10L/RHM1693-1-ND/5244963,"","","","","","","","",Thick Film,RES 0.01 OHM 5% 1/5W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.014 (0.35mm)","2020-09-02 01:17:27.830000",Active,Rohm Semiconductor,PMR01ZZPJU10L,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"1",Active,"0.2W, 1/5W","0.26",AEC-Q200,"10m",PMR,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,RHM1693-1-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1","",±5%,"","10m"
=Value,Datasheet,https://www.seielect.com/catalog/sei-csr_csrn.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/CSR0402FKR500/CSR0402FKR500CT-ND/5251270,"","","","","","","","",Thick Film,RES 0.5 OHM 1% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.820000",Active,Stackpole Electronics Inc,CSR0402FKR500,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"2",Active,"0.125W, 1/8W","0.04","","500m",CSR,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,CSR0402FKR500CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","500m"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/SR73/SR73.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/SR731ETTPR100F/2019-SR731ETTPR100FCT-ND/9834562,"","","","","","","","",Thick Film,RES 100M OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.817000",Active,"KOA Speer Electronics, Inc.",SR731ETTPR100F,"1","2",-55°C ~ 150°C,"0402 (1005 Metric)",TapeAndReel,"3",Active,"0.167W, 1/6W","0.13",AEC-Q200,"100m",SR73,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"2019-SR731ETTPR100FCT-ND","","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±500ppm/°C,±1%,"","100m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER47JTD/A138780CT-ND/9372181,"","","","","","","","",Thick Film,RES 0.47 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.813000",Active,TE Connectivity Passive Product,RL73N1ER47JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"4",Active,"0.063W, 1/16W","0.03","","470m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138780CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","470m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER27JTD/A138777CT-ND/9372178,"","","","","","","","",Thick Film,RES 0.27 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.810000",Active,TE Connectivity Passive Product,RL73N1ER27JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"5",Active,"0.063W, 1/16W","0.03","","270m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138777CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","270m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER15JTD/A138774CT-ND/9372175,"","","","","","","","",Thick Film,RES 0.15 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.807000",Active,TE Connectivity Passive Product,RL73N1ER15JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"6",Active,"0.063W, 1/16W","0.03","","150m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138774CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","150m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER39JTD/A138779CT-ND/9372180,"","","","","","","","",Thick Film,RES 0.39 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.800000",Active,TE Connectivity Passive Product,RL73N1ER39JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"7",Active,"0.063W, 1/16W","0.03","","390m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138779CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","390m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER18JTD/A138775CT-ND/9372176,"","","","","","","","",Thick Film,RES 0.18 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.797000",Active,TE Connectivity Passive Product,RL73N1ER18JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"8",Active,"0.063W, 1/16W","0.03","","180m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138775CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","180m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER22JTD/A138776CT-ND/9372177,"","","","","","","","",Thick Film,RES 0.22 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.793000",Active,TE Connectivity Passive Product,RL73N1ER22JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"9",Active,"0.063W, 1/16W","0.03","","220m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138776CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","220m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER33JTD/A138778CT-ND/9372179,"","","","","","","","",Thick Film,RES 0.33 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.790000",Active,TE Connectivity Passive Product,RL73N1ER33JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"10",Active,"0.063W, 1/16W","0.03","","330m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138778CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","330m"
