"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/7-2176074-4/A129571CT-ND/8566775,"","","","","","","","",Thin Film,RES SMD 33.2KOHM 0.5% 1/32W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.011 (0.28mm)","2020-09-02 01:06:25.573000",Active,TE Connectivity Passive Product,"7-2176074-4","1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"1",Active,"0.03W, 1/32W","0.10","","33.2kOhms","CPF, Neohm","0.023 L x 0.011 W (0.58mm x 0.29mm)",DigiKey,A129571CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±50ppm/°C,±0.5%,"","33.2kOhms"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/CRG0201F100K/A129572CT-ND/8566776,"","","","","","","","",Thick Film,RES SMD 100K OHM 1% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.553000",Active,TE Connectivity Passive Product,CRG0201F100K,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"2",Active,"0.05W, 1/20W","0.02","","100kOhms","CRG, Neohm","0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,A129572CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","100kOhms"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/CRG0201F10R/A129573CT-ND/8566777,"","","","","","","","",Thick Film,RES SMD 10 OHM 1% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.533000",Active,TE Connectivity Passive Product,CRG0201F10R,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"3",Active,"0.05W, 1/20W","0.02","","10Ohms","CRG, Neohm","0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,A129573CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","10Ohms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-07715RL/YAG2786CT-ND/5281650,"","","","","","","","",Thick Film,RES SMD 715 OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.527000",Active,Yageo,RC0201FR-07715RL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"4",Active,"0.05W, 1/20W","0.10","","715Ohms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2786CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","715Ohms"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73H1HTTC1022F/2019-RK73H1HTTC1022FCT-ND/9845895,"","","","","","","","",Thick Film,RES 10.2K OHM 1% 1/20W 0201,"0201 (0603 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.523000",Active,"KOA Speer Electronics, Inc.",RK73H1HTTC1022F,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"5",Active,"0.05W, 1/20W","0.01",AEC-Q200,"10.2kOhms",RK73H,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"2019-RK73H1HTTC1022FCT-ND","","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","10.2kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-07348KL/YAG2611CT-ND/5281475,"","","","","","","","",Thick Film,RES SMD 348K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.520000",Active,Yageo,RC0201FR-07348KL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"6",Active,"0.05W, 1/20W","0.10","","348kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2611CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","348kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-07909RL/YAG2837CT-ND/5281701,"","","","","","","","",Thick Film,RES SMD 909 OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.517000",Active,Yageo,RC0201FR-07909RL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"7",Active,"0.05W, 1/20W","0.10","","909Ohms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2837CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","909Ohms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-0786K6L/YAG2825CT-ND/5281689,"","","","","","","","",Thick Film,RES SMD 86.6K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.510000",Active,Yageo,RC0201FR-0786K6L,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"8",Active,"0.05W, 1/20W","0.10","","86.6kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2825CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","86.6kOhms"
=Value,Datasheet,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0201FT37K4/RMCF0201FT37K4CT-ND/5967021,"","","","","","","","",Thick Film,RES 37.4K OHM 1% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.507000",Active,Stackpole Electronics Inc,RMCF0201FT37K4,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"9",Active,"0.05W, 1/20W","0.10","","37.4kOhms",RMCF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,RMCF0201FT37K4CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","37.4kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-0723K7L/YAG2524CT-ND/5281388,"","","","","","","","",Thick Film,RES SMD 23.7K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.503000",Active,Yageo,RC0201FR-0723K7L,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"10",Active,"0.05W, 1/20W","0.10","","23.7kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2524CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","23.7kOhms"
