"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73B3ATTE473J/2019-RK73B3ATTE473JCT-ND/10425370,"","","","","","","","",Thick Film,RES 47K OHM 5% 1W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"","2020-09-02 01:26:48.890000",Active,"KOA Speer Electronics, Inc.",RK73B3ATTE473J,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.04",AEC-Q200,"47 kOhms",RK73B,"",DigiKey,"2019-RK73B3ATTE473JCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","47k"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73H3ATTE4751F/2019-RK73H3ATTE4751FCT-ND/10425048,"","","","","","","","",Thick Film,RES 4.75K OHM 1% 1W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"","2020-09-02 01:26:48.903000",Active,"KOA Speer Electronics, Inc.",RK73H3ATTE4751F,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.05",AEC-Q200,"4.75 kOhms",RK73H,"",DigiKey,"2019-RK73H3ATTE4751FCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","4.75k"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73H3ATTE4R75F/2019-RK73H3ATTE4R75FCT-ND/10424996,"","","","","","","","",Thick Film,RES 4.75 OHM 1% 1W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"","2020-09-02 01:26:48.913000",Active,"KOA Speer Electronics, Inc.",RK73H3ATTE4R75F,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.05",AEC-Q200,"4.75 Ohms",RK73H,"",DigiKey,"2019-RK73H3ATTE4R75FCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","4.75"
=Value,Datasheet,https://www.seielect.com/catalog/sei-hvc.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/HVCB2512BDE1M00/HVCB2512BDE1M00CT-ND/5824177,"","","","","","","","",Thick Film,RES 1M OHM 0.1% 2W 2512,"2512 (6432 Metric)","","High Voltage, Pulse Withstanding",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.76mm)","2020-09-02 01:26:48.923000",Active,Stackpole Electronics Inc,HVCB2512BDE1M00,"1","2",-55°C ~ 150°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","8.16","","1 MOhms",HVC,"0.250 L x 0.125 W (6.35mm x 3.18mm)",DigiKey,HVCB2512BDE1M00CT-ND,"","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±25ppm/°C,±0.1%,"","1M"
=Value,Datasheet,https://www.seielect.com/catalog/sei-hvc.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/HVCB2512MDM500G/HVCB2512MDM500GCT-ND/5801258,"","","","","","","","",Thick Film,RES 500G OHM 20% 2W 2512,"2512 (6432 Metric)","","High Voltage, Pulse Withstanding",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.76mm)","2020-09-02 01:26:48.937000",Active,Stackpole Electronics Inc,HVCB2512MDM500G,"1","2",-55°C ~ 150°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","7.75","","500 GOhms",HVC,"0.250 L x 0.125 W (6.35mm x 3.18mm)",DigiKey,HVCB2512MDM500GCT-ND,"","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±20%,"","500G"
=Value,Datasheet,https://www.seielect.com/catalog/sei-csrf.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/CSRF2512FTR100/CSRF2512FTR100CT-ND/6594080,"","","","","","","","",Metal Foil,RES 0.1 OHM 1% 2W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Current Sense, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.037 (0.95mm)","2020-09-02 01:26:48.947000",Active,Stackpole Electronics Inc,CSRF2512FTR100,"1","2",-55°C ~ 170°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.30",AEC-Q200,"100 mOhms",CSRF,"0.254 L x 0.128 W (6.45mm x 3.25mm)",DigiKey,CSRF2512FTR100CT-ND,"","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±50ppm/°C,±1%,"","100m"
=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/KOA%20Speer/HV73_Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/HV733ATTE2204F/2019-HV733ATTE2204FCT-ND/10134578,"","","","","","","","",Thick Film,RES 2.2M OHM 1% 1W 2512,"2512 (6432 Metric)","","High Voltage, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.953000",Active,"KOA Speer Electronics, Inc.",HV733ATTE2204F,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.27","","2.2 MOhms",HV73,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"2019-HV733ATTE2204FCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","2.2M"
=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/KOA%20Speer/HV73_Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/HV733ATTE4703F/2019-HV733ATTE4703FCT-ND/10134573,"","","","","","","","",Thick Film,RES 470K OHM 1% 1W 2512,"2512 (6432 Metric)","","High Voltage, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.963000",Active,"KOA Speer Electronics, Inc.",HV733ATTE4703F,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.27","","470 kOhms",HV73,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"2019-HV733ATTE4703FCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","470k"
=Value,Datasheet,//media.digikey.com/pdf/Data%20Sheets/KOA%20Speer/HV73_Series.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/HV733ATTE1003F/2019-HV733ATTE1003FCT-ND/10134569,"","","","","","","","",Thick Film,RES 100K OHM 1% 1W 2512,"2512 (6432 Metric)","","High Voltage, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.970000",Active,"KOA Speer Electronics, Inc.",HV733ATTE1003F,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.27","","100 kOhms",HV73,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"2019-HV733ATTE1003FCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","100k"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73B3ATTE2R0J/2019-RK73B3ATTE2R0JCT-ND/10425396,"","","","","","","","",Thick Film,RES 2 OHM 5% 1W 2512,"2512 (6432 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R2512N,R2512L,R2512M",,,"0.028 (0.70mm)","2020-09-02 01:26:48.973000",Active,"KOA Speer Electronics, Inc.",RK73B3ATTE2R0J,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.04",AEC-Q200,"2 Ohms",RK73B,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"2019-RK73B3ATTE2R0JCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","2"
