"Adjustment Type","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Turns","Packaging","PartId","Part Status","Power (Watts)","Price","Resistance","Resistive Material","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Termination Style","Tolerance","Type","Value"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-1-104E/TC33X-1-104ECT-ND/9453375,"","","","","","","","",TRIMMER 100K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.147000",Active,Bourns Inc.,TC33X-1-104E,"1",Surface Mount,"1",TapeAndReel,"1",Active,"0.1W, 1/10W","0.15","100 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-1-104ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","100k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-104E/TC33X-104ECT-ND/612912,"","","","","","","","",TRIMMER 100K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.127000",Active,Bourns Inc.,TC33X-2-104E,"1",Surface Mount,"1",TapeAndReel,"2",Active,"0.1W, 1/10W","0.15","100 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-104ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","100k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-201E/TC33X-2-201ECT-ND/3437928,"","","","","","","","",TRIMMER 200 OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.123000",Active,Bourns Inc.,TC33X-2-201E,"1",Surface Mount,"1",TapeAndReel,"3",Active,"0.1W, 1/10W","0.15","200 Ohms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-2-201ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","200"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-204E/TC33X-2-204ECT-ND/3437926,"","","","","","","","",TRIMMER 200K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.120000",Active,Bourns Inc.,TC33X-2-204E,"1",Surface Mount,"1",TapeAndReel,"4",Active,"0.1W, 1/10W","0.15","200 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-2-204ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","200k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-102E/TC33X-102ECT-ND/612910,"","","","","","","","",TRIMMER 1K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.117000",Active,Bourns Inc.,TC33X-2-102E,"1",Surface Mount,"1",TapeAndReel,"5",Active,"0.1W, 1/10W","0.15","1 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-102ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","1k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-502E/TC33X-502ECT-ND/612914,"","","","","","","","",TRIMMER 5K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.113000",Active,Bourns Inc.,TC33X-2-502E,"1",Surface Mount,"1",TapeAndReel,"6",Active,"0.1W, 1/10W","0.15","5 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-502ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","5k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-202E/TC33X-202ECT-ND/612913,"","","","","","","","",TRIMMER 2K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.093000",Active,Bourns Inc.,TC33X-2-202E,"1",Surface Mount,"1",TapeAndReel,"7",Active,"0.1W, 1/10W","0.15","2 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-202ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","2k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-103E/TC33X-103ECT-ND/612911,"","","","","","","","",TRIMMER 10K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.090000",Active,Bourns Inc.,TC33X-2-103E,"1",Surface Mount,"1",TapeAndReel,"8",Active,"0.1W, 1/10W","0.15","10 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-103ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","10k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-1-103E/TC33X-1-103ECT-ND/7244463,"","","","","","","","",TRIMMER 10K OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.083000",Active,Bourns Inc.,TC33X-1-103E,"1",Surface Mount,"1",TapeAndReel,"9",Active,"0.1W, 1/10W","0.15","10 kOhms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-1-103ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","10k"
Top Adjustment,=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/TC33X-2-501E/TC33X-2-501ECT-ND/3437927,"","","","","","","","",TRIMMER 500 OHM 0.1W J LEAD TOP,"",footprints/Potentiometer/PCB - POTENTIOMETER - POT BOURNS TRIMPOT TC33.PCBLIB,"","",POT BOURNS TRIMPOT TC33,"","","2020-09-02 01:21:42.080000",Active,Bourns Inc.,TC33X-2-501E,"1",Surface Mount,"1",TapeAndReel,"10",Active,"0.1W, 1/10W","0.15","500 Ohms",Cermet,Trimpot® TC33 - Open Frame,Rectangular - 0.150 x 0.142 Face x 0.047 H (3.80mm x 3.60mm x 1.20mm),DigiKey,TC33X-2-501ECT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - POTENTIOMETER.SCHLIB,POTENTIOMETER,±250ppm/°C,J Lead,±25%,"","500"
