"B-P-F Center Frequency","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Supply","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Orientation","Packaging","Part Status","Price","Sensing Distance","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage - Supply"
"36.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36436TR/TSOP36436TRCT-ND/8556859,"","","","","","","","","350µA",SENSOR REMOTE REC 36.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TR.PCBLIB,"","",VISHAY TSOP36X-TR,"","","2020-09-02 01:30:35.840000",Active,Vishay Semiconductor Opto Division,TSOP36436TR,"1",Surface Mount,-25°C ~ 85°C (TA),Side or Top View,TapeAndReel,Active,"0.71","45m",-,DigiKey,TSOP36436TRCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"38.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82567/tsop361.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36138TR/TSOP36138TRCT-ND/8556857,"","","","","","","","","350µA",SENSOR REMOTE REC 38.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TR.PCBLIB,"","",VISHAY TSOP36X-TR,"","","2020-09-02 01:30:35.863000",Active,Vishay Semiconductor Opto Division,TSOP36138TR,"1",Surface Mount,-25°C ~ 85°C (TA),Side or Top View,TapeAndReel,Active,"0.71","45m",-,DigiKey,TSOP36138TRCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"36.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36236TR/TSOP36236TRCT-ND/7702408,"","","","","","","","","350µA",SENSOR REMOTE REC 36.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TR.PCBLIB,"","",VISHAY TSOP36X-TR,"","","2020-09-02 01:30:35.867000",Active,Vishay Semiconductor Opto Division,TSOP36236TR,"1",Surface Mount,-25°C ~ 85°C (TA),Side or Top View,TapeAndReel,Active,"0.71","45m",-,DigiKey,TSOP36236TRCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"38.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36438TR/TSOP36438CT-ND/9663756,"","","","","","","","","350µA",SENSOR REMOTE REC 38.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TR.PCBLIB,"","",VISHAY TSOP36X-TR,"","","2020-09-02 01:30:35.870000",Active,Vishay Semiconductor Opto Division,TSOP36438TR,"1",Surface Mount,-25°C ~ 85°C (TA),Side View,TapeAndReel,Active,"0.71","45m",-,DigiKey,TSOP36438CT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"36.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82567/tsop361.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36136TR/TSOP36136CT-ND/9663755,"","","","","","","","","350µA",SENSOR REMOTE REC 36.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TR.PCBLIB,"","",VISHAY TSOP36X-TR,"","","2020-09-02 01:30:35.887000",Active,Vishay Semiconductor Opto Division,TSOP36136TR,"1",Surface Mount,-25°C ~ 85°C (TA),Side View,TapeAndReel,Active,"0.71","45m",-,DigiKey,TSOP36136CT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"38.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36238TR/TSOP36238CT-ND/1788419,"","","","","","","","","350µA",SENSOR REMOTE REC 38.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TR.PCBLIB,"","",VISHAY TSOP36X-TR,"","","2020-09-02 01:30:35.890000",Active,Vishay Semiconductor Opto Division,TSOP36238TR,"1",Surface Mount,-25°C ~ 85°C (TA),Top View,TapeAndReel,Active,"0.66","45m",-,DigiKey,TSOP36238CT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"36.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36236TT/TSOP36236TTCT-ND/7702409,"","","","","","","","","350µA",SENSOR REMOTE REC 36.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TT.PCBLIB,"","",VISHAY TSOP36X-TT,"","","2020-09-02 01:30:36.153000",Active,Vishay Semiconductor Opto Division,TSOP36236TT,"1",Surface Mount,-25°C ~ 85°C (TA),Side or Top View,TapeAndReel,Active,"0.66","45m","",DigiKey,TSOP36236TTCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"38.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36438TT/TSOP36438TTCT-ND/4580840,"","","","","","","","","350µA",SENSOR REMOTE REC 38.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TT.PCBLIB,"","",VISHAY TSOP36X-TT,"","","2020-09-02 01:30:36.173000",Active,Vishay Semiconductor Opto Division,TSOP36438TT,"1","",-25°C ~ 85°C (TA),Top View,TapeAndReel,Active,"0.66","45m","",DigiKey,TSOP36438TTCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"38.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82567/tsop361.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36338TT/TSOP36338TTCT-ND/4580841,"","","","","","","","","350µA",SENSOR REMOTE REC 38.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TT.PCBLIB,"","",VISHAY TSOP36X-TT,"","","2020-09-02 01:30:36.190000",Active,Vishay Semiconductor Opto Division,TSOP36338TT,"1","",-25°C ~ 85°C (TA),Top View,TapeAndReel,Active,"0.66","45m",-,DigiKey,TSOP36338TTCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
"36.0kHz",=Part Number,Datasheet,http://www.vishay.com/docs/82568/tsop362.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-opto-division/TSOP36436TT/TSOP36436TTCT-ND/9663875,"","","","","","","","","350µA",SENSOR REMOTE REC 36.0KHZ 45M,"",footprints/IR Receiver/PCB - IR RECEIVER - VISHAY TSOP36X-TT.PCBLIB,"","",VISHAY TSOP36X-TT,"","","2020-09-02 01:30:36.200000",Active,Vishay Semiconductor Opto Division,TSOP36436TT,"1",Surface Mount,-25°C ~ 85°C (TA),Top View,TapeAndReel,Active,"0.71","45m",-,DigiKey,TSOP36436TTCT-ND,"","","","","","","","","","",symbols/IR Receiver/SCH - IR RECEIVER - VISHAY TSOP36X.SCHLIB,VISHAY TSOP36X,"","","2.5V ~ 5.5V"
