"Accuracy","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Resistance @ 0°C","Resistance Tolerance","RTD Material","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Termination","Type","Value"
±0.4°C,=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ZNI1000.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/ZNI1000TA/ZNI1000CT-ND/1211584,"","","","","","","","","3mA",SENSOR RTD 1KOHM 5% TO236-3,"TO-236-3, SC-59, SOT-23-3",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - DIODES SOT-23-3.PCBLIB,"","",DIODES SOT-23-3,"","","2020-05-25 21:35:29.193000",Active,Diodes Incorporated,ZNI1000TA,"1",Surface Mount,-55°C ~ 150°C,"TO-236-3, SC-59, SOT-23-3",TapeAndReel,Active,"1.16","1 kOhms","",Nickel,"",DigiKey,ZNI1000CT-ND,"","","","","","","","","","",symbols/Sensor - Temperature/SCH - SENSOR - TEMPERATURE - DIODES INC ZNI1000.SCHLIB,DIODES INC ZNI1000,"",SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,http://www.vishay.com/docs/28899/ptsat.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-beyschlag/PTS0603M1B100RP100/749-1056-1-ND/5977842,"","","","","","","","","500µA",SENSOR RTD 100OHM 0603,"0603 (1608 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0603_1608.PcbLib,"","",RTD 0603_1608,"","","2020-09-02 01:30:37.567000",Active,Vishay Beyschlag,PTS0603M1B100RP100,"1",Surface Mount,-55°C ~ 175°C,"0603 (1608 Metric)",TapeAndReel,Active,"0.94","100 Ohms",±0.3K,Platinum,"Automotive, AEC-Q200, PTS",DigiKey,"749-1056-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
±0.3°C,=Part Number,Datasheet,https://www.heraeus.com/media/media/hne/datasheets/smd/en_12/smd_0603_v_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/heraeus-nexensos-usa/32207638/1759-1011-1-ND/6677790,"","","","","","","","","300µA",SENSOR RTD 1KOHM 0.3% 0603,"0603 (1608 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0603_1608.PcbLib,"","",RTD 0603_1608,"","","2020-09-02 01:30:37.587000",Active,Heraeus Nexensos USA,"32207638","1",Surface Mount,-50°C ~ 150°C,"0603 (1608 Metric)",TapeAndReel,Active,"1.57","1 kOhms",±0.12%,Platinum,-,DigiKey,"1759-1011-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,http://www.vishay.com/docs/28762/ptsserie.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-beyschlag/PTS060301B100RP100/PTS0603100CT-ND/1666189,"","","","","","","","","500µA",SENSOR RTD 100OHM 1% 0603,"0603 (1608 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0603_1608.PcbLib,"","",RTD 0603_1608,"","","2020-09-02 01:30:37.600000",Active,Vishay Beyschlag,PTS060301B100RP100,"1",Surface Mount,-55°C ~ 155°C,"0603 (1608 Metric)",TapeAndReel,Active,"0.86","100 Ohms",±0.3%,Platinum,PTS,DigiKey,PTS0603100CT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,https://riedon.com/media/pdf/RTDS.pdf,DigiKey Link,http://digikey.com/product-detail/en/riedon/RTDS0805B-1K8/696-1952-1-ND/10271355,"","","","","","","","","0.1mA",SENSOR RTD 1K OHM DIN CLASS B 08,"0805 (2012 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0805_2012.PCBLIB,"","",RTD 0805_2012,"","","2020-09-02 01:30:37.930000",Active,Riedon,RTDS0805B-1K8,"1",Surface Mount,-50°C ~ 150°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.23","1 kOhms",±0.3%,Platinum,RTDS,DigiKey,"696-1952-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,https://riedon.com/media/pdf/RTDS.pdf,DigiKey Link,http://digikey.com/product-detail/en/riedon/RTDS0805B-500R8/696-1951-1-ND/10271354,"","","","","","","","","0.7mA",SENSOR RTD 500 OHM DIN CLASS B 0,"0805 (2012 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0805_2012.PCBLIB,"","",RTD 0805_2012,"","","2020-09-02 01:30:37.947000",Active,Riedon,RTDS0805B-500R8,"1",Surface Mount,-50°C ~ 150°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.23","500 Ohms",±0.3%,Platinum,RTDS,DigiKey,"696-1951-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,https://riedon.com/media/pdf/RTDS.pdf,DigiKey Link,http://digikey.com/product-detail/en/riedon/RTDS0805B-100R8/696-1950-1-ND/10271353,"","","","","","","","","1mA",SENSOR RTD 100 OHM DIN CLASS B 0,"0805 (2012 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0805_2012.PCBLIB,"","",RTD 0805_2012,"","","2020-09-02 01:30:37.957000",Active,Riedon,RTDS0805B-100R8,"1",Surface Mount,-50°C ~ 150°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.20","100 Ohms",±0.3%,Platinum,RTDS,DigiKey,"696-1950-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,http://www.vishay.com/docs/28762/ptsserie.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-beyschlag/PTS080501B100RP100/PTS0805100CT-ND/1666190,"","","","","","","","","1mA",SENSOR RTD 100OHM 1% 0805,"0805 (2012 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0805_2012.PCBLIB,"","",RTD 0805_2012,"","","2020-09-02 01:30:37.970000",Active,Vishay Beyschlag,PTS080501B100RP100,"1",Surface Mount,-55°C ~ 155°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.08","100 Ohms",±0.3%,Platinum,PTS,DigiKey,PTS0805100CT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
"",=Part Number,Datasheet,http://www.vishay.com/docs/28762/ptsserie.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-beyschlag/PTS080501B500RP100/PTS0805500CT-ND/1666191,"","","","","","","","","400µA",SENSOR RTD 500OHM 1% 0805,"0805 (2012 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0805_2012.PCBLIB,"","",RTD 0805_2012,"","","2020-09-02 01:30:37.980000",Active,Vishay Beyschlag,PTS080501B500RP100,"1",Surface Mount,-55°C ~ 155°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.08","500 Ohms",±0.3%,Platinum,PTS,DigiKey,PTS0805500CT-ND,"","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
±0.3°C,=Part Number,Datasheet,https://www.heraeus.com/media/media/hne/datasheets/smd/en_12/smd_0805_v_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/heraeus-nexensos-usa/32207615/1759-1010-1-ND/6677789,"","","","","","","","","1mA",SENSOR RTD 1KOHM 0.12% 0805,"0805 (2012 Metric)",footprints/Resistor - Chip/PCB - RESISTOR - CHIP - RTD 0805_2012.PCBLIB,"","",RTD 0805_2012,"","","2020-09-02 01:30:37.990000",Active,Heraeus Nexensos USA,"32207615","1",Surface Mount,-50°C ~ 130°C,"0805 (2012 Metric)",TapeAndReel,Active,"1.67","1 kOhms",±0.12%,Platinum,-,DigiKey,"1759-1010-1-ND","","","","","","","","","","",symbols/Passives/SCH - PASSIVES - RTD.SCHLIB,RTD,±3850ppm/°C,SMD (SMT) Tabs,"",""
