"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Collector Cutoff (Max)","Current - Collector (Ic) (Max)","DC Current Gain (hFE) (Min) @ Ic, Vce","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency - Transition","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power - Max","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Transistor Type","Type","Value","Vce Saturation (Max) @ Ib, Ic","Voltage - Collector Emitter Breakdown (Max)"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2scr523mt2l-e.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SCR523MT2L/2SCR523MT2LCT-ND/5019152,"","","","","","","","","100nA (ICBO)","100mA","120 @ 1mA, 6V",TRANS NPN 50V 0.1A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","350MHz","2020-09-02 01:30:02.103000",Active,Rohm Semiconductor,"2SCR523MT2L","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"1",Active,"150mW","0.04",-,DigiKey,"2SCR523MT2LCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","300mV @ 5mA, 50mA","50V"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sd2696t2l-e.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SD2696T2L/2SD2696T2LCT-ND/5719904,"","","","","","","","","100nA (ICBO)","400mA","270 @ 100mA, 2V",TRANS NPN 30V 0.4A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","400MHz","2020-09-02 01:30:02.127000",Active,Rohm Semiconductor,"2SD2696T2L","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"2",Active,"150mW","0.08",-,DigiKey,"2SD2696T2LCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","300mV @ 2mA, 100mA","30V"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sc5585tl-e.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5663T2L/2SC5663T2LCT-ND/1158621,"","","","","","","","","100nA (ICBO)","500mA","270 @ 10mA, 2V",TRANS NPN 12V 0.5A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","320MHz","2020-09-02 01:30:02.147000",Active,Rohm Semiconductor,"2SC5663T2L","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"3",Active,"150mW","0.12",-,DigiKey,"2SC5663T2LCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","250mV @ 10mA, 200mA","12V"
=Part Number,Datasheet,https://www.rohm.com/datasheet/2SC2412K/2sc4081u3t106r-e,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5658T2LR/2SC5658T2LRCT-ND/1158619,"","","","","","","","","100µA (ICBO)","150mA","120 @ 1mA, 6V",TRANS NPN 50V 0.15A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","180MHz","2020-09-02 01:30:02.160000",Active,Rohm Semiconductor,"2SC5658T2LR","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"4",Active,"150mW","0.07",-,DigiKey,"2SC5658T2LRCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","400mV @ 5mA, 50mA","50V"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2scr522ubtl-e.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SCR522MT2L/2SCR522MT2LCT-ND/5019150,"","","","","","","","","100nA (ICBO)","200mA","120 @ 1mA, 2V",TRANS NPN 20V 0.2A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","400MHz","2020-09-02 01:30:02.173000",Active,Rohm Semiconductor,"2SCR522MT2L","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"5",Active,"150mW","0.04",-,DigiKey,"2SCR522MT2LCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","300mV @ 10mA, 100mA","20V"
=Part Number,Datasheet,https://www.rohm.com/datasheet/2SC2412K/2sc4081u3t106r-e,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5658T2LS/2SC5658T2LSCT-ND/3769174,"","","","","","","","","100nA (ICBO)","150mA","120 @ 1mA, 6V",TRANS NPN 50V 0.15A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","180MHz","2020-09-02 01:30:02.183000",Active,Rohm Semiconductor,"2SC5658T2LS","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"6",Active,"150mW","0.04",-,DigiKey,"2SC5658T2LSCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","400mV @ 5mA, 50mA","50V"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sc4725.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5661T2LP/2SC5661T2LPCT-ND/1158620,"","","","","","","","","500nA (ICBO)","50mA","82 @ 10mA, 10V",TRANS NPN 20V 0.05A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","1.5GHz","2020-09-02 01:30:02.183000",Active,Rohm Semiconductor,"2SC5661T2LP","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"7",Active,"150mW","0.14",-,DigiKey,"2SC5661T2LPCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","500mV @ 4mA, 20mA","20V"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sc5662t2lp-e.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5662T2LP/2SC5662T2LPCT-ND/1144016,"","","","","","","","","500nA (ICBO)","50mA","82 @ 5mA, 10V",TRANS NPN 11V 0.05A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","3.2GHz","2020-09-02 01:30:02.193000",Active,Rohm Semiconductor,"2SC5662T2LP","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"8",Active,"150mW","0.10",-,DigiKey,"2SC5662T2LPCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","500mV @ 5mA, 10mA","11V"
=Part Number,Datasheet,https://www.rohm.com/datasheet/2SC2412K/2sc4081u3t106r-e,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5658T2LQ/2SC5658T2LQCT-ND/650659,"","","","","","","","","100nA (ICBO)","150mA","120 @ 1mA, 6V",TRANS NPN 50V 0.15A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","180MHz","2020-09-02 01:30:02.203000",Active,Rohm Semiconductor,"2SC5658T2LQ","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"9",Active,"150mW","0.07",-,DigiKey,"2SC5658T2LQCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","400mV @ 5mA, 50mA","50V"
=Part Number,Datasheet,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sc5659-e.pdf,DigiKey Link,http://digikey.com/product-detail/en/rohm-semiconductor/2SC5659T2LP/2SC5659T2LPCT-ND/1144015,"","","","","","","","","500nA (ICBO)","50mA","82 @ 1mA, 6V",TRANS NPN 25V 0.05A VMT3,"",footprints/Leaded - SOT/PCB - LEADED - SOT - ROHM SOT-723.PCBLIB,"","",ROHM SOT-723,"","","300MHz","2020-09-02 01:30:02.213000",Active,Rohm Semiconductor,"2SC5659T2LP","1",Surface Mount,"150°C (TJ)",SOT-723,TapeAndReel,"10",Active,"150mW","0.08",-,DigiKey,"2SC5659T2LPCT-ND","","","","","","","","","","",VMT3,symbols/BJT/SCH - BJT - ROHM NPN SOT723 BEC.SchLib,ROHM NPN SOT723 BEC,NPN,"","","300mV @ 1mA, 10mA","25V"
