"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Cathode","Current - Output","Current - Supply","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Noise - 100mHz to 10Hz","Noise - 10Hz to 10kHz","Operating Temperature","Output Type","Package / Case","Packaging","Part Status","Price","Reference Type","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value","Voltage - Input","Voltage - Output (Max)","Voltage - Output (Min/Fixed)"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT25-T/MAX6070AAUT25-TCT-ND/5051498,"","","","","","","","","","10mA","300µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.623000",Active,Maxim Integrated,MAX6070AAUT25+T,"1",Surface Mount,"4.8µVp-p","3µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.56",Series,-,DigiKey,MAX6070AAUT25+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","2.8V ~ 5.5V","","2.5V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT30-T/MAX6070AAUT30-TCT-ND/5051499,"","","","","","","","","","10mA","300µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.603000",Active,Maxim Integrated,MAX6070AAUT30+T,"1",Surface Mount,"4.6µVp-p","5µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,CutTape,Active,"3.63",Series,-,DigiKey,MAX6070AAUT30+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","3.2V ~ 5.5V","","3V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT50-T/MAX6070AAUT50-TCT-ND/5051502,"","","","","","","","","","10mA","330µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.580000",Active,Maxim Integrated,MAX6070AAUT50+T,"1",Surface Mount,"9µVp-p","12µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,CutTape,Active,"3.63",Series,-,DigiKey,MAX6070AAUT50+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","5.2V ~ 5.5V","","5V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT21-T/MAX6070AAUT21-TCT-ND/5051497,"","","","","","","","","","10mA","260µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.570000",Active,Maxim Integrated,MAX6070AAUT21+T,"1",Surface Mount,"6.4µVp-p","6.3µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,CutTape,Active,"3.63",Series,-,DigiKey,MAX6070AAUT21+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","2.7V ~ 5.5V","","2.048V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT18-T/MAX6070AAUT18-TCT-ND/5051496,"","","","","","","","","","10mA","260µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.557000",Active,Maxim Integrated,MAX6070AAUT18+T,"1",Surface Mount,"6µVp-p","5µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,CutTape,Active,"2.76",Series,-,DigiKey,MAX6070AAUT18+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","2.7V ~ 5.5V","","1.8V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT33-T/MAX6070AAUT33-TCT-ND/5051500,"","","","","","","","","","10mA","330µA",IC VREF SERIES 0.04% SOT6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.540000",Active,Maxim Integrated,MAX6070AAUT33+T,"1",Surface Mount,"10µVp-p","6µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.56",Series,-,DigiKey,MAX6070AAUT33+TCT-ND,"","","","","","","","","","",SOT-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","3.5V ~ 5.5V","","3.3V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT12-T/MAX6070AAUT12-TCT-ND/5051495,"","","","","","","","","","10mA","260µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.520000",Active,Maxim Integrated,MAX6070AAUT12+T,"1",Surface Mount,"3.6µVp-p","2.5µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.56",Series,-,DigiKey,MAX6070AAUT12+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","2.7V ~ 5.5V","","1.25V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070AAUT41-T/MAX6070AAUT41-TCT-ND/5051501,"","","","","","","","","","10mA","350µA",IC VREF SERIES 0.04% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.497000",Active,Maxim Integrated,MAX6070AAUT41+T,"1",Surface Mount,"9.6µVp-p","9µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.58",Series,-,DigiKey,MAX6070AAUT41+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"6ppm/°C",±0.04%,"","","4.3V ~ 5.5V","","4.096V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT21-T/MAX6070BAUT21-TCT-ND/5051505,"","","","","","","","","","10mA","260µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:53.020000",Active,Maxim Integrated,MAX6070BAUT21+T,"1",Surface Mount,"6.4µVp-p","6.3µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.01",Series,-,DigiKey,MAX6070BAUT21+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","2.7V ~ 5.5V","","2.048V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT41-T/MAX6070BAUT41-TCT-ND/5051509,"","","","","","","","","","10mA","350µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:53.013000",Active,Maxim Integrated,MAX6070BAUT41+T,"1",Surface Mount,"9.6µVp-p","9µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.04",Series,-,DigiKey,MAX6070BAUT41+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","4.3V ~ 5.5V","","4.096V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT30-T/MAX6070BAUT30-TCT-ND/5051507,"","","","","","","","","","10mA","300µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.993000",Active,Maxim Integrated,MAX6070BAUT30+T,"1",Surface Mount,"4.6µVp-p","5µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.03",Series,-,DigiKey,MAX6070BAUT30+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","3.2V ~ 5.5V","","3V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT33-T/MAX6070BAUT33-TCT-ND/5051508,"","","","","","","","","","10mA","330µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.977000",Active,Maxim Integrated,MAX6070BAUT33+T,"1",Surface Mount,"10µVp-p","6µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.01",Series,-,DigiKey,MAX6070BAUT33+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","3.5V ~ 5.5V","","3.3V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT50-T/MAX6070BAUT50-TCT-ND/5051510,"","","","","","","","","","10mA","330µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.973000",Active,Maxim Integrated,MAX6070BAUT50+T,"1",Surface Mount,"9µVp-p","12µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,CutTape,Active,"2.57",Series,-,DigiKey,MAX6070BAUT50+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","5.2V ~ 5.5V","","5V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT12-T/MAX6070BAUT12-TCT-ND/5051503,"","","","","","","","","","10mA","260µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.970000",Active,Maxim Integrated,MAX6070BAUT12+T,"1",Surface Mount,"3.6µVp-p","2.5µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.01",Series,-,DigiKey,MAX6070BAUT12+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","2.7V ~ 5.5V","","1.25V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT18-T/MAX6070BAUT18-TCT-ND/5051504,"","","","","","","","","","10mA","260µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.950000",Active,Maxim Integrated,MAX6070BAUT18+T,"1",Surface Mount,"6µVp-p","5µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.01",Series,-,DigiKey,MAX6070BAUT18+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","2.7V ~ 5.5V","","1.8V"
=Part Number,Datasheet,https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf,DigiKey Link,http://digikey.com/product-detail/en/maxim-integrated/MAX6070BAUT25-T/MAX6070BAUT25-TCT-ND/5051506,"","","","","","","","","","10mA","300µA",IC VREF SERIES 0.08% SOT23-6,"",footprints/Leaded - SOT-23/PCB - LEADED - SOT-23 - MAXIM SOT-23-6.PCBLIB,"","",MAXIM SOT-23-6,"","","2020-09-02 01:24:52.943000",Active,Maxim Integrated,MAX6070BAUT25+T,"1",Surface Mount,"4.8µVp-p","3µVrms",-40°C ~ 125°C (TA),Fixed,SOT-23-6,TapeAndReel,Active,"1.01",Series,-,DigiKey,MAX6070BAUT25+TCT-ND,"","","","","","","","","","",SOT-23-6,symbols/Power - Voltage References/SCH - POWER - VOLTAGE REFERENCES - MAXIM MAX6070.SCHLIB,MAXIM MAX6070,"8ppm/°C",±0.08%,"","","2.8V ~ 5.5V","","2.5V"
