#Table,Part Type
Amplifiers - Audio,Output Type
Amplifiers - OP Amps and Buffer Amps,Amplifier Type
Amplifiers - Special Purpose,Applications
Audio - Alarms Buzzers and Sirens,Technology
Audio - Microphones,Direction
Audio - Speakers,Power - Rated
Battery Chargers,Charge Current - Max
Battery Holders Clips Contacts,Battery Series
Battery Management,Battery Chemistry
Capacitors - Aluminum - Electrolytic SMT,Voltage - Rated
Capacitors - Aluminum - Electrolytic TH,Voltage - Rated
Capacitors - Aluminum - Polymer SMT,Voltage - Rated
Capacitors - Aluminum - Polymer TH,Voltage - Rated
Capacitors - Ceramic - 01005,Voltage - Rated
Capacitors - Ceramic - 0201,Voltage - Rated
Capacitors - Ceramic - 0402,Voltage - Rated
Capacitors - Ceramic - 0603,Voltage - Rated
Capacitors - Ceramic - 0805,Voltage - Rated
Capacitors - Ceramic - 1206,Voltage - Rated
Capacitors - Ceramic - 1210,Voltage - Rated
Capacitors - Ceramic - 1812,Voltage - Rated
Capacitors - Ceramic - 2220,Voltage - Rated
Capacitors - Ceramic - RF,Voltage - Rated
Capacitors - Film,Voltage Rating - AC
Capacitors - Mica PTFE,Voltage - Rated
Capacitors - Tantalum,Voltage - Rated
Capacitors - Tantalum - Polymer,Voltage - Rated
Capacitors - Thin Film,Voltage - Rated
Capacitors - Trimmers Variable,Voltage - Rated
Clock Timing - Clock Buffers Drivers,Frequency - Max
Clock Timing - Real Time Clocks,Type
Connectors - Barrel - Audio,Actual Diameter
Connectors - Barrel - Power,Actual Diameter
Connectors - Barrier Blocks,Barrier Type
Connectors - Card Edge - Edgeboard,Card Type
Connectors - Coaxial Connectors (RF),Connector Type
Connectors - Edge - Mezzanine - Board to Board,Connector Type
Connectors - FFC FPC,Connector/Contact Type
Connectors - Memory - Card Sockets,Connector Type
Connectors - Modular Jacks,Connector Type
Connectors - Modular Jacks With Magnetics,Connector Type
Connectors - Pluggable,Connector Type
Connectors - Rectangular Direct Wire to Board,Cable Pitch
Connectors - Rectangular Headers Female Sockets,Pitch - Mating
Connectors - Rectangular Headers Male Pins,Pitch - Mating
Connectors - Terminal Blocks - Headers Plugs and Sockets,Pitch
Connectors - Terminal Blocks - Wire to Board,Pitch
Connectors - USB DVI HDMI,Connector Type
Controller - Power OR and Ideal Diodes,Current - Output (Max)
Current - Regulation Management,Current - Output
Data Acquisition - Analog to Digital Converters - ADC,Number of Bits
Data Acquisition - Digital Potentiometers,Resistance (Ohms)
Data Acquisition - Digital to Analog Converters DAC,Number of Bits
Diodes - Bridge Rectifiers,Voltage - Peak Reverse (Max)
Diodes - Rectifiers - Arrays,Voltage - DC Reverse (Vr) (Max)
Diodes - Rectifiers - Single,Voltage - DC Reverse (Vr) (Max)
